genes	endo03_FC	endo03_FDR	endo06_FC	endo06_FDR	endo09_FC	endo09_FDR	endo12_FC	endo12_FDR	endo15_FC	endo15_FDR	endo18_FC	endo18_FDR	ovary03_FC	ovary03_FDR	ovary06_FC	ovary06_FDR	ovary09_FC	ovary09_FDR	ovary12_FC	ovary12_FDR	ovary15_FC	ovary15_FDR	ovary18_FC	ovary18_FDR	ovid03_FC	ovid03_FDR	ovid06_FC	ovid06_FDR	ovid09_FC	ovid09_FDR	ovid12_FC	ovid12_FDR	ovid15_FC	ovid15_FDR	ovid18_FC	ovid18_FDR	absMAX_FC	FC_sample	Min_FDR	FDR_sample
ENSSSCG00000000002	1.68121314437832	0.907702346983686	-0.233590405635874	0.999982221946195	-1.39570313350227	0.526346538264143	-1.31788514225165	0.560420159902669	-1.27895979419989	0.638745010667795	-0.876198505407581	0.999963438149354	0.482375207039507	0.999746826372654	-0.490803030914866	0.986025634179193	-0.377424344453041	0.975546876939646	-1.26634247547324	0.50626079790181	0.128521414105862	0.999560378701902	-1.51662444726095	0.538132966487676	-1.0303553823372	0.999905160632868	-0.966161864097439	0.99998075372639	-1.58627922341561	0.664911842905569	-0.619102060736868	0.999791955937091	-1.42329794497899	0.967357749346532	1.44247132245899	0.999918096269946	1.68121314437832	endo03	0.50626079790181	ovary12
ENSSSCG00000000003	-0.44735109636926	0.999970279305184	-0.344965054210207	0.999982221946195	0.375215417001725	0.999890466505892	0.13904625231213	0.988939483738383	-0.34423429430036	0.999107661984216	-0.461181467160066	0.999963438149354	0.707972510167296	0.990630660634266	0.179773395679433	0.999667845803702	1.00399579419804	0.724728728043182	1.37064989056192	0.428241030333827	-0.224381165388075	0.999560378701902	0.485908355190508	0.999898616998068	-0.944893161666668	0.999905160632868	-0.580490688448763	0.99998075372639	-0.200967137882199	0.999991240463336	-0.101448065720879	0.999791955937091	-1.40867546750271	0.906100691285668	-1.33217620502421	0.999918096269946	1.40867546750271	ovid15	0.428241030333827	ovary12
ENSSSCG00000000005	-0.129745736724063	0.999970279305184	0.365714711424504	0.999982221946195	0.511290684026831	0.999890466505892	0.856538577113552	0.807283938261244	-0.119705448594785	0.999107661984216	-0.353562832757785	0.999963438149354	0.128599130182168	0.999746826372654	0.186980501019976	0.999667845803702	0.148193196017103	0.994743056852406	-0.115624555601744	0.98516230046727	-0.80835886536896	0.868552576662138	-0.301190373984363	0.999898616998068	0.0238385520758805	0.999905160632868	-0.0284833519925622	0.99998075372639	0.109627670696223	0.999991240463336	0.0066125731549165	0.999791955937091	-0.0977258131987928	0.999951635344029	-0.360436877862266	0.999918096269946	0.856538577113552	endo12	0.807283938261244	endo12
ENSSSCG00000000006	-0.292459628356482	0.999970279305184	0.674772180401549	0.999982221946195	1.21442128273126	0.628878104221399	1.40429400323718	0.48259354321939	0.705597258228287	0.962584271974853	0.069704388389907	0.999963438149354	0.910378134158137	0.891394162493753	1.12549904604387	0.696369930713165	1.45725636331449	0.446359056824349	0.799882071336693	0.78796671731059	-1.1166131179974	0.659750349154017	-0.46204188723943	0.999898616998068	0.466592706510366	0.999905160632868	0.49764756640416	0.99998075372639	0.985499735201526	0.999991240463336	0.681914149150386	0.999791955937091	0.441552728091199	0.999951635344029	-0.172626788384121	0.999918096269946	1.45725636331449	ovary09	0.446359056824349	ovary09
ENSSSCG00000000007	0.0830699805471297	0.999970279305184	0.024196598529748	0.999982221946195	0.053361699874068	0.999890466505892	-0.0959228442898579	0.993737798316676	0.433319518586678	0.999107661984216	-0.291162602032533	0.999963438149354	0.17542731825193	0.999746826372654	0.0527237147133866	0.999667845803702	-0.142092084775027	0.994743056852406	-0.0287030267515132	0.993783847795327	-0.171694732657868	0.999560378701902	-0.368659698255088	0.999898616998068	0.0831709378569302	0.999905160632868	0.191925359200377	0.99998075372639	0.03564801623417	0.999991240463336	0.0863593571165066	0.999791955937091	0.0706992856012576	0.999951635344029	0.00538693555819469	0.999918096269946	0.433319518586678	endo15	0.993737798316676	endo12
ENSSSCG00000000010	-0.0252471102737624	0.999970279305184	-1.08986850534103	0.941549640790082	-1.73068405205652	0.293579568391761	-1.3075285378148	0.540602169128732	-0.214177401991579	0.999107661984216	0.546255586643228	0.999963438149354	-1.65943993846251	0.392075729770516	-2.62282517316339	0.0467911154087149	-2.38566561354374	0.0779913509944318	-4.34976048904092	0.000192607070234917	-2.64689824198416	0.032660611997902	-0.774945278332931	0.999898616998068	-1.62893680714331	0.580436712402967	-1.16230863093338	0.99998075372639	-0.561159602837306	0.999991240463336	-0.948410123442245	0.957292816038664	-0.00632349417003066	0.999951635344029	-0.495867120238498	0.999918096269946	4.34976048904092	ovary12	0.000192607070234917	ovary12
ENSSSCG00000000014	0.676804087377095	0.999970279305184	0.0340796358653812	0.999982221946195	0.151835550566357	0.999890466505892	0.20566873262393	0.985678605086902	0.0573613944027297	0.999107661984216	-0.0744948881700263	0.999963438149354	-0.353822027087701	0.999746826372654	-0.54566207526379	0.971489413041577	-0.457933825576585	0.958409322958953	-0.228011798841936	0.972246546424322	0.19362110534784	0.999560378701902	0.0442651010978533	0.999898616998068	0.386968910492908	0.999905160632868	0.307235385339812	0.99998075372639	0.294037574041262	0.999991240463336	0.634438223239428	0.999791955937091	0.23868919452543	0.999951635344029	0.282277117726549	0.999918096269946	0.676804087377095	endo03	0.958409322958953	ovary09
ENSSSCG00000000018	0.357141618214502	0.999970279305184	0.157456537776508	0.999982221946195	0.445111795577709	0.999890466505892	1.175253833384	0.622153216923359	0.445903849830358	0.999107661984216	-0.0224933228706396	0.999963438149354	1.40120743966478	0.567684649984363	1.61116729609337	0.360007582891167	1.80368010465929	0.254831068853758	1.67886903428676	0.25547935834122	1.12195976053368	0.64439797211642	0.71275788097873	0.999898616998068	-0.134074851486032	0.999905160632868	-0.271411990572152	0.99998075372639	0.373841656706417	0.999991240463336	-0.327079098220095	0.999791955937091	-0.19724498784941	0.999951635344029	-0.0574303800020418	0.999918096269946	1.80368010465929	ovary09	0.254831068853758	ovary09
ENSSSCG00000000019	0.257801899096539	0.999970279305184	0.390997559644002	0.999982221946195	0.686633272853887	0.965949844930413	1.11649771331312	0.655543855004726	0.216529205383888	0.999107661984216	0.105405578395187	0.999963438149354	0.093862591751723	0.999746826372654	-0.0187416467063621	0.999667845803702	-0.0531589251198814	0.999803500436176	-0.416854025182717	0.927344154874323	0.588270169106144	0.9756891492367	-0.0414581936428409	0.999898616998068	-0.0165733167189208	0.999905160632868	0.0599184664003184	0.99998075372639	0.144395123018612	0.999991240463336	0.113711708610266	0.999791955937091	0.13398810160221	0.999951635344029	0.602698537712125	0.999918096269946	1.11649771331312	endo12	0.655543855004726	endo12
ENSSSCG00000000020	-1.04816446135551	0.999970279305184	1.01592395733864	0.992263705066602	0.969482492850147	0.800976667085308	-1.77688516969786	0.278535643689381	-1.66332117054012	0.374975001719261	-1.79501879429004	0.84281985615131	0.0256939699284525	0.999746826372654	-0.188558867216932	0.999667845803702	-0.296823462252088	0.985344470783403	-4.40992145100745	0.0134408697448141	-0.52468547441855	0.999560378701902	-0.170351215419142	0.999898616998068	0.243193442269995	0.999905160632868	-0.54320792686044	0.99998075372639	-0.601247760919572	0.999991240463336	-1.33213495034735	0.688696911451205	-0.031165897402916	0.999951635344029	-0.913353549815863	0.999918096269946	4.40992145100745	ovary12	0.0134408697448141	ovary12
