,logFC,PValue,FDR
ENSSSCG00000010428,11.5772646039688,6.16546397244327e-12,1.10152179331671e-07
ENSSSCG00000033181,11.1321073660673,4.19664683545468e-11,3.74886461811167e-07
ENSSSCG00000030694,6.46563775513458,8.30532172468097e-10,4.94609593110501e-06
ENSSSCG00000006791,-5.92737959755866,7.12138235749049e-09,2.95121351058787e-05
ENSSSCG00000010701,-9.97611571266282,8.25930121624277e-09,2.95121351058787e-05
ENSSSCG00000031367,-6.88517580687555,1.00366353422632e-08,2.98857545041456e-05
ENSSSCG00000026442,-9.88457916204253,1.20515889127184e-08,3.07590982163754e-05
ENSSSCG00000038182,-6.37233842896088,1.47027971603803e-08,3.28350217584194e-05
ENSSSCG00000057082,-6.45647668477948,2.03165978806649e-08,4.03307041928844e-05
ENSSSCG00000048959,-9.64062386159414,3.27291046925429e-08,5.84738184436971e-05
ENSSSCG00000055799,-5.18217878170328,1.08721635843704e-07,0.000176583704180329
ENSSSCG00000039341,6.0295474070498,1.21051960534482e-07,0.000180226193909087
ENSSSCG00000026849,-5.40458828618272,1.47703873069413e-07,0.000202990568942934
ENSSSCG00000055762,-5.42026001670789,2.81021148302637e-07,0.0003482734811891
ENSSSCG00000022569,5.03800853190428,2.92404691471874e-07,0.0003482734811891
ENSSSCG00000028671,8.95910766681951,3.49815978106219e-07,0.000369142594963684
ENSSSCG00000017010,5.61430229712058,3.51249530638231e-07,0.000369142594963684
ENSSSCG00000005742,-5.68843185503763,4.96764299120963e-07,0.000493066164894173
ENSSSCG00000036183,-5.11883257525984,5.99602360825718e-07,0.00056381556729012
ENSSSCG00000039344,8.78052033196084,7.0283753649045e-07,0.000602487545257795
ENSSSCG00000048484,-5.02854090693149,7.08174098870128e-07,0.000602487545257795
ENSSSCG00000013236,4.81405693194046,1.14250382703736e-06,0.000865958767569797
ENSSSCG00000039855,-5.73879415992511,1.14980637722986e-06,0.000865958767569797
ENSSSCG00000060202,-5.320565493199,1.16972447050176e-06,0.000865958767569797
ENSSSCG00000031423,4.62177183261265,1.21174125093725e-06,0.000865958767569797
ENSSSCG00000012833,-8.71064996568383,1.28614225133434e-06,0.000883777594705359
ENSSSCG00000005756,-4.58748311501764,1.33856764571848e-06,0.000885735168829864
ENSSSCG00000004357,-8.62839035360849,1.75630969250051e-06,0.00108698508380046
ENSSSCG00000003732,-4.9264776604258,1.76438863932684e-06,0.00108698508380046
ENSSSCG00000003417,-4.57292056714813,1.9840369330194e-06,0.00118156012817748
ENSSSCG00000005474,-4.51784399696466,2.15227525714024e-06,0.00124040483045379
ENSSSCG00000015810,-4.51942488278009,2.55886620142783e-06,0.00142864698608468
ENSSSCG00000059385,-8.5108640946529,2.72888640303505e-06,0.0014774025598977
ENSSSCG00000036538,8.33917932475986,3.75970826485859e-06,0.00197561611352834
ENSSSCG00000054576,-4.82166799225361,4.14802984631601e-06,0.00211739146383663
ENSSSCG00000032135,8.30182184702432,4.31819896921343e-06,0.00214302618844353
ENSSSCG00000009497,4.98330319664756,4.55720069823097e-06,0.00219646400101973
ENSSSCG00000008973,4.27703869803185,4.67812932821944e-06,0.00219646400101973
ENSSSCG00000016892,4.42053253050856,4.89830777570911e-06,0.00219646400101973
ENSSSCG00000036013,-8.34906342516752,4.96041786324884e-06,0.00219646400101973
ENSSSCG00000021813,5.36636444811181,5.04058121805714e-06,0.00219646400101973
ENSSSCG00000058302,4.50703923985992,5.51224443031042e-06,0.00228591828364336
ENSSSCG00000058769,-8.31440591557095,5.62971031458121e-06,0.00228591828364336
ENSSSCG00000062630,-8.31440591557095,5.62971031458121e-06,0.00228591828364336
ENSSSCG00000063044,4.37771924653326,6.14150844102346e-06,0.00243831532905167
ENSSSCG00000007164,5.29432348893656,6.68131393759467e-06,0.0025949642349797
ENSSSCG00000056587,-8.20513916873809,8.36141612620955e-06,0.00317840554278425
ENSSSCG00000009936,-4.51893864965486,9.08743268644271e-06,0.0033824181744997
ENSSSCG00000003894,4.17662893993481,9.29350029656744e-06,0.0033885240060913
ENSSSCG00000033434,-8.16679713829372,9.59415096812575e-06,0.00342818202393069
