,endo00.txt,endo15.txt
ENSSSCG00000028996,11.0219379826335,8.77163685977154
ENSSSCG00000005267,7.28439350151077,7.31222145299865
ENSSSCG00000005268,4.41500819538826,3.86003098943085
ENSSSCG00000005269,1.97313778472172,4.73783120637702
ENSSSCG00000031382,4.00304033124231,4.2715674656148
ENSSSCG00000005271,5.43632441146204,5.60742561672423
ENSSSCG00000005272,3.30196749807123,2.66200446363476
ENSSSCG00000005273,5.47600182917001,6.23174016221849
ENSSSCG00000023520,4.80079562910992,4.49627288008298
ENSSSCG00000057774,1.12577568912609,0.477941813363089
ENSSSCG00000037277,5.29064761860713,7.94854510417091
ENSSSCG00000005277,3.37840325079379,5.01340321979706
ENSSSCG00000004349,5.20535143041467,5.09418356819497
ENSSSCG00000004272,5.47164673176001,5.78918844321858
ENSSSCG00000037594,7.24729500373845,7.65894264666213
ENSSSCG00000044472,-1.30533632322394,-0.562046993133643
ENSSSCG00000004261,-0.194011978657809,-0.00104326952074563
ENSSSCG00000004351,3.69840897896137,4.21711306307801
ENSSSCG00000004262,4.2594888037911,4.6439396562923
ENSSSCG00000038757,2.90329564684132,3.7024633023729
ENSSSCG00000004353,5.88584861823482,6.04036349333911
ENSSSCG00000005284,2.78191241918368,4.01170153308881
ENSSSCG00000004263,4.14927869812995,4.23640677531308
ENSSSCG00000021802,4.16824168296767,4.66646828485587
ENSSSCG00000031105,2.80978278015253,2.74901849008325
ENSSSCG00000034919,1.70284954511791,4.88829867907567
ENSSSCG00000023834,6.2881332740956,4.67052686905589
ENSSSCG00000032533,0.595895504181589,-1.35411586961385
ENSSSCG00000025941,7.49726275573621,7.8653446465223
ENSSSCG00000030268,7.26502005793367,7.07218337492072
ENSSSCG00000027002,3.46858289868363,2.57807176129537
ENSSSCG00000005266,0.747692405416757,0.836920678336199
ENSSSCG00000005288,4.72414888252127,3.85290542190202
ENSSSCG00000035934,2.5701095432481,3.19456095359513
ENSSSCG00000005036,-0.250452924731055,-1.11180123141714
ENSSSCG00000004241,8.04615393368811,7.29490799893764
ENSSSCG00000005037,5.95221632707844,6.43209541044059
ENSSSCG00000004242,3.53270099698453,4.02126775864899
ENSSSCG00000005291,6.64213839635727,7.40435768639793
ENSSSCG00000005038,6.28130632834668,6.11299377264312
