,logFC,PValue,FDR
ENSSSCG00000040652,-13.6923101723072,6.1402266062419e-16,1.12679298451145e-11
ENSSSCG00000009444,-12.7884456855612,3.18438202921774e-14,2.92182973090873e-10
ENSSSCG00000012600,-9.59520794537887,7.99331328964882e-14,4.88950973927818e-10
ENSSSCG00000012071,8.74122331324119,1.15826492991011e-13,5.31382993219512e-10
ENSSSCG00000059713,-8.8666051658949,2.99410316843782e-13,1.09889574488005e-09
ENSSSCG00000001523,-9.15713204455257,5.44693719833421e-12,1.29962801533797e-08
ENSSSCG00000000211,-8.07984487655628,5.72498160630344e-12,1.29962801533797e-08
ENSSSCG00000028997,-7.70443406142601,5.83742113492865e-12,1.29962801533797e-08
ENSSSCG00000039341,8.59675674049526,6.37385000165753e-12,1.29962801533797e-08
ENSSSCG00000010190,-9.00302976772746,1.06359349593748e-11,1.95180042439487e-08
ENSSSCG00000015515,-11.3544813197706,1.60713899092287e-11,2.68114614749324e-08
ENSSSCG00000021204,-7.7178607318649,1.94708214729921e-11,2.97757537375731e-08
ENSSSCG00000002262,-7.6728724380482,2.36822674370005e-11,3.34302530566459e-08
ENSSSCG00000015342,7.21649179697123,3.82422116114589e-11,5.01273446629916e-08
ENSSSCG00000031478,-11.1060865708658,4.67731417433004e-11,5.72222616087537e-08
ENSSSCG00000001101,-11.0508297015264,5.92850931128513e-11,6.79962964821209e-08
ENSSSCG00000024061,-7.70100173185969,9.71712682846559e-11,1.04893526134807e-07
ENSSSCG00000052907,-7.11143574678484,1.22406514864475e-10,1.24793441904332e-07
ENSSSCG00000055799,-6.67674360139443,1.72748163115742e-10,1.66847449544051e-07
ENSSSCG00000017009,10.5890968464577,6.37542420938355e-10,5.84977048331988e-07
ENSSSCG00000018073,-10.4262377896773,8.48044956059639e-10,7.41070142316687e-07
ENSSSCG00000004644,-6.95998062996745,1.18638544498788e-09,9.89607240953303e-07
ENSSSCG00000006149,-10.3086752856437,1.3927482759039e-09,1.08862615222196e-06
ENSSSCG00000050793,6.25783402903045,1.42373863295335e-09,1.08862615222196e-06
ENSSSCG00000024416,-6.23476386802171,1.72823541923543e-09,1.24456831118609e-06
ENSSSCG00000014843,-6.4947618744418,1.76332494637014e-09,1.24456831118609e-06
ENSSSCG00000008741,-6.1947781584233,2.10914984061927e-09,1.43351884167423e-06
ENSSSCG00000037806,-10.1806760816758,2.38541831957729e-09,1.5582375806717e-06
ENSSSCG00000022405,-6.59955652122732,2.46247560566069e-09,1.5582375806717e-06
ENSSSCG00000028758,-10.1494523673235,2.7190742471675e-09,1.66325771699236e-06
ENSSSCG00000022554,-7.17376859727367,2.90048159839165e-09,1.71699154232533e-06
ENSSSCG00000031955,-10.117537912694,3.10793664400641e-09,1.78230454231755e-06
ENSSSCG00000000138,-10.0173265066738,4.72413081024839e-09,2.6270461969354e-06
ENSSSCG00000004803,-6.95732713842802,7.28580037482627e-09,3.93240360818932e-06
ENSSSCG00000009648,-9.88456655175937,8.20672653066017e-09,4.30290395897557e-06
ENSSSCG00000020771,-5.9728853308087,9.95787454182231e-09,5.07602654769392e-06
ENSSSCG00000014117,-5.98966672718088,1.53734103004741e-08,7.62479601145947e-06
ENSSSCG00000040042,-9.66663554262463,2.01830010154158e-08,9.74679609562883e-06
ENSSSCG00000000240,-6.27248009850474,2.2334934372547e-08,1.05094456582207e-05
ENSSSCG00000062878,5.9622696213351,2.3488401037382e-08,1.07758911859249e-05
ENSSSCG00000014876,-5.92448895634611,2.75372588537964e-08,1.23252740786834e-05
ENSSSCG00000055762,-5.58677404617539,3.23196345759969e-08,1.41213717643838e-05
ENSSSCG00000007603,-5.64562714826841,3.35415895360939e-08,1.43144583622525e-05
ENSSSCG00000039985,5.411291794591,4.47715448234996e-08,1.86727867967282e-05
ENSSSCG00000029037,-9.44453894399498,5.00126066824673e-08,2.03951410051102e-05
ENSSSCG00000014008,-9.42728589869275,5.36412979460421e-08,2.09440735874004e-05
ENSSSCG00000009543,-9.42728589869275,5.36412979460421e-08,2.09440735874004e-05
ENSSSCG00000012306,-9.40982402608845,5.7578083979297e-08,2.2012821231335e-05
ENSSSCG00000035269,-6.03069814571186,6.19265994957834e-08,2.31921434152474e-05
ENSSSCG00000054186,-5.32022257834137,6.48507466588096e-08,2.38015210387163e-05
ENSSSCG00000038160,-9.37425313972216,6.64994608151414e-08,2.39280706944835e-05
ENSSSCG00000005504,-5.43421156215212,6.91657402321269e-08,2.44088557499954e-05
ENSSSCG00000000857,-5.55921532407895,7.70404305514952e-08,2.6187383659234e-05
ENSSSCG00000022728,-9.33778300410721,7.70594909050535e-08,2.6187383659234e-05
ENSSSCG00000028691,6.36471666057352,8.89632834683215e-08,2.96830039077667e-05
ENSSSCG00000032643,-9.26195466331796,1.0458325167133e-07,3.36703026565013e-05
ENSSSCG00000020986,-9.26195466331796,1.0458325167133e-07,3.36703026565013e-05
ENSSSCG00000006693,-5.48221882466113,1.51000260072569e-07,4.7775961596409e-05
ENSSSCG00000057453,9.23932659297474,1.64929713043532e-07,5.12987315942688e-05
ENSSSCG00000009580,-5.31450439796627,1.84191832031433e-07,5.63350718268138e-05
ENSSSCG00000004280,-5.64747663098129,1.95334048715528e-07,5.87635266881748e-05
ENSSSCG00000036573,-5.05045582632968,2.00419161092769e-07,5.93208391163452e-05
ENSSSCG00000007703,-9.07519444404196,2.20492933681919e-07,6.42264416824904e-05
ENSSSCG00000007868,-5.7118006956262,2.34578057751875e-07,6.7188757325382e-05
ENSSSCG00000013378,-9.05286842199112,2.4090355573203e-07,6.7188757325382e-05
ENSSSCG00000022258,-5.70464519131994,2.41646666856041e-07,6.7188757325382e-05
