,logFC,PValue,FDR
ENSSSCG00000015895,-8.52506434884865,1.48020504276812e-06,0.000359280821367677
ENSSSCG00000048545,-8.4903944467088,1.69004232286579e-06,0.000404885853635133
ENSSSCG00000006560,-4.53733851613914,1.78592884168761e-06,0.000422372171059119
ENSSSCG00000012492,-4.64004880489231,1.8371701704327e-06,0.000428990862455341
ENSSSCG00000012600,-4.52777491648855,2.04050267185599e-06,0.000470514409846593
ENSSSCG00000011461,-5.16606352934143,2.19926262241083e-06,0.000500861698711266
ENSSSCG00000037292,-4.5114039650365,2.41011494208044e-06,0.000542187687031194
ENSSSCG00000005167,4.9360205272345,2.61401863121568e-06,0.000580973514337779
ENSSSCG00000014008,-5.52941529747609,2.65147318813152e-06,0.000582282451207883
ENSSSCG00000006264,-5.51195207049878,2.84236762278697e-06,0.000616860653382956
ENSSSCG00000006141,-4.55144800095538,2.95675234563123e-06,0.000627109822185141
ENSSSCG00000032720,-8.34272942255819,2.95758413455344e-06,0.000627109822185141
ENSSSCG00000012493,-5.49427486562051,3.04933025677187e-06,0.000639215855075802
ENSSSCG00000058969,-4.88832691252406,3.20155576305497e-06,0.000660038787376795
ENSSSCG00000004521,4.77758056124382,3.22022501566171e-06,0.000660038787376795
ENSSSCG00000015253,-4.56662691436258,3.28815935257152e-06,0.000666556874471283
ENSSSCG00000036504,-4.599199554592,3.34025361642818e-06,0.000669757157198377
ENSSSCG00000035018,-4.66136444222182,3.92231445933548e-06,0.000778010051950126
ENSSSCG00000026537,-4.83065538054579,4.03899148563844e-06,0.00079263059505928
ENSSSCG00000039561,8.47077575652102,4.12228694698866e-06,0.00080046134011684
ENSSSCG00000024061,-4.40207451916927,4.42786285469798e-06,0.000847169839869861
ENSSSCG00000030694,4.49014141894559,4.4546795938297e-06,0.000847169839869861
ENSSSCG00000011802,4.34981551389273,4.67732347812477e-06,0.000880434553071098
ENSSSCG00000001836,4.77106808697638,5.06394467523813e-06,0.000943581691152705
ENSSSCG00000004509,4.42032701960081,5.48015065289326e-06,0.00101092339093922
ENSSSCG00000040950,-4.31870844827643,5.61716983562825e-06,0.00102086155954264
ENSSSCG00000001849,-4.23034096412875,5.64799670975631e-06,0.00102086155954264
ENSSSCG00000015903,-4.37238724420296,5.70004557016814e-06,0.00102086155954264
ENSSSCG00000001441,8.3779374242728,5.78201814169371e-06,0.00102558546788292
ENSSSCG00000026527,-4.6161205058937,6.2331339628651e-06,0.0010950725925045
ENSSSCG00000000239,-8.13397024680081,6.42805442781425e-06,0.00111866339650839
ENSSSCG00000053301,8.34561450564234,6.49913326494623e-06,0.00112046272278938
ENSSSCG00000008294,-4.18686960831123,6.68432123852345e-06,0.0011417192026578
ENSSSCG00000036049,-4.1883917294209,6.8065671365421e-06,0.00115193343089717
ENSSSCG00000025072,-4.1942549093337,7.1034256950685e-06,0.00118150185345686
ENSSSCG00000000981,-4.18279176765324,7.10937852950132e-06,0.00118150185345686
ENSSSCG00000053510,-8.08833221765509,7.59818795306831e-06,0.00125146226044867
ENSSSCG00000002399,-4.44106006628853,7.80477664928075e-06,0.00127411252079011
ENSSSCG00000017009,8.2787114851035,8.2662176496581e-06,0.00133760453494073
ENSSSCG00000028051,-4.14174327531921,8.43468086737624e-06,0.00135299615617817
ENSSSCG00000040548,-8.041203186411,9.02172246923039e-06,0.00142242490931533
ENSSSCG00000061444,-8.041203186411,9.02172246923039e-06,0.00142242490931533
ENSSSCG00000003669,-4.13163147118302,9.430176478011e-06,0.00147422428381245
ENSSSCG00000006876,-4.24686394319802,1.01408977312305e-05,0.00157200958359672
ENSSSCG00000008121,-4.21667226638726,1.04581264246499e-05,0.00158833034593889
ENSSSCG00000043631,-5.17729309964718,1.05791918423518e-05,0.00158833034593889
ENSSSCG00000013976,8.20855441436725,1.06140364738672e-05,0.00158833034593889
ENSSSCG00000002442,8.20855441436725,1.06140364738672e-05,0.00158833034593889
ENSSSCG00000007099,-7.99248243061081,1.07627957522828e-05,0.00158833034593889
ENSSSCG00000049100,-7.99248243061081,1.07627957522828e-05,0.00158833034593889
ENSSSCG00000002709,-4.15417984468058,1.1627658634117e-05,0.00170234459383774
ENSSSCG00000014108,-7.94205866370036,1.29042662190445e-05,0.00187437007041506
ENSSSCG00000040843,4.59937605452981,1.35080916296168e-05,0.00194674817415266
ENSSSCG00000057453,8.13481049470605,1.37695014144959e-05,0.00195389225071697
ENSSSCG00000007260,8.13481049470605,1.37695014144959e-05,0.00195389225071697
ENSSSCG00000044004,4.14440942170346,1.55497373660241e-05,0.00217366433737514
ENSSSCG00000017641,-7.88980850401291,1.55539487468704e-05,0.00217366433737514
ENSSSCG00000004179,-3.96871274943007,1.65750817641679e-05,0.00228763115075537
ENSSSCG00000004094,-4.80998728957593,1.66174756980116e-05,0.00228763115075537
ENSSSCG00000009648,-4.46419754603255,1.72945431298683e-05,0.00236320323790134
ENSSSCG00000011609,-3.95062120456878,1.74242449301623e-05,0.0023634194575493
ENSSSCG00000037324,3.94166114767,1.86763831543654e-05,0.00251476817553708
ENSSSCG00000052062,-7.83559465593674,1.88532014511491e-05,0.00252018121137208
ENSSSCG00000010522,-5.52670559866378,1.90360638718072e-05,0.00252631849095847
ENSSSCG00000011441,-3.99461485890457,1.93711008802801e-05,0.00255241927098948
ENSSSCG00000003852,5.50689886236851,2.07228560047206e-05,0.00271116684197929
ENSSSCG00000029037,-4.59323995476784,2.12222898314553e-05,0.00273767538825774
ENSSSCG00000007382,-4.59323995476784,2.12222898314553e-05,0.00273767538825774
ENSSSCG00000025022,-4.10597135245766,2.2819811485799e-05,0.00290462671347248
ENSSSCG00000056047,-7.77926373579298,2.2988859986284e-05,0.00290462671347248
ENSSSCG00000017109,-7.77926373579298,2.2988859986284e-05,0.00290462671347248
ENSSSCG00000004181,-3.89383093270149,2.33387486241428e-05,0.00292089769060295
ENSSSCG00000039333,-4.3862753273712,2.34343176781719e-05,0.00292089769060295
ENSSSCG00000004713,7.9749495525333,2.39874161992125e-05,0.00296977091695888
ENSSSCG00000055799,-3.85090355046776,2.57152625442142e-05,0.00316246298768746
ENSSSCG00000012482,-4.09904869003152,2.61949817538975e-05,0.00320012469148442
ENSSSCG00000050749,7.93205458488374,2.77785799384515e-05,0.00334842919698753
ENSSSCG00000023891,-3.99850448198769,2.79125412121244e-05,0.00334842919698753
ENSSSCG00000013551,3.8301224014671,2.79534935944099e-05,0.00334842919698753
ENSSSCG00000015579,-4.16417899458933,2.83073785413076e-05,0.00336894330291291
ENSSSCG00000017172,4.25432162149842,3.05124384252918e-05,0.00360809584379075
ENSSSCG00000017448,4.07386501797692,3.57177785688186e-05,0.004187101846231
ENSSSCG00000005756,-4.85599810497266,3.60125852617889e-05,0.004187101846231
ENSSSCG00000056910,-3.93883693569189,3.62846672057631e-05,0.004187101846231
ENSSSCG00000012680,-3.78454398249318,3.63168154928693e-05,0.004187101846231
ENSSSCG00000006792,-4.00410717227222,3.7944874708986e-05,0.00434763418482401
ENSSSCG00000022490,4.55918928004473,4.21047210006148e-05,0.00479448017468112
ENSSSCG00000014426,-4.09025393280233,4.25232957519068e-05,0.00480553737000549
ENSSSCG00000032643,-4.41064084688384,4.27228345357457e-05,0.00480553737000549
ENSSSCG00000003047,-7.59573441939322,4.33689193259686e-05,0.0048194364747358
ENSSSCG00000036059,-7.59573441939322,4.33689193259686e-05,0.0048194364747358
ENSSSCG00000032612,-3.77984109226956,4.49289011789605e-05,0.00496289485058853
ENSSSCG00000057055,4.78407915439185,4.59323571192827e-05,0.00504353685582981
ENSSSCG00000058699,3.98168450847493,4.68058957210562e-05,0.00510904354062914
ENSSSCG00000055678,-3.7123297200623,4.73855595148835e-05,0.00514189068453562
ENSSSCG00000040160,3.71868350188378,4.81710278043216e-05,0.00519655526261006
ENSSSCG00000004597,3.72123988538638,4.88145637568022e-05,0.0052251871141938
ENSSSCG00000006890,-3.89711266246955,4.92439692487922e-05,0.0052251871141938
ENSSSCG00000008997,4.18659946123447,4.92862014349065e-05,0.0052251871141938
ENSSSCG00000055131,-3.90105012862501,5.0755858196503e-05,0.00535024752086224
ENSSSCG00000001248,7.74645602906469,5.18274152523962e-05,0.00543216096114177
ENSSSCG00000058221,3.97299996149713,5.26519637623237e-05,0.00548740551143269
ENSSSCG00000008976,4.74172840122147,5.36556959110648e-05,0.00551603283562917
ENSSSCG00000011793,3.88288945941406,5.36784326543363e-05,0.00551603283562917
ENSSSCG00000009616,-3.72460082306002,5.40753215068243e-05,0.00551603283562917
ENSSSCG00000040328,-7.52897532944037,5.43864601531e-05,0.00551603283562917
ENSSSCG00000002479,-3.81443671997765,5.44217474973984e-05,0.00551603283562917
ENSSSCG00000036884,-5.2380295722821,5.52104259998785e-05,0.00555265229597281
ENSSSCG00000009474,3.98547349146558,5.53850502769554e-05,0.00555265229597281
ENSSSCG00000001841,4.31419042606865,5.96790860759522e-05,0.0059508113559086
ENSSSCG00000056178,3.6582464709413,6.03220600378197e-05,0.0059825862447186
ENSSSCG00000024474,-4.30987318767951,6.25065765961144e-05,0.00616608993833434
ENSSSCG00000054576,-3.80856297636312,6.65269317338221e-05,0.00652777824305221
ENSSSCG00000014067,-7.4589765171178,6.87710900495441e-05,0.00667694893759969
ENSSSCG00000056352,-7.4589765171178,6.87710900495441e-05,0.00667694893759969
ENSSSCG00000009004,-3.60735125688803,6.96744048895857e-05,0.00672923427747742
ENSSSCG00000012724,-3.73445523456677,7.10312168497959e-05,0.0068245461313968
ENSSSCG00000058788,-3.57920281725497,7.54872803331287e-05,0.00718731574329969
ENSSSCG00000036465,4.07306409821183,7.55862337615948e-05,0.00718731574329969
ENSSSCG00000011821,3.83514173742066,7.62388040279657e-05,0.00721219086104556
ENSSSCG00000006390,-3.63866813547008,7.66625446340658e-05,0.00721527531053373
ENSSSCG00000061608,-3.57851792339693,7.83422358162106e-05,0.00733593514772405
ENSSSCG00000021126,-3.89569634694258,7.95633511929827e-05,0.0073845081980412
ENSSSCG00000022554,-3.70461707027295,7.96615781108147e-05,0.0073845081980412
ENSSSCG00000043729,4.630070632498,8.0517203679439e-05,0.00742650428137305
ENSSSCG00000025020,-3.6581557858025,8.43360216639054e-05,0.00774003279419931
ENSSSCG00000008741,-3.55941220722755,8.48696268888037e-05,0.00775044558028595
ENSSSCG00000058464,7.589689731498,8.64752264446352e-05,0.00781904605320616
ENSSSCG00000063099,-5.11291380635277,8.65503332753193e-05,0.00781904605320616
ENSSSCG00000060340,3.93344849434228,8.69456137711168e-05,0.00781904605320616
ENSSSCG00000040329,-7.38540743519769,8.77401492390998e-05,0.00781904605320616
ENSSSCG00000030830,-7.38540743519769,8.77401492390998e-05,0.00781904605320616
ENSSSCG00000015512,-3.54405725393277,8.95779522482058e-05,0.00794444464001275
ENSSSCG00000009216,-3.52051800975865,9.36094140342403e-05,0.00826226249133795
ENSSSCG00000023607,-4.58248539089458,9.87939779714128e-05,0.00863721569496991
ENSSSCG00000043216,-4.58248539089458,9.87939779714128e-05,0.00863721569496991
ENSSSCG00000035723,-4.07861163869601,0.000100895503345528,0.00877933655761769
ENSSSCG00000063511,-3.69651485497027,0.000102087432440936,0.00881624829640685
ENSSSCG00000014877,-3.89686309481961,0.000102275553500898,0.00881624829640685
ENSSSCG00000045465,5.06062303876146,0.000102886764453143,0.00882768439007967
ENSSSCG00000044428,7.53340575027079,0.000103566230750245,0.00884484379004519
ENSSSCG00000030675,-4.15581444403349,0.000110912614874535,0.0094285945004173
ENSSSCG00000033204,-4.54862913827627,0.00011167134240557,0.00943428326363827
ENSSSCG00000061229,-7.30788421579548,0.000113025239944926,0.00943428326363827
ENSSSCG00000043140,-7.30788421579548,0.000113025239944926,0.00943428326363827
ENSSSCG00000000932,-7.30788421579548,0.000113025239944926,0.00943428326363827
ENSSSCG00000057415,-3.52045211167569,0.000120627706633788,0.0100235103796103
ENSSSCG00000002737,7.47483650044798,0.000124699069418917,0.0103153530653397
ENSSSCG00000011726,4.10690683989305,0.000128064004476289,0.0105464137972058
ENSSSCG00000006149,-3.68428051099549,0.000129030053657637,0.0105787439992108
ENSSSCG00000039626,-3.4356420410671,0.000140323241795198,0.011453729386708
ENSSSCG00000048276,-7.22595754720242,0.000147123739817592,0.0119034720544523
ENSSSCG00000000250,-7.22595754720242,0.000147123739817592,0.0119034720544523
ENSSSCG00000014876,-3.4773658715686,0.000148503219768564,0.0119626152623175
ENSSSCG00000063267,7.41378852438753,0.000150998032957286,0.0120582714890176
ENSSSCG00000060674,7.41378852438753,0.000150998032957286,0.0120582714890176
ENSSSCG00000001478,-3.58220250261355,0.000151739418132209,0.0120652458891588
ENSSSCG00000010358,3.95504245763312,0.000153799661033733,0.0121765765969496
ENSSSCG00000056997,-3.46385856863714,0.000155413275581649,0.0122517465583533
ENSSSCG00000015748,-3.7016145424662,0.0001649736496162,0.0129236799412888
ENSSSCG00000006858,-3.47021146775459,0.000165337912188657,0.0129236799412888
ENSSSCG00000054946,3.5250593765847,0.000169844165490849,0.0132198958683953
ENSSSCG00000039704,-4.1867013298438,0.000171005928058841,0.0132543964491657
ENSSSCG00000060206,-3.42470097794582,0.000172052515625078,0.0132797186432461
ENSSSCG00000030706,-3.42870676149068,0.000174722805582661,0.0134296316440973
ENSSSCG00000002980,-3.84154194027578,0.000183680178349894,0.0137382032379889
ENSSSCG00000038606,7.3500427090215,0.000183950571896962,0.0137382032379889
ENSSSCG00000060036,7.3500427090215,0.000183950571896962,0.0137382032379889
ENSSSCG00000052999,7.3500427090215,0.000183950571896962,0.0137382032379889
ENSSSCG00000061160,7.3500427090215,0.000183950571896962,0.0137382032379889
ENSSSCG00000054998,7.3500427090215,0.000183950571896962,0.0137382032379889
ENSSSCG00000051820,7.3500427090215,0.000183950571896962,0.0137382032379889
ENSSSCG00000054680,-3.91143250383532,0.000186749394181402,0.0137848869724796
ENSSSCG00000004565,-3.34845087282411,0.000187696519093173,0.0137848869724796
ENSSSCG00000000856,-3.7324276198838,0.000188560057694472,0.0137848869724796
ENSSSCG00000014259,-3.38659456538999,0.000189574681059489,0.0137848869724796
ENSSSCG00000003623,-7.13909689651506,0.000193691751833517,0.0137848869724796
ENSSSCG00000015905,-7.13909689651506,0.000193691751833517,0.0137848869724796
ENSSSCG00000032063,-7.13909689651506,0.000193691751833517,0.0137848869724796
ENSSSCG00000012514,-7.13909689651506,0.000193691751833517,0.0137848869724796
ENSSSCG00000033348,-7.13909689651506,0.000193691751833517,0.0137848869724796
ENSSSCG00000025000,-7.13909689651506,0.000193691751833517,0.0137848869724796
ENSSSCG00000000212,-7.13909689651506,0.000193691751833517,0.0137848869724796
ENSSSCG00000061856,-7.13909689651506,0.000193691751833517,0.0137848869724796
ENSSSCG00000007476,-3.34061013267574,0.000194290161698091,0.0137848869724796
ENSSSCG00000039568,-3.36602198366427,0.00019750311091041,0.0139591566550358
ENSSSCG00000061502,4.34897896665837,0.000217820652243463,0.0153364029463174
ENSSSCG00000022337,-3.68412630709593,0.000225151645117411,0.0157597606474715
ENSSSCG00000045842,7.28334953880537,0.000225542191734833,0.0157597606474715
ENSSSCG00000051841,-3.95689895899208,0.000228850743729929,0.0159306025267396
ENSSSCG00000033214,3.30928056653457,0.000231373754043519,0.0160198445132565
ENSSSCG00000039940,3.32979670799384,0.000231869598581855,0.0160198445132565
ENSSSCG00000009499,3.57443467506349,0.000234427022259655,0.0161361017896412
ENSSSCG00000008930,4.32048637033177,0.000240397126001258,0.0164069567592311
ENSSSCG00000016628,-3.27715305134428,0.000240807918127073,0.0164069567592311
ENSSSCG00000054285,4.81148359709994,0.000241030264094521,0.0164069567592311
ENSSSCG00000014977,-3.27849251375251,0.000247283633863443,0.0167707396833784
ENSSSCG00000024666,3.30244403612731,0.00025090353532368,0.0169539103154429
ENSSSCG00000011799,-7.04666967103531,0.000258169487823764,0.0173180092432181
ENSSSCG00000056357,-7.04666967103531,0.000258169487823764,0.0173180092432181
ENSSSCG00000014929,-3.52994155476987,0.000261166682721895,0.0174555862180101
ENSSSCG00000016196,3.36651604614266,0.000271890998986714,0.0181067626653715
ENSSSCG00000054481,7.21342319725101,0.00027844853772377,0.0183447863406799
ENSSSCG00000007526,7.21342319725101,0.00027844853772377,0.0183447863406799
ENSSSCG00000039825,7.21342319725101,0.00027844853772377,0.0183447863406799
ENSSSCG00000040172,-3.71974775866686,0.000285925044863115,0.018770317802811
ENSSSCG00000004157,-3.31307910766052,0.00029229334268056,0.0191203379164124
ENSSSCG00000024975,3.35578438088991,0.000297963352559077,0.0194223673662802
ENSSSCG00000033457,-3.25612250285205,0.000305185001765894,0.0197590731480906
ENSSSCG00000009543,-3.59984687399959,0.00030599259020746,0.0197590731480906
ENSSSCG00000015476,-3.43692198530855,0.000306342219350242,0.0197590731480906
ENSSSCG00000013869,-3.24509589557092,0.000312974691916732,0.0201165301107594
ENSSSCG00000024314,-3.8461114531352,0.000339667359724761,0.0217564020307037
ENSSSCG00000029540,7.13993416474377,0.000346312185593331,0.022060278072766
ENSSSCG00000008709,-3.56470644214401,0.000347387210216999,0.022060278072766
ENSSSCG00000059815,-3.20358517826007,0.000347999182478176,0.022060278072766
ENSSSCG00000039854,3.18636608822708,0.000350706158413646,0.0221557414529333
ENSSSCG00000010607,-3.17022127656366,0.000354052062637095,0.0222907795203635
ENSSSCG00000021259,-3.35278457310275,0.000367385683820188,0.0230515772429626
ENSSSCG00000035935,-3.26951803858118,0.000371891973200384,0.0232552245072118
ENSSSCG00000039279,3.3091271010083,0.000376927034766556,0.0234904493592522
ENSSSCG00000015056,-3.14758280821338,0.000385699381390699,0.0239143033114674
ENSSSCG00000036515,-3.44400818140951,0.000386320940359804,0.0239143033114674
ENSSSCG00000005216,3.35097792321378,0.000392043478968366,0.0241873781154831
ENSSSCG00000023716,-3.462055947807,0.000396385695281017,0.0243737564028297
ENSSSCG00000010359,-3.2329655873328,0.000399361352268508,0.0244751457318843
ENSSSCG00000000653,3.40348869459633,0.000403521280136171,0.0245672185201501
ENSSSCG00000004180,-3.69682663775022,0.000403527251672656,0.0245672185201501
ENSSSCG00000006774,-3.14449216046299,0.000406155068381538,0.0246458636395863
ENSSSCG00000057393,-3.1737301137591,0.00041112814908167,0.0248290770113423
ENSSSCG00000001101,-3.2416243787895,0.000411866296171234,0.0248290770113423
ENSSSCG00000023320,3.37197657463102,0.000423312029955545,0.0253752233198375
ENSSSCG00000056792,-3.60975700240821,0.000423676954654413,0.0253752233198375
ENSSSCG00000004093,7.06249982779601,0.000434146614789557,0.0257514553151864
ENSSSCG00000013894,7.06249982779601,0.000434146614789557,0.0257514553151864
ENSSSCG00000056297,7.06249982779601,0.000434146614789557,0.0257514553151864
ENSSSCG00000052639,-4.15753503622843,0.000440591529978666,0.0259667474553241
ENSSSCG00000052546,-4.15753503622843,0.000440591529978666,0.0259667474553241
ENSSSCG00000014418,-3.13206269245493,0.000458062516268211,0.0269104434318461
ENSSSCG00000059591,-3.7570541706018,0.000464373730803587,0.0271946101972501
ENSSSCG00000040904,3.14417155441454,0.000465889820739646,0.0271970554531147
ENSSSCG00000004361,-3.41531950863594,0.000468768992543749,0.027278806326355
ENSSSCG00000027053,-3.11475040057588,0.000473812438550258,0.0274855913645805
ENSSSCG00000000240,-3.17639360660753,0.000486733280191605,0.0280955355619065
ENSSSCG00000013380,-3.08406073614366,0.000487373089380933,0.0280955355619065
ENSSSCG00000007170,-3.09521876866651,0.00049759594393561,0.028468652259567
ENSSSCG00000031423,3.16124555733281,0.000497794728142608,0.028468652259567
ENSSSCG00000003578,-3.09522229418284,0.000498475344491796,0.028468652259567
ENSSSCG00000013056,-4.11189700708271,0.000514286205296205,0.0292809803367256
ENSSSCG00000034723,-3.07215223689936,0.000527835460998534,0.0299599407662768
ENSSSCG00000025822,-3.06694541861161,0.000530345466159556,0.0299627862154176
ENSSSCG00000039245,-3.10477252908062,0.000531134118959264,0.0299627862154176
ENSSSCG00000025667,-3.0796774660795,0.0005372906378443,0.0301710205243667
ENSSSCG00000058261,-3.2473715888324,0.000538096479238718,0.0301710205243667
ENSSSCG00000034741,6.98067242209387,0.000548933965329088,0.0305927034997755
ENSSSCG00000050719,6.98067242209387,0.000548933965329088,0.0305927034997755
ENSSSCG00000029870,-3.85056814324896,0.000556915537584765,0.0309318747252679
ENSSSCG00000016469,3.09201276986835,0.000560604598803846,0.0309318747252679
ENSSSCG00000054399,4.06969107759762,0.000561727003467489,0.0309318747252679
ENSSSCG00000061463,4.06969107759762,0.000561727003467489,0.0309318747252679
ENSSSCG00000061647,-3.06347713636292,0.000575324740010498,0.0315863555921835
ENSSSCG00000001899,-3.10973182637293,0.000582969578627345,0.0319110973796399
ENSSSCG00000004191,-3.05990339760146,0.000592895159104137,0.0323583934911065
ENSSSCG00000035121,-3.18063763927078,0.00060939534435109,0.0331608139151757
ENSSSCG00000017478,-3.02388828637196,0.000636099965978208,0.0345121649188235
ENSSSCG00000056034,-3.49068333422912,0.000643821457649024,0.0348286640154004
ENSSSCG00000053053,-3.07594093860578,0.00065499806549689,0.0352506433195514
ENSSSCG00000013344,-3.04132645232841,0.000655443739285853,0.0352506433195514
ENSSSCG00000060014,3.26421615949593,0.000662246495146041,0.0355129683022065
ENSSSCG00000004584,-3.02526408019925,0.000671448308082283,0.0359020490991127
ENSSSCG00000017923,3.1583928369715,0.00068230726593722,0.0362992801177932
ENSSSCG00000033993,-3.00164649144205,0.000699487555759477,0.0362992801177932
ENSSSCG00000043340,6.8939233459789,0.000700522779960665,0.0362992801177932
