,logFC,PValue,FDR
ENSSSCG00000015662,5.42318328468598,5.80596440676681e-08,1.32964224341811e-05
ENSSSCG00000014169,9.34285648812255,6.53468349884469e-08,1.4770930687973e-05
ENSSSCG00000048042,9.32377728815644,7.05986064025466e-08,1.57534454414913e-05
ENSSSCG00000016218,-5.28509271592225,7.47869859145283e-08,1.64768036688907e-05
ENSSSCG00000004509,5.23517061692517,8.6714558531849e-08,1.88658361405854e-05
ENSSSCG00000034870,5.94080912676105,9.02181186808815e-08,1.93857574770462e-05
ENSSSCG00000010591,-5.20389212510102,9.84543874020484e-08,2.08607550954138e-05
ENSSSCG00000037207,-6.33891663967498,9.94796134972334e-08,2.08607550954138e-05
ENSSSCG00000006148,9.22440241446454,1.05449718525608e-07,2.18494327492643e-05
ENSSSCG00000059716,9.18265317418693,1.24719885856888e-07,2.55382307451662e-05
ENSSSCG00000008294,-5.11210927966123,1.49021895200256e-07,3.01596056507031e-05
ENSSSCG00000033333,5.53080384811449,1.77382046135416e-07,3.53185173353635e-05
ENSSSCG00000015334,-5.06290638944099,1.78571072996954e-07,3.53185173353635e-05
ENSSSCG00000008564,9.07266728096332,1.93652440983987e-07,3.78710194980482e-05
ENSSSCG00000062035,5.08983012727277,2.24280551710708e-07,4.33733666947208e-05
ENSSSCG00000004678,5.0388257484202,2.29069496297156e-07,4.38126877258462e-05
ENSSSCG00000041917,9.02621253991264,2.32974318429777e-07,4.40751957855464e-05
ENSSSCG00000027434,4.99571520624926,2.36695937777797e-07,4.42977720109953e-05
ENSSSCG00000016628,-5.13164354987433,2.47576575833381e-07,4.58411734295745e-05
ENSSSCG00000009517,5.03799044065892,2.53170489968663e-07,4.63834987147851e-05
ENSSSCG00000049234,6.09961455969571,2.62953569685809e-07,4.7674030003974e-05
ENSSSCG00000028896,6.07709261711111,2.88480191952168e-07,5.09513506532308e-05
ENSSSCG00000007219,6.07709261711111,2.88480191952168e-07,5.09513506532308e-05
ENSSSCG00000015636,-5.22348705970704,2.89812336378618e-07,5.09513506532308e-05
ENSSSCG00000003687,4.91649611588575,3.31839885375561e-07,5.77567320496164e-05
ENSSSCG00000012649,4.87558958968177,3.90088117942613e-07,6.72226108197147e-05
ENSSSCG00000009434,4.88044401180562,3.94408719836153e-07,6.73008212622377e-05
ENSSSCG00000030168,-4.85302695447617,4.64338762606641e-07,7.76308262645747e-05
ENSSSCG00000025721,5.95888635243123,4.68327305819037e-07,7.76308262645747e-05
ENSSSCG00000035429,5.95888635243123,4.68327305819037e-07,7.76308262645747e-05
ENSSSCG00000006720,4.8414378230902,5.07431403105334e-07,8.26299094411807e-05
ENSSSCG00000063066,-4.83719600047417,5.07980483206339e-07,8.26299094411807e-05
ENSSSCG00000036883,4.80146717892318,5.45115254003017e-07,8.78493610733566e-05
ENSSSCG00000054868,8.76844299716622,6.42447632745182e-07,0.000101652736799363
ENSSSCG00000055955,8.76844299716622,6.42447632745182e-07,0.000101652736799363
ENSSSCG00000061081,-4.75816931156021,6.81907273804471e-07,0.000106924289194296
ENSSSCG00000051666,8.73994001025913,7.17795292954034e-07,0.000111546670302366
ENSSSCG00000050281,6.35955747634395,7.44407796853639e-07,0.000114658563754315
ENSSSCG00000004791,4.7412763322288,7.77250549919684e-07,0.000118462049142881
ENSSSCG00000006116,4.86173107101906,7.82713912751007e-07,0.000118462049142881
ENSSSCG00000061653,8.71086252729072,8.03553863382827e-07,0.000120567715449811
ENSSSCG00000056251,-8.87017631871918,8.1352520352552e-07,0.000121020565533006
ENSSSCG00000028691,4.69173298759308,8.51506342971878e-07,0.000125597185588352
ENSSSCG00000004676,4.72781621941968,8.80823906778502e-07,0.000128308998496403
ENSSSCG00000035073,4.76876046030365,8.84635439216795e-07,0.000128308998496403
ENSSSCG00000034286,8.65088804028145,1.01326345699691e-06,0.000145750830322572
ENSSSCG00000005688,4.63312774224104,1.07824090846293e-06,0.000153826090260634
ENSSSCG00000009336,-5.33412489154347,1.10684857201099e-06,0.000156623572323995
ENSSSCG00000014833,4.63874665649216,1.12093721997832e-06,0.000157338002530022
ENSSSCG00000014186,8.61993916865418,1.1415153002115e-06,0.000158944590401449
ENSSSCG00000014861,5.02715060244305,1.17420867935048e-06,0.000162199222730914
