,ovary00.txt,ovary18.txt
ENSSSCG00000028996,9.25262526342296,15.3734751842128
ENSSSCG00000005267,667.328334763815,231.159375264539
ENSSSCG00000005268,1.34646412415483,1.24561206183387
ENSSSCG00000005269,3.348897949821,4.39242148120366
ENSSSCG00000031382,15.0527784136284,13.6033948858173
ENSSSCG00000005271,36.6997785635023,34.9426962609187
ENSSSCG00000005272,3.31437322868882,5.67081280782264
ENSSSCG00000005273,30.7960512499003,64.1490211844445
ENSSSCG00000023520,37.8390943608641,12.1611072352728
ENSSSCG00000057774,1.51908772981571,1.34394985618918
ENSSSCG00000037277,35.8366605351979,27.4034653603452
ENSSSCG00000005277,11.8765040694683,22.6504719665055
ENSSSCG00000004361,27.6197769057402,1.01615720833816
ENSSSCG00000004349,36.837877448031,30.7469503684256
ENSSSCG00000004272,32.7984850755665,34.8115792017783
ENSSSCG00000037594,125.255688267532,194.34826091087
ENSSSCG00000044472,1.20836523962613,1.11449500269347
ENSSSCG00000004261,0.897642749436556,0.491688971776529
ENSSSCG00000004351,11.2895838102213,17.6024651895998
ENSSSCG00000004262,12.2908007230544,13.9311875336683
ENSSSCG00000038757,5.14418344869411,11.2105085565049
ENSSSCG00000004353,40.5665473303059,36.4833217058185
ENSSSCG00000005284,17.918330267599,14.0623045928087
ENSSSCG00000004263,10.7026635509743,14.9145654772214
ENSSSCG00000021802,13.2920176358875,14.5867728293704
ENSSSCG00000031105,6.21444980379154,5.37579942475672
ENSSSCG00000034919,0.621444980379154,1.18005353226367
ENSSSCG00000023834,5.48943066001586,1.86841809275081
ENSSSCG00000025941,193.096765292256,113.875165863444
ENSSSCG00000030268,147.351509792124,172.976180270983
ENSSSCG00000027002,13.3610670781518,8.3259332554159
ENSSSCG00000005266,0.241673047925227,1.27839132661898
ENSSSCG00000005288,70.534005273034,43.2358502515495
ENSSSCG00000035934,4.21201597812538,24.8466827071073
ENSSSCG00000005036,1.34646412415483,4.52353854034407
ENSSSCG00000004241,1392.76177519308,976.297622359477
ENSSSCG00000005037,78.5092158545665,101.582941569031
ENSSSCG00000004242,9.11452637889426,7.24421751750753
ENSSSCG00000005291,81.1330946606118,59.166572937109
ENSSSCG00000005038,98.706177716889,74.4089310621814
ENSSSCG00000033805,0.863118028304381,2.03231441667632
ENSSSCG00000033763,50.0953703627863,54.6758136615501
ENSSSCG00000004344,4.45368902605061,5.83470913174815
ENSSSCG00000005286,11.9110287906005,10.3582476720922
ENSSSCG00000005039,20.8529315638338,28.4524018334685
ENSSSCG00000005040,38.8403112736971,27.960712861692
ENSSSCG00000004250,1.31193940302266,0.917819413982855
ENSSSCG00000005287,85.3796353598694,78.0474294533278
ENSSSCG00000005041,146.937213138538,95.4532190542169
ENSSSCG00000020885,66.2874645737765,51.9223554196015
ENSSSCG00000004253,34.7663941801005,49.201676442438
ENSSSCG00000060009,2.55482936378097,4.29408368684836
