,logFC,PValue,FDR
ENSSSCG00000007507,14.6377007777673,1.52386790596385e-17,2.75332453249549e-13
ENSSSCG00000026849,-12.1534250583826,5.01122466535427e-13,4.52714036268105e-09
ENSSSCG00000048484,-11.7773709014529,2.56195302179233e-12,1.54297890659146e-08
ENSSSCG00000022251,7.24253912461976,1.51635403458856e-11,6.84937117423651e-08
ENSSSCG00000017144,7.29345646072294,3.30381313433858e-11,1.19386591422459e-07
ENSSSCG00000015049,-7.2943576527777,7.58169869232251e-11,2.28310219954805e-07
ENSSSCG00000007164,7.89501147734274,1.33536042254361e-10,3.44675601635971e-07
ENSSSCG00000036907,6.68023146642061,1.84200382575042e-10,4.16016564045731e-07
ENSSSCG00000054576,-10.5847671467369,4.2947836278929e-10,8.62201673208543e-07
ENSSSCG00000036183,-7.56761408031324,5.36472685327651e-10,9.6929884785e-07
ENSSSCG00000008618,-6.84212723928084,1.9679185131108e-09,3.23239560862599e-06
ENSSSCG00000003732,5.72813676319126,1.11137189872479e-08,1.67335562217996e-05
ENSSSCG00000048959,-9.74063387697169,1.47605091775748e-08,2.05148369092631e-05
ENSSSCG00000009936,-6.65006102539527,2.66785137317949e-08,3.4430527579005e-05
ENSSSCG00000035077,5.50547613796876,4.26961501766439e-08,5.14289360927735e-05
ENSSSCG00000039445,6.49992479067529,5.06854175248992e-08,5.72365077399924e-05
ENSSSCG00000002314,5.7955537923131,7.54461290266139e-08,8.01859211325212e-05
ENSSSCG00000033207,5.27028665948639,8.49007830526939e-08,8.52215193442263e-05
ENSSSCG00000006820,9.29154789637621,1.3514325702048e-07,0.000128514124623476
ENSSSCG00000002450,5.01215444231735,2.31107002601953e-07,0.000208782066150604
ENSSSCG00000055991,-6.07994916558972,2.85764720286022e-07,0.000245866522196564
ENSSSCG00000034528,9.06062267444273,3.36589811050445e-07,0.000274260854913538
ENSSSCG00000038182,4.9122116860921,3.49125507140324e-07,0.000274260854913538
ENSSSCG00000005742,-5.48437355960394,5.99841012590848e-07,0.000447455849291572
ENSSSCG00000012833,-8.81055026103839,6.19127531120727e-07,0.000447455849291572
ENSSSCG00000051611,8.88318984789078,6.71212186226311e-07,0.000466440837720653
ENSSSCG00000035724,4.71789960987378,7.92931025862664e-07,0.000530617695380986
ENSSSCG00000004573,4.67036966621002,9.81314609398601e-07,0.000633228298664783
ENSSSCG00000015476,4.57878145383507,1.45019031329713e-06,0.00086691838715462
ENSSSCG00000014985,4.85265160707843,1.46096639265332e-06,0.00086691838715462
ENSSSCG00000025410,4.79590805146758,1.4874070180315e-06,0.00086691838715462
ENSSSCG00000017321,8.62547682579284,1.79472455073745e-06,0.00100987762493552
ENSSSCG00000004572,4.5591512727909,1.84447429836574e-06,0.00100987762493552
ENSSSCG00000026852,5.11272340808112,2.70585644247125e-06,0.00143792394713443
ENSSSCG00000062630,-8.4142332161048,2.81460115115536e-06,0.00145297753140214
ENSSSCG00000026156,8.4130641413373,3.96171680650754e-06,0.00196603376098605
ENSSSCG00000057692,-4.39487003604183,4.02608197678127e-06,0.00196603376098605
ENSSSCG00000001101,-8.26659169415781,4.87265551373339e-06,0.0023077879915116
ENSSSCG00000062042,5.36909232567809,4.98138873527521e-06,0.0023077879915116
ENSSSCG00000043216,-4.3055746846395,5.28415294280888e-06,0.00238685188426677
ENSSSCG00000044775,-4.37151189901321,5.48804267143505e-06,0.00241848670701191
ENSSSCG00000055762,-4.44068715762301,5.99223892144553e-06,0.00257780411506376
ENSSSCG00000040725,4.52050683862994,6.163953015122e-06,0.00259000704830754
ENSSSCG00000053614,-4.70762671543157,6.57525605461266e-06,0.00270003923624412
ENSSSCG00000009735,-8.14501446711511,7.60376056657544e-06,0.00298662491123663
ENSSSCG00000005939,-8.14501446711511,7.60376056657544e-06,0.00298662491123663
ENSSSCG00000058863,4.29664646540288,8.05505487478486e-06,0.00309656875484283
ENSSSCG00000029515,-4.29208313771591,8.22711363737403e-06,0.00309682269166821
ENSSSCG00000028277,-8.10210017949497,8.8831312659964e-06,0.00327551868804128
ENSSSCG00000001582,-4.42193909572466,9.1848827650192e-06,0.00331904923596734
ENSSSCG00000000138,-4.32562296808662,9.51025785464429e-06,0.003369241939563
ENSSSCG00000026442,-4.67640650433886,1.0102688536617e-05,0.0035102957015307
ENSSSCG00000057674,4.77452133689685,1.0326026081689e-05,0.00352020074045203
ENSSSCG00000006243,4.28755184868998,1.10263692035967e-05,0.00368934145871456
ENSSSCG00000007371,4.21203737870952,1.13052208242848e-05,0.00371386781551234
ENSSSCG00000054220,8.0840034687166,1.30058283942463e-05,0.00419623763262931
ENSSSCG00000033493,4.01922608550301,1.41646877291584e-05,0.00448995750684971
ENSSSCG00000027954,4.03615153548758,1.47173943519616e-05,0.00453821903680171
ENSSSCG00000003080,4.21313115283828,1.48192895268597e-05,0.00453821903680171
ENSSSCG00000006286,4.23269808226774,1.53303351503641e-05,0.00461647492494631
ENSSSCG00000003582,3.97735061627957,1.60330884829043e-05,0.00474894824113302
ENSSSCG00000015810,-4.02050493293416,1.66460671709054e-05,0.00485098615554708
ENSSSCG00000009527,4.12908738493959,1.75879963263371e-05,0.00504412567657553
ENSSSCG00000011747,-4.06829808645568,1.92203265804351e-05,0.00542613844773908
ENSSSCG00000010479,3.90961434891333,2.04590522692668e-05,0.00563349756772913
ENSSSCG00000043705,-7.86599826413091,2.05784170616627e-05,0.00563349756772913
ENSSSCG00000044927,-5.45475318227545,2.48816237587553e-05,0.00670986832945061
ENSSSCG00000007216,4.04440525076777,2.63806808313177e-05,0.00700950207735658
ENSSSCG00000049017,7.86249690192616,2.81258189217393e-05,0.00736488835185485
ENSSSCG00000009648,7.81380104693547,3.32110505682344e-05,0.00848798648407407
ENSSSCG00000017249,4.18033503300969,3.41676441251711e-05,0.00848798648407407
ENSSSCG00000038489,3.81228962566671,3.41849958585612e-05,0.00848798648407407
ENSSSCG00000027762,3.94811788283519,3.47149884852394e-05,0.00848798648407407
ENSSSCG00000030371,4.85973914420221,3.48659936505611e-05,0.00848798648407407
ENSSSCG00000026985,4.45595240339976,3.52335059943301e-05,0.00848798648407407
ENSSSCG00000002399,-4.84850045585977,3.66940847206427e-05,0.00872353582542858
ENSSSCG00000032857,4.25056722784917,3.88584199054305e-05,0.0089157222434518
ENSSSCG00000053305,7.76340395175455,3.9391757677248e-05,0.0089157222434518
ENSSSCG00000016254,7.76340395175455,3.9391757677248e-05,0.0089157222434518
ENSSSCG00000052556,4.42593565209036,3.94762995060961e-05,0.0089157222434518
ENSSSCG00000014827,-3.91190870690101,4.0152613381373e-05,0.00895651134042774
ENSSSCG00000003069,4.79275943648284,4.46947028050076e-05,0.00984809622293753
ENSSSCG00000042333,7.71118243060126,4.69442348555376e-05,0.0102191377755404
ENSSSCG00000011106,3.69249080421043,4.88268291683406e-05,0.0105024184453997
ENSSSCG00000022163,3.72747555199204,5.22061962899923e-05,0.0110971947596186
ENSSSCG00000053859,-7.5835490312335,5.4167646058128e-05,0.0111216026020256
ENSSSCG00000000239,-7.5835490312335,5.4167646058128e-05,0.0111216026020256
ENSSSCG00000035851,-7.5835490312335,5.4167646058128e-05,0.0111216026020256
ENSSSCG00000048217,7.65699941374391,5.6225290237176e-05,0.0114143656629809
ENSSSCG00000008709,-3.65903931023715,5.84934597270292e-05,0.0117428870038663
ENSSSCG00000040431,-3.73503124162793,6.25475934350938e-05,0.0124187903097283
ENSSSCG00000034220,4.11781697810972,6.43020585147162e-05,0.0126283651439554
ENSSSCG00000011888,3.81124278923425,6.78318191750657e-05,0.0131783366543558
ENSSSCG00000028952,3.64318464879014,7.23855926498823e-05,0.0139134349787029
ENSSSCG00000003584,3.59444607546477,7.48091334127945e-05,0.0142279097105513
ENSSSCG00000040961,3.58225701763707,7.64253579489057e-05,0.014383889243967
ENSSSCG00000008634,3.60850801318368,7.93140842088477e-05,0.0147736791080975
ENSSSCG00000061545,-4.18886326902909,9.69902340613067e-05,0.017881832132854
