,logFC,PValue,FDR
ENSSSCG00000055799,-17.9879850769219,7.94280147991304e-24,1.44130075654502e-19
ENSSSCG00000010475,12.3926763794072,1.91264677081337e-20,1.73534441515897e-16
ENSSSCG00000004179,-10.352472596171,1.18984049989097e-16,7.19694857034054e-13
ENSSSCG00000006106,9.74824171911561,4.22014944322362e-16,1.91447079491839e-12
ENSSSCG00000014982,-10.0222439854328,1.93626518987103e-15,6.69973757901474e-12
ENSSSCG00000008522,9.98612709177732,2.21527749774542e-15,6.69973757901474e-12
ENSSSCG00000005756,-9.2611705946306,5.73069935061e-15,1.48556100594527e-11
ENSSSCG00000044108,9.59558652044833,1.22582385546748e-14,2.78047496016412e-11
ENSSSCG00000010428,12.786956841764,2.66996230721345e-14,5.38323733629947e-11
ENSSSCG00000028969,8.70320717732696,3.19702081296648e-14,5.80131396720897e-11
ENSSSCG00000009699,8.64665450898464,4.3549065572212e-14,7.18401221703053e-11
ENSSSCG00000013714,-8.4269273880035,6.79374726647801e-13,1.02732781581258e-09
ENSSSCG00000027954,7.89195430626589,1.05418737853247e-12,1.44356580641481e-09
ENSSSCG00000058944,11.9300145106675,1.11373973822371e-12,1.44356580641481e-09
ENSSSCG00000007578,11.841981603408,1.63185944772065e-12,1.97411476922259e-09
ENSSSCG00000022258,-12.007710802593,1.77408240333767e-12,2.01203120568534e-09
ENSSSCG00000015356,11.776646077088,2.16631736252758e-12,2.31235263884856e-09
ENSSSCG00000050351,7.84271860388143,3.41506035856836e-12,3.40511874328121e-09
ENSSSCG00000022251,-11.846358127207,3.5653728712853e-12,3.40511874328121e-09
ENSSSCG00000033815,11.6129152486395,4.4025825230333e-12,3.99446312314812e-09
ENSSSCG00000015655,8.10326421728143,8.34181107812758e-12,7.20811922970014e-09
ENSSSCG00000014257,7.29176326317149,1.60762627561987e-11,1.32599938169992e-08
ENSSSCG00000052744,7.23051069380353,5.82678789745723e-11,4.59708231248951e-08
ENSSSCG00000057515,10.9048623003034,9.29307568179655e-11,7.02633963841168e-08
ENSSSCG00000001726,6.92614981233457,1.03686123483995e-10,7.52595358696227e-08
ENSSSCG00000006243,7.01476971219421,1.10717415338716e-10,7.54327943009512e-08
ENSSSCG00000001836,7.05923932325526,1.12238809992598e-10,7.54327943009512e-08
ENSSSCG00000011277,7.88926485499868,1.32991070009926e-10,8.5578340381953e-08
ENSSSCG00000013934,6.89318690445878,1.36766883670045e-10,8.5578340381953e-08
ENSSSCG00000059433,7.25225178130466,1.46831244231165e-10,8.88133252606237e-08
ENSSSCG00000035724,6.69511964547273,1.68249526799325e-10,9.84856746225985e-08
ENSSSCG00000056178,-7.3730360067312,2.02383616722759e-10,1.1476415965785e-07
ENSSSCG00000033691,6.84534828302183,2.31062981878322e-10,1.2705663239891e-07
ENSSSCG00000029990,6.56103314644979,3.52286044434635e-10,1.88017134185614e-07
ENSSSCG00000011851,-7.61977442957815,4.40721735981533e-10,2.28495332032026e-07
ENSSSCG00000001989,6.92865577478547,4.56438521512026e-10,2.300703725377e-07
ENSSSCG00000039573,-6.41575890956435,5.48009063111729e-10,2.68761417816904e-07
ENSSSCG00000011904,-6.44538028076765,7.63394086162962e-10,3.59380633102688e-07
ENSSSCG00000046471,6.42098255545789,7.7239307235781e-10,3.59380633102688e-07
ENSSSCG00000008949,10.3739667110664,8.91133900311381e-10,3.91258253152233e-07
ENSSSCG00000009936,-10.546917629964,9.22001159034483e-10,3.91258253152233e-07
ENSSSCG00000010753,-7.98011182165688,9.25116307117085e-10,3.91258253152233e-07
ENSSSCG00000002314,6.82611252573251,9.2715225865458e-10,3.91258253152233e-07
ENSSSCG00000044239,-7.0145089281611,9.49395219250007e-10,3.91539219284333e-07
ENSSSCG00000002479,-7.91580444957686,1.21690283532937e-09,4.9070930777526e-07
ENSSSCG00000009444,-10.4417474461448,1.43477077670321e-09,5.65985880740358e-07
ENSSSCG00000003048,-10.4181777237221,1.58392211164478e-09,6.11528736976729e-07
ENSSSCG00000024314,6.8685173783664,1.75205032553348e-09,6.62348025148552e-07
ENSSSCG00000039553,-6.30068625265112,1.83474839147777e-09,6.79456006362359e-07
ENSSSCG00000022569,6.20476241549799,2.01990923395504e-09,7.33065459186962e-07
ENSSSCG00000038182,-7.24290478130496,2.21302046036187e-09,7.87401358308364e-07
ENSSSCG00000004181,-6.1733517756996,2.33736024017148e-09,8.15648825349069e-07
ENSSSCG00000033181,10.0638874888189,3.28824530469102e-09,1.11372317295566e-06
ENSSSCG00000039341,6.88020218094435,3.31428696900725e-09,1.11372317295566e-06
ENSSSCG00000006791,-6.09921313788175,3.72347393998821e-09,1.22847560209138e-06
ENSSSCG00000011039,10.0288736852654,3.80742122452975e-09,1.23374045607709e-06
ENSSSCG00000024346,6.67592910277604,4.00028572202966e-09,1.2734944686307e-06
ENSSSCG00000015049,-6.20770380121465,4.13654041804261e-09,1.2941665935483e-06
ENSSSCG00000022721,5.97568084903334,4.53787556049531e-09,1.39566593086013e-06
ENSSSCG00000008957,-7.03957079161964,5.2566086253828e-09,1.58977366860327e-06
ENSSSCG00000017262,5.98738607348087,7.2707987123712e-09,2.1429515950663e-06
ENSSSCG00000007486,-6.09234640197267,7.32188906062552e-09,2.1429515950663e-06
ENSSSCG00000026849,-6.3007869492529,8.89320788127188e-09,2.53251820910803e-06
ENSSSCG00000011524,5.84615812666722,8.93206025476215e-09,2.53251820910803e-06
ENSSSCG00000015810,-6.04192927339373,9.08506797247234e-09,2.53627143736128e-06
ENSSSCG00000042539,6.84344622538328,1.17345713038671e-08,3.18506547401296e-06
ENSSSCG00000024476,5.71399661916297,1.17601337351961e-08,3.18506547401296e-06
ENSSSCG00000010036,5.70984030687587,1.2080681357236e-08,3.22376535159417e-06
ENSSSCG00000028671,9.74229631783799,1.25475619119919e-08,3.29982693413052e-06
ENSSSCG00000005638,-5.70298394288349,1.59843605225394e-08,4.10748916951848e-06
ENSSSCG00000015272,5.75045492308685,1.60714058765465e-08,4.10748916951848e-06
ENSSSCG00000002450,5.63277022271599,1.65425724769031e-08,4.16918778008171e-06
ENSSSCG00000061605,-5.86379291434599,1.80200207308629e-08,4.47933282441423e-06
ENSSSCG00000015401,5.74326500834515,2.13548864051938e-08,5.19984552629781e-06
ENSSSCG00000007436,-6.28329677073568,2.14917014478307e-08,5.19984552629781e-06
ENSSSCG00000015618,-5.59189249497115,2.40946379873876e-08,5.75291185419914e-06
ENSSSCG00000002827,5.65904315854546,2.96000226342728e-08,6.97561052885084e-06
ENSSSCG00000032797,5.78776971830004,3.23025797724677e-08,7.51490528911793e-06
ENSSSCG00000017320,6.57114975180592,3.69883096908986e-08,8.49607427406386e-06
ENSSSCG00000004509,5.46616497531538,3.76358735988039e-08,8.5367570290487e-06
ENSSSCG00000036183,-6.01240538569094,4.24376204383927e-08,9.50707482067992e-06
ENSSSCG00000048959,-9.59769207104579,4.67469767711453e-08,1.03447639084049e-05
ENSSSCG00000041010,6.50485181108288,4.88406370766084e-08,1.05812664609625e-05
ENSSSCG00000007485,-5.37887258290626,4.89819454822469e-08,1.05812664609625e-05
ENSSSCG00000043194,5.89326297320131,4.98994156599406e-08,1.06526446654739e-05
ENSSSCG00000058261,-9.56943989757125,5.23997239278622e-08,1.10563417487789e-05
ENSSSCG00000014988,-6.48640237863599,5.39181131759956e-08,1.12459549619726e-05
ENSSSCG00000023467,5.52023279062586,5.93950899912459e-08,1.22475375338767e-05
ENSSSCG00000011060,5.83814194373293,6.29656807838457e-08,1.2789695507013e-05
ENSSSCG00000054096,9.3468994664716,6.3433957656297e-08,1.2789695507013e-05
ENSSSCG00000017251,-5.71090618428033,6.80673211397986e-08,1.35730726307998e-05
ENSSSCG00000006614,5.32793657571933,7.10419665416965e-08,1.40122557050611e-05
ENSSSCG00000011821,5.30722819099832,7.25983901994407e-08,1.41652729952586e-05
ENSSSCG00000035102,5.98642232321562,7.45039691755496e-08,1.42476245845002e-05
ENSSSCG00000057672,5.73710463553823,7.45907822951351e-08,1.42476245845002e-05
ENSSSCG00000027607,-5.40112170514248,9.12972940513881e-08,1.72570906026718e-05
ENSSSCG00000013148,5.36581723175957,9.46106293274194e-08,1.7699015255416e-05
ENSSSCG00000002456,-5.30333524655507,1.05974392796892e-07,1.96225646091061e-05
ENSSSCG00000007859,-9.38721784509611,1.0890570489746e-07,1.99616456673667e-05
ENSSSCG00000003744,5.17765320450666,1.11942933180485e-07,2.03131646549308e-05
ENSSSCG00000022649,5.16721827046606,1.30482250284159e-07,2.34358098013684e-05
ENSSSCG00000017135,5.28070851041366,1.32398645430041e-07,2.34358098013684e-05
ENSSSCG00000007868,5.1906847816999,1.33025923594233e-07,2.34358098013684e-05
ENSSSCG00000010437,5.1401144031445,1.35704369042575e-07,2.36778026985247e-05
ENSSSCG00000028814,-5.14057751187912,1.38537173518736e-07,2.39418623873428e-05
ENSSSCG00000011850,-5.16411381800912,1.42829829542615e-07,2.44508498762291e-05
ENSSSCG00000022083,-5.5200195311247,1.51732899725203e-07,2.57321981160143e-05
ENSSSCG00000034740,5.10250789888754,1.53311311205284e-07,2.57591393808433e-05
ENSSSCG00000008830,5.09345362279566,1.62443499475179e-07,2.70431168942807e-05
ENSSSCG00000005236,9.09938730491415,1.71834839119205e-07,2.80911260419558e-05
ENSSSCG00000001736,9.09938730491415,1.71834839119205e-07,2.80911260419558e-05
ENSSSCG00000060202,-6.19114841312822,1.83202508045921e-07,2.96820777767972e-05
ENSSSCG00000010607,-5.08544652997616,1.91138162165674e-07,3.06937441651179e-05
ENSSSCG00000005136,5.11710476238727,2.09798844455515e-07,3.33948230832436e-05
ENSSSCG00000033514,6.06160198835118,3.07382749783849e-07,4.8502325022415e-05
ENSSSCG00000002474,-5.39128194953957,3.16963035927119e-07,4.9582855602875e-05
ENSSSCG00000010044,8.93260028789371,3.33270370272371e-07,5.12502045674783e-05
ENSSSCG00000007716,8.93260028789371,3.33270370272371e-07,5.12502045674783e-05
ENSSSCG00000034345,5.18005240979164,3.48158413341166e-07,5.30897694830992e-05
ENSSSCG00000034044,-5.03619795103741,3.87228896962633e-07,5.85554630356995e-05
ENSSSCG00000009564,-9.06177763385159,3.93365300989804e-07,5.89917913368676e-05
ENSSSCG00000015320,-5.27196431165627,4.26309430481517e-07,6.34082862747345e-05
ENSSSCG00000032557,4.89590334326617,4.33983082463778e-07,6.40248537755099e-05
ENSSSCG00000013935,8.85476179585945,4.52753415283887e-07,6.62553505946888e-05
ENSSSCG00000021132,5.95390326982902,4.77890347788737e-07,6.93743860077954e-05
ENSSSCG00000015515,-4.99558113714787,5.00366747763444e-07,7.20607540072655e-05
ENSSSCG00000008618,-5.12296227656621,5.2678211979854e-07,7.50424672224585e-05
ENSSSCG00000007847,-5.93160421274423,5.29341772538008e-07,7.50424672224585e-05
ENSSSCG00000013015,5.91613979383689,5.57531755373731e-07,7.81800797083462e-05
ENSSSCG00000017448,8.80043386079073,5.60090949084372e-07,7.81800797083462e-05
ENSSSCG00000008749,4.82801507308047,5.70408810838085e-07,7.90125059654037e-05
ENSSSCG00000015476,-5.48617776910192,5.95382589953947e-07,8.18470642220025e-05
ENSSSCG00000015543,4.79276972666606,6.43234802587082e-07,8.73590223102713e-05
ENSSSCG00000006512,4.7562638115297,6.45106854930913e-07,8.73590223102713e-05
ENSSSCG00000060025,-5.85094805671108,7.33839130640914e-07,9.86388508489631e-05
ENSSSCG00000044134,-8.88965320997531,7.65787241552548e-07,0.000102176288861857
ENSSSCG00000035689,8.7149020825932,7.81443502978532e-07,0.000103504188358018
ENSSSCG00000022196,4.80808789614627,8.45262323680911e-07,0.000110837673335456
ENSSSCG00000004902,4.94806033227971,8.49026595041792e-07,0.000110837673335456
ENSSSCG00000056769,8.68522626711969,8.76672436390035e-07,0.000113629271648097
ENSSSCG00000025993,-4.71036562680912,9.30245486250124e-07,0.000119717975840388
ENSSSCG00000055461,8.65492718596231,9.85582615603166e-07,0.000125946353117852
ENSSSCG00000048484,-4.93859361655546,1.02567637298998e-06,0.000130153310938994
ENSSSCG00000032417,4.88292993720518,1.04303113926375e-06,0.000131436410090833
ENSSSCG00000009134,4.70991325803525,1.05063381021115e-06,0.000131481387035114
ENSSSCG00000036461,4.78648449375395,1.06914604590744e-06,0.000132881672253674
ENSSSCG00000010701,-5.75447034768478,1.08239439871484e-06,0.000133613120810064
ENSSSCG00000058017,4.6263727920308,1.15478899315009e-06,0.000141586493714199
ENSSSCG00000013333,4.95555685690578,1.17972052329349e-06,0.000143672541044856
ENSSSCG00000029295,8.59235049589119,1.25398037914812e-06,0.000151698186400145
ENSSSCG00000004968,-4.98705834961127,1.37672695788586e-06,0.000165444287270177
ENSSSCG00000050204,-4.88529987413218,1.40277605508735e-06,0.000167465620365889
ENSSSCG00000006717,4.56010781936575,1.45500276903908e-06,0.000172565230372439
ENSSSCG00000036538,8.52693599625186,1.61060221661632e-06,0.000188750897789719
ENSSSCG00000013236,4.73070499456125,1.61227759051066e-06,0.000188750897789719
ENSSSCG00000012833,-8.66776765646848,1.78036078742604e-06,0.000207092479798929
ENSSSCG00000058827,4.66626033663433,1.79841287715837e-06,0.000207859873050419
ENSSSCG00000063044,4.67673354003535,1.81899376040743e-06,0.000208907979597173
ENSSSCG00000041871,8.49308178534896,1.83221860446334e-06,0.00020910338865781
ENSSSCG00000013462,-5.20675591804143,1.85290788559387e-06,0.000209264443014258
ENSSSCG00000040146,5.20754638790505,1.85669433072278e-06,0.000209264443014258
ENSSSCG00000031800,-5.0079868275591,1.95566317277226e-06,0.000217935629709551
