,endo00.txt,endo03.txt
ENSSSCG00000028996,2199.17593098086,2290.47180703714
ENSSSCG00000005267,164.804286906416,274.263246092087
ENSSSCG00000005268,22.4894356217537,19.5766821114285
ENSSSCG00000005269,4.07931403233703,11.8370636022591
ENSSSCG00000031382,16.884812864282,27.9233295232779
ENSSSCG00000005271,45.7237894581081,77.2064885596066
ENSSSCG00000005272,10.3579104125427,7.51198267066443
ENSSSCG00000005273,47.0007921117093,62.5998555888702
ENSSSCG00000023520,29.40653332876,12.1405780535991
ENSSSCG00000057774,2.23475464380203,2.76956936847729
ENSSSCG00000037277,41.3252247623708,37.8634278046621
ENSSSCG00000005277,10.9254671474766,14.6825115835714
ENSSSCG00000004349,38.9485809348353,34.5627081463399
ENSSSCG00000004272,46.8589029279758,44.7683815726466
ENSSSCG00000037594,160.618555986279,118.446514635426
ENSSSCG00000044472,0.354722959333655,0.872604047602434
ENSSSCG00000004261,0.851335102400771,0.79672543476744
ENSSSCG00000004351,13.6568339343457,14.1513612937264
ENSSSCG00000004262,20.183736386085,13.9237254552214
ENSSSCG00000038757,7.83937740127377,11.4576705380841
ENSSSCG00000004353,62.4667131386566,68.9736590670098
ENSSSCG00000005284,7.20087607447319,37.1425809827297
ENSSSCG00000004263,18.6938999568836,20.1078324012735
ENSSSCG00000021802,18.9422060284172,16.5035982916112
ENSSSCG00000031105,7.34276525820665,9.40894799153929
ENSSSCG00000034919,3.36986811366972,20.5251647718659
ENSSSCG00000023834,82.5795049328748,61.3478584770928
ENSSSCG00000032533,1.52530872513472,0.758786128349942
ENSSSCG00000025941,191.018313601173,181.122248837131
ENSSSCG00000030268,162.605004558547,114.690523300094
ENSSSCG00000027002,11.6349130661439,6.5255607038095
ENSSSCG00000005266,1.70267020480154,0.569089596262457
ENSSSCG00000005288,27.8812246036253,25.6849104446455
ENSSSCG00000035934,6.20765178833896,7.05671099365446
ENSSSCG00000005036,0.815862806467406,1.10023988610742
ENSSSCG00000004241,279.486219658987,213.712113049761
ENSSSCG00000005037,65.4109137011259,67.7596012616498
ENSSSCG00000004242,12.1669975051444,9.48482660437428
ENSSSCG00000005291,105.565552697696,145.762815256024
ENSSSCG00000005038,82.1893096776078,93.5962689319654
ENSSSCG00000033805,1.45436413326798,1.74520809520487
ENSSSCG00000037497,0.638501326800579,0.379393064174971
ENSSSCG00000033763,60.6930983419883,55.9604769658082
ENSSSCG00000004344,5.39178898187155,14.4928150514839
