,endo00.txt,endo03.txt
ENSSSCG00000028996,11.1027951994756,11.1614750648642
ENSSSCG00000005267,7.36525152464221,8.09980295455589
ENSSSCG00000005268,4.49587171638337,4.29645798941352
ENSSSCG00000005269,2.05402954428081,3.57414881626632
ENSSSCG00000031382,4.08390595734704,4.80718251564342
ENSSSCG00000005271,5.51718470100127,6.27201956596459
ENSSSCG00000005272,3.38283842682608,2.92320819114727
ENSSSCG00000005273,5.5568620335819,5.96977617846102
ENSSSCG00000023520,4.88165765557547,3.61045261922978
ENSSSCG00000057774,1.20669510713447,1.50736215981692
ENSSSCG00000037277,5.37150824156149,5.24552422052755
ENSSSCG00000005277,3.45927346861521,3.88321396168628
ENSSSCG00000004349,5.28621226479979,5.11420174546861
ENSSSCG00000004272,5.55250694540173,5.48676918713875
ENSSSCG00000037594,7.32815304957442,6.88898460256596
ENSSSCG00000044472,-1.22414339467451,-0.0801906926984457
ENSSSCG00000004261,-0.112999396678995,-0.200823141535931
ENSSSCG00000004351,3.77927659746486,3.83032509455351
ENSSSCG00000004262,4.34035304977704,3.80705111006683
ENSSSCG00000038757,2.98417096078379,3.52744542062212
ENSSSCG00000004353,5.9667080676712,6.10950636033386
ENSSSCG00000005284,2.86278932736581,5.21784738395798
ENSSSCG00000004263,4.23014350731349,4.33493706389371
ENSSSCG00000021802,4.24910639215636,4.05110446988922
ENSSSCG00000031105,2.89065931033527,3.24523327943773
ENSSSCG00000034919,1.78374843552253,4.36446670891676
ENSSSCG00000023834,6.3689921643493,5.94066428091847
ENSSSCG00000032533,0.676842555785388,-0.265145681966861
ENSSSCG00000025941,7.57812065929627,7.50140372195455
ENSSSCG00000030268,7.34587809284894,6.84252427564779
ENSSSCG00000027002,3.5494523247644,2.72222302662942
ENSSSCG00000005266,0.828630478826157,-0.638415329124696
ENSSSCG00000005288,4.80501117498455,4.68696185614495
ENSSSCG00000035934,2.65098957562025,2.83390989633605
ENSSSCG00000005036,-0.169434141855211,0.230901944783149
ENSSSCG00000004241,8.12701159925385,7.74001959068337
ENSSSCG00000005037,6.0330756731983,6.08391369289294
ENSSSCG00000004242,3.61356988948946,3.25673199732443
ENSSSCG00000005291,6.72299690827303,7.18820429896158
ENSSSCG00000005038,6.36216522684782,6.54950875119266
ENSSSCG00000033805,0.611354282482285,0.86277790356949
ENSSSCG00000037497,-0.49039551983205,-1.14330364835419
ENSSSCG00000033763,5.92520234972818,5.80822536312795
ENSSSCG00000004344,2.45025235006996,3.86454687121928
ENSSSCG00000005286,4.49360178282642,4.77155532091915
ENSSSCG00000005039,4.48219823132477,4.81108732523333
ENSSSCG00000005040,4.77728634703875,5.0228751492645
ENSSSCG00000004250,-0.00634991520041938,2.43903001016915
ENSSSCG00000005287,6.96708966203115,8.12433334585194
ENSSSCG00000005041,6.3224306422132,6.7149512234134
ENSSSCG00000020885,5.70842290047312,5.66993360417898
ENSSSCG00000004253,5.51158663502748,5.72788379815012
ENSSSCG00000060009,2.11436821608576,2.53659085456864
ENSSSCG00000063502,-3.769478477628,-0.555635070207388
ENSSSCG00000004364,4.78844029510798,4.6173089302162
ENSSSCG00000005043,4.22741406166702,4.69332264915751
ENSSSCG00000004254,4.98868851775255,5.6645481278514
ENSSSCG00000005045,5.12251426227712,4.62841633186193
ENSSSCG00000005047,2.19481502904789,3.18632342526982
ENSSSCG00000004366,0.912585116163273,0.321289721208094
ENSSSCG00000027256,6.31151842899443,6.71182165581429
ENSSSCG00000004367,2.24964893142121,1.6362059343074
ENSSSCG00000039333,7.87699114559897,5.85720227167241
ENSSSCG00000004368,5.85089444121532,5.92723487696642
ENSSSCG00000026294,6.31537923003163,6.3817684587861
ENSSSCG00000053030,0.0929554259756478,-2.74461008014547
ENSSSCG00000035648,4.57744307471128,4.26263883656596
ENSSSCG00000038522,6.77064532820864,5.06926098008329
