,logFC,PValue,FDR
ENSSSCG00000007221,13.3368333581193,4.5884933129258e-15,8.43273301049504e-11
ENSSSCG00000009738,8.81192619880973,3.8497896661541e-13,3.537571724229e-09
ENSSSCG00000040652,-7.41286726553112,3.30048992048073e-11,1.62950978958527e-07
ENSSSCG00000039341,8.18205998720113,3.86208503410307e-11,1.62950978958527e-07
ENSSSCG00000031478,-11.1126277035388,4.43331643700422e-11,1.62950978958527e-07
ENSSSCG00000059713,-7.0057981552869,1.2242584424854e-10,3.74990360933279e-07
ENSSSCG00000035018,-10.8123835814801,1.60329904331377e-10,4.20934711686006e-07
ENSSSCG00000010190,-7.54497026194641,1.90715340275373e-10,4.38120815447602e-07
ENSSSCG00000003417,10.8288867383849,2.37008908216348e-10,4.83972190577783e-07
ENSSSCG00000058827,7.2429309011542,3.53722892913124e-10,6.50071932595738e-07
ENSSSCG00000024416,-6.31277061455943,1.25533557139726e-09,1.95373780688939e-06
ENSSSCG00000013236,6.69188900130528,1.27570212660097e-09,1.95373780688939e-06
ENSSSCG00000057453,10.4059456740482,1.41681541370807e-09,2.00294105177899e-06
ENSSSCG00000007083,6.89079705847694,1.60999017741516e-09,2.11345710575256e-06
ENSSSCG00000008976,7.27270236099946,1.93554694450785e-09,2.37143211641102e-06
ENSSSCG00000036943,7.25218761393937,2.11269899186792e-09,2.42669887953428e-06
ENSSSCG00000012600,-6.23027617277144,2.559061936472e-09,2.76649648638132e-06
ENSSSCG00000001523,-6.51128590804687,2.76209508414733e-09,2.82009908091442e-06
ENSSSCG00000031955,-10.1240761300946,2.95136270306195e-09,2.85474440825644e-06
ENSSSCG00000014310,-6.03645083286391,3.71739652873947e-09,3.4159156702587e-06
ENSSSCG00000001101,-7.02119101581215,5.54963942009689e-09,4.85672729821622e-06
ENSSSCG00000058318,-9.95296764894972,6.02996299283741e-09,5.03721181283481e-06
ENSSSCG00000006858,-6.54138584704439,7.12224651043525e-09,5.69098462472953e-06
ENSSSCG00000006141,-6.33182899795073,7.74928273040003e-09,5.90575329943328e-06
ENSSSCG00000001107,-5.98935550343768,8.03372687375296e-09,5.90575329943328e-06
ENSSSCG00000054186,-5.78921295089093,9.03779199310785e-09,6.38832850958985e-06
ENSSSCG00000005504,-5.82317274122776,1.57324284643081e-08,1.07085396413724e-05
ENSSSCG00000057082,-6.46019824716242,1.98416352967852e-08,1.30231990530114e-05
ENSSSCG00000000240,-6.28491569521135,2.11835385095376e-08,1.34245196802856e-05
ENSSSCG00000012482,-6.69378891037416,2.21832642511101e-08,1.35894676802301e-05
ENSSSCG00000007836,-9.62837316975514,2.3069272700287e-08,1.36763578608347e-05
ENSSSCG00000013890,-9.58213895626114,2.78823090900089e-08,1.60131586392558e-05
ENSSSCG00000031944,-6.36675711588542,2.9439708011848e-08,1.63952410255073e-05
ENSSSCG00000048484,-6.11566814842679,4.33040874067963e-08,2.3407132893003e-05
ENSSSCG00000004179,-5.40366158496506,4.59275596756376e-08,2.4115905477682e-05
ENSSSCG00000029037,-9.45107366796726,4.75946617985088e-08,2.42970748481387e-05
ENSSSCG00000008741,-5.4117701974351,5.1037330867485e-08,2.46082737349802e-05
ENSSSCG00000009543,-9.4338205099274,5.10513110573617e-08,2.46082737349802e-05
ENSSSCG00000005167,5.88299236995417,5.22212795551326e-08,2.46082737349802e-05
