,endo00.txt,endo03.txt,endo06.txt,endo09.txt,endo12.txt,endo15.txt,endo18.txt,ovary00.txt,ovary03.txt,ovary06.txt,ovary09.txt,ovary12.txt,ovary15.txt,ovary18.txt,ovid00.txt,ovid03.txt,ovid06.txt,ovid09.txt,ovid12.txt,ovid15.txt,ovid18.txt
ENSSSCG00000028996,1929.28798679661,1929.34678271308,933.017917408093,246.071680133462,133.646039849419,402.868784914229,1398.31757568713,9.46961752377546,5.33644310408797,20.5104416675278,18.1659687523488,75.4660520540241,19.9761130632345,15.7617468345284,495.485539693573,275.712984737605,505.577358859613,322.077676549175,401.495785641026,360.990846109918,284.823676639293
ENSSSCG00000005267,144.579124581142,231.021796399537,125.130944374249,153.742871619683,176.64739085105,146.458765046176,141.624215851697,682.978496705433,163.60009859104,905.483657284393,325.766606308922,448.291569524612,219.067653313571,236.997523831758,290.407537715956,269.076494552562,293.959915109627,269.135144317837,236.07871208141,235.407038621214,281.236650437975
ENSSSCG00000005268,19.7294801946716,16.4901434419921,18.4006937360491,35.692164071131,22.7781214929139,13.3234273989316,9.94857228833076,1.3780413560718,0.304939605947884,0.155088405803613,0.097666498668542,0.46440647417861,0.371994656671033,1.27707117209399,5.00702651234407,5.30919214803427,4.12163630846575,1.90898553718764,2.05843359590709,1.26673791274086,3.62151683786943
ENSSSCG00000005269,3.57869120250352,9.97078440678594,10.928330797552,27.0374201159586,30.8746101752293,24.536212833676,10.0629236939438,3.42743619330679,2.24892959386564,2.4426423914069,2.24632946937647,5.34067445305401,2.41796526836171,4.50335623843669,20.4132619349412,10.7511140997694,8.06276299758264,10.9448504132091,9.95471984905889,5.47937794813487,26.3163556885179
ENSSSCG00000031382,14.8126696729711,23.5208247544694,12.9209609144845,12.2551174405241,19.6474792024186,17.7425840114485,18.2104613438698,15.4057956730078,19.2874300762037,15.198663768754,12.8431445749133,19.3193093258302,13.0570124491533,13.9469614847107,15.6863487939171,14.5339135052438,14.5611092941418,9.89490836775593,16.1637654498278,15.6721992925148,22.3154418485859
ENSSSCG00000005271,40.1124605219742,65.0338021404147,53.4273950102542,52.759319150731,32.6378454882669,44.8841205196681,43.1676556189065,37.560460551393,65.1808407713602,76.4585840611811,53.3747415223582,90.2341779329039,41.2914068904846,35.8252070908471,56.9330427207794,68.5217611605673,58.1240974303345,50.2699524792745,57.5349062462556,54.4108122054038,69.498632650542
ENSSSCG00000005272,9.08676374896545,6.32761318122954,19.8640314781714,28.4567981246069,10.0756303602147,5.77128662082433,5.60321887503686,3.39210179956136,8.30960426207983,6.35862463794812,6.54365541079232,9.47389207324364,3.57114870404191,5.81403454663842,12.5000591951527,13.7707171339639,13.3877967683742,13.3628987603135,13.0592426494434,7.54150943399208,10.1057565094833
ENSSSCG00000005273,41.2327464636275,52.7301098435795,56.852228023732,85.4742513012828,78.1940884740947,69.2224606692016,38.5364236915801,31.5182792209243,50.9249141932966,49.0467083353925,34.4274407806611,59.2118254577728,115.541540362023,65.7691653628404,35.0841997578235,29.2337392651137,34.8082715977728,28.9211308883927,36.3431636523269,30.7257591392724,34.2147114587283
ENSSSCG00000023520,25.7976957119601,10.2264455454215,5.66654189502696,7.40846082562759,8.67223898861336,20.7436530542772,32.0755692744457,38.7264955449922,21.0027153596605,16.1291942035757,28.8604503565542,64.2738560263196,85.0379785149981,12.4682474959702,14.9160370227872,4.64554312952999,6.04707224818698,8.08137210742768,7.45760368353225,8.60203419814721,9.31247186880711
ENSSSCG00000057774,1.96050039789323,2.33290789004927,2.89554063866762,1.03856927462069,0.683703488728854,1.22021488554572,2.1440888552437,1.55471332479896,2.02022488940473,1.86106086964335,1.12316473468823,0.743050358685776,1.37638022968282,1.3778925804172,1.6106518850897,1.393662938859,1.38390708167463,1.27265702479176,1.21481326971566,1.5907871462327,2.2074007392728
ENSSSCG00000037277,36.2536978340574,31.8937270447832,574.437900896964,674.13531615629,303.348442630749,227.685501886693,78.3593006963063,36.6771007077572,52.8307867304709,45.7510797120658,23.2934599324473,40.4033632535391,59.7423418613679,28.0955657860677,166.947569306689,77.0164685974222,43.8036676286579,34.0753918387994,49.3686614887226,45.6320238798974,115.302197990452
ENSSSCG00000005277,9.58466861192246,12.3676075814941,22.7907069624161,155.162249628331,105.182384081813,29.7138814020727,13.6649929707532,12.1550314484282,6.78490623234041,7.98705289888605,7.32498740014065,29.071845283581,61.7883124730586,23.2225310504459,27.3460678751099,14.7661906617203,21.7514091315382,23.2578071280694,29.8979043602243,29.6063163326642,18.6939250107165
