,endo00.txt,endo03.txt,endo06.txt,endo09.txt,endo12.txt,endo15.txt,endo18.txt,ovary00.txt,ovary03.txt,ovary06.txt,ovary09.txt,ovary12.txt,ovary15.txt,ovary18.txt,ovid00.txt,ovid03.txt,ovid06.txt,ovid09.txt,ovid12.txt,ovid15.txt,ovid18.txt
ENSSSCG00000028996,10.9139038799285,10.913947844474,9.86586681505908,7.94333663551563,7.0630131880485,8.65441158106103,10.4495468922305,3.25371622726332,2.43430017359014,4.3631021861701,4.18860227243292,6.23906612825132,4.32514811175832,3.98461879767573,8.95289861079578,8.10738200355486,8.98198352843638,8.33157181520502,8.64948723820848,8.49609229290159,8.15427239385449
ENSSSCG00000005267,7.17639940572936,7.8523131632398,6.96808505561844,7.26501889666616,7.46528840978647,7.19502590328497,7.1466223846805,9.41584100343749,7.35463423674308,9.82265385567336,8.34799839115311,8.80851404329696,7.77568402970024,7.88914538072324,8.18227553761608,8.07224000738079,8.19981196167875,8.07255435275135,7.88354297452912,7.87943367190771,8.13599236155292
ENSSSCG00000005268,4.30728686674926,4.04951921782846,4.20705491262932,5.16030458941158,4.51391368951453,3.74329996024027,3.32440010629862,0.532685612604514,-1.42075030307716,-2.16057679910735,-2.58861777685017,-0.907833563409542,-1.1825468555349,0.428302615872498,2.34357959012534,2.42700801729206,2.06702398991981,0.983724179143453,1.08882800670001,0.417181388734467,1.88365787351759
ENSSSCG00000005269,1.86681666857476,3.32759560945406,3.45902599912514,4.76054005285283,4.95154976796039,4.62086717558114,3.34077598790704,1.80571103031728,1.21257414922114,1.32838871029478,1.2109546111106,2.43542915297824,1.31414159964117,2.19280459684993,4.35627325086154,3.43558740158872,3.02349317926057,3.46119159712172,3.32528522176051,2.47195625188818,4.72164227939189
ENSSSCG00000031382,3.8954234306547,4.56006681694319,3.69927816793832,3.62336288397743,4.30129900186566,4.15470957540656,4.19211818408056,3.95180895646051,4.27470937692986,3.93236738318986,3.69060943332028,4.27708353389958,3.71431026987617,3.80895522096905,3.97773098914589,3.86814248710887,3.87082687407529,3.31665051792639,4.02079923271342,3.97643472244002,4.48439707299204
ENSSSCG00000005271,5.32844276576494,6.02463819623951,5.74135820374518,5.72322789294091,5.03150192342179,5.49033563511072,5.43416876502109,5.23377434230801,6.02789295749267,6.25789980516472,5.73993752983624,6.49669792193874,5.37016357136317,5.16566198218276,5.83293084828161,6.0999332959237,5.8627654842647,5.65359101080525,5.84808398652183,5.7676384641364,6.12033538229525
ENSSSCG00000005272,3.19461361292136,2.67721296531227,4.31705852267759,4.83417382929321,3.34258424477699,2.54593483867554,2.50380578293821,1.79105545212318,3.06663714929403,2.6841908620408,2.72513755301354,3.2543626272644,1.86383010791125,2.55645693026573,3.65175617705545,3.79069840923498,3.75021773660611,3.74754588000351,3.71455538079023,2.92791291693767,3.34686239369233
ENSSSCG00000005273,5.3681159599506,5.72242998541996,5.83088399965616,6.41857482929505,6.29025217022513,6.11459668873364,5.27071569007723,4.9812523188614,5.67224105138119,5.61810002010172,5.10835778453293,5.88948317453982,6.85312366761689,6.04084279407125,5.13556661049296,4.87294267857543,5.1241976440107,4.85746876554817,5.18633166454641,4.94459299205184,5.09943345771804
ENSSSCG00000023520,4.69300015693352,3.36387508976196,2.51982356232139,2.90246691365959,3.12776800876932,4.37935955739214,5.00648399644142,5.27780137487832,4.39720679765299,4.01772333970315,4.85444578758999,6.0076984202305,6.41119818448419,3.64810003224502,3.90540995978648,2.2369887693905,2.61250581042558,3.02679110944541,2.91191800539539,3.11613373732493,3.2297492607594
ENSSSCG00000057774,1.02082473081646,1.26392740523889,1.56760321433082,0.146847534762021,-0.410654836764361,0.366020742393403,1.14578634798884,0.698922140277257,1.06267647220482,0.948331013035099,0.253073178604271,-0.301108216239874,0.531028041089821,0.532537232957115,0.747799937274173,0.548181296416172,0.538523596253205,0.423562350534454,0.359961383792391,0.730631583263417,1.18648716913394
ENSSSCG00000037277,5.18278251491049,4.9982993731035,9.166179155738,9.39704095312032,8.24515801203184,7.83133289282248,6.29329448449334,5.19950251369882,5.72517830640786,5.51789459249534,4.54609405469443,5.33884996323318,5.90233681358406,4.81578753321369,7.38384358659883,6.26837893042148,5.4552364653561,5.09355872294365,5.62752609745301,5.51414107705256,6.85013382574497
ENSSSCG00000005277,3.2710141055376,3.63647200021958,4.51470820230119,7.27827109002285,6.71768941887547,4.89639081384692,3.77963474484093,3.61159830452963,2.77683752120704,3.00999746492317,2.88627013338922,4.86494975298924,5.95086221894814,4.54170726281435,4.7768747586999,3.89091037002591,4.44757817767087,4.54389067622492,4.90527766060189,4.89117081163002,4.22978023505592
