genes	endo03	endo06	endo09	endo12	endo15	endo18	ovary03	ovary06	ovary09	ovary12	ovary15	ovary18	ovid03	ovid06	ovid09	ovid12	ovid15	ovid18
ENSSSCG00000000010	-0.0252471102737624	-1.08986850534103	-1.73068405205652	-1.3075285378148	-0.214177401991579	0.546255586643228	-1.65943993846251	-2.62282517316339	-2.38566561354374	-4.34976048904092	-2.64689824198416	-0.774945278332931	-1.62893680714331	-1.16230863093338	-0.561159602837306	-0.948410123442245	-0.00632349417003066	-0.495867120238498
ENSSSCG00000000025	-0.193002866489065	-2.09085668147066	-1.81614568214688	-1.25491894968124	-1.76739944940778	-1.29093578927235	-1.541997988584	-0.790802040725187	0.620105443572638	0.498570640057573	3.43787564932091	3.63052452224622	-0.629514083231781	-0.297869713407212	0.345270870695682	0.393500951311052	-0.0263873787195944	0.105138085532929
ENSSSCG00000000029	-2.45308052342522	-0.492654642875221	-1.46878900894212	-2.93972721418639	-3.24605691473924	-2.51069818215113	-1.65638808031816	-2.47375939371447	-2.97887494227579	-3.23850065060255	-1.07847256486969	0.12863114583568	0.0231813611549868	-0.261736649768878	-0.962071584072426	-0.64694034208987	-0.0745542616147845	0.127687131159576
ENSSSCG00000000033	0.95819381664047	4.11006125042409	4.46198133943621	2.22584409446671	0.674620476817047	0.646293187238223	0.164208489267484	0.207400958397991	0.161830746750697	0.287153181373348	1.47006287576792	1.61307727028184	0.932363439264401	1.56940136751569	2.07246246716594	0.563181834721151	1.64499173901492	0.638738566076185
ENSSSCG00000000079	0.531245369548636	-0.00458639154827531	-0.663618158790025	-0.2297767587055	-1.03424472817357	0.455757879767937	0.0305002426740392	-0.11923254046367	2.26206069517754	3.9052169947371	1.27144398047112	1.74149009924801	-0.387716766854432	0.218415962874018	0.316412212813694	-0.0182850745221335	-0.942408574020768	0.0627168686326989
ENSSSCG00000000081	0	0	0	7.81868471586701	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000103	0.210371732959383	0.0239543331457939	1.39991432137514	-0.364679255523127	-1.8654501739752	-0.226121887427415	0	0	0	0	8.10307248291013	0	0.835504663079426	0.448006194786598	0.0275220861741016	1.62431515447578	0.0785907361190968	-1.06689561466951
ENSSSCG00000000130	-0.0107098933997052	-1.88410975002463	-1.81487728940539	-1.17480469842814	-1.895498362037	-0.607065170238216	-1.63882651663048	0.127491616018585	0.716896323242664	0.507628380942676	3.18871921389855	2.60157625375575	0.364633684995884	0.881703403411673	0.998249163565751	0.981440704690062	0.797796346894053	0.406957424831481
ENSSSCG00000000136	-0.439067138764208	-1.78569361450721	-1.97010096881466	-1.90954097935531	-1.15853470905155	-0.576561978441927	-1.34106681918303	0.590410709144235	1.29772551995048	0.601133437676604	4.98762199404951	3.6063934069073	-2.28650677925704	0.0567785270451761	-0.198963923151755	-0.738561163571475	0.873425833132525	-0.136737052186867
ENSSSCG00000000137	-0.391978024820469	-1.27268487666364	-1.51367391065511	-1.6279849001153	-1.47069998479761	-0.614108087137866	-0.158722763612881	0.367386731509029	0.90505395910227	0.130661669301952	2.97528197389938	3.40850315533579	-0.330983110799181	-0.352648253609229	-0.136999181690807	-0.683043869980526	-0.856876201054334	-0.160437056916678
ENSSSCG00000000138	-1.21693538872289	-5.59555699951648	-3.71649562860793	-5.97750263780382	-7.05656565681236	-4.32562296808662	0	0	0	0	0	0.503660157661816	-2.26438572455204	-1.04154631808417	-2.65787346325334	-10.0173265066738	0.772318341918487	0.28704211782833
ENSSSCG00000000142	0.634550397689045	0.512863291414386	0.120730482778573	0.543035257082026	-1.13297282298315	-0.640927381966172	3.75529528808381	2.40059523885688	4.05340949381635	2.59316389768902	0.159445910685179	0.509137744510089	0.409591642270325	0.0159443864793952	0.847833272539697	0.0899844488319542	0.307692606299198	0.628836246602399
ENSSSCG00000000162	2.64102537322329	2.43302483436308	2.63948636972954	3.68287568421626	1.81696464876165	0.909154697803441	0.959453179648335	1.06905581689296	1.64445148714182	1.23460424638677	0.731616178540802	1.62545273583753	1.25249604841686	0.337695159906002	-0.245595057576194	-1.27684450860149	0.200621319269143	0.136530930516057
ENSSSCG00000000183	0	0	0	0	0	0	0.80105477629391	1.94839914506075	1.62219989566838	0	5.16289221366733	0	-1.54027409742394	0	0	0	-1.38592629098444	0.512672747414406
ENSSSCG00000000197	-3.64481996642884	-3.14599558443558	-2.98462189603069	-2.548536253253	-2.67014248073213	-0.456968347148742	-2.08442827869702	-1.7123480938721	-1.79958185940707	-4.22005279322554	-3.20502559388914	-1.1636083193688	-0.702819962013834	-2.77867699523885	-4.01094170923903	-4.37685783472043	-2.05358465939946	-0.947075748259292
