genes	endo03	endo06	endo09	ovary03	ovary06	ovary09	ovid03	ovid06	ovid09
ENSSSCG00000000033	0.95819381664047	4.11006125042409	4.46198133943621	0.164208489267484	0.207400958397991	0.161830746750697	0.932363439264401	1.56940136751569	2.07246246716594
ENSSSCG00000000138	-1.21693538872289	-5.59555699951648	-3.71649562860793	0	0	0	-2.26438572455204	-1.04154631808417	-2.65787346325334
ENSSSCG00000000142	0.634550397689045	0.512863291414386	0.120730482778573	3.75529528808381	2.40059523885688	4.05340949381635	0.409591642270325	0.0159443864793952	0.847833272539697
ENSSSCG00000000197	-3.64481996642884	-3.14599558443558	-2.98462189603069	-2.08442827869702	-1.7123480938721	-1.79958185940707	-0.702819962013834	-2.77867699523885	-4.01094170923903
ENSSSCG00000000211	-0.48588702423902	-0.237924583475681	-1.16847250216612	-3.27682106985847	-1.73917860241875	-2.41258857371816	-5.2761090068918	-6.25537937660685	-7.88243398547678
ENSSSCG00000000212	-1.72830446875344	-4.72512217961738	-1.93547473844983	0	0	0	-7.06748981121507	-7.13909689651506	-7.092185589556
ENSSSCG00000000239	-2.39171869024018	0.707035352178818	-0.426371203224084	0	0	0	-8.06210179566038	-8.13397024680081	-4.98538549880867
ENSSSCG00000000240	0	0	0	0	0	0	-6.28491569521135	-3.17639360660753	-5.76219278610994
ENSSSCG00000000584	2.20176235885723	4.42742268666375	3.93496571094077	2.30495407058779	1.73168631035638	0	1.54934564488919	2.7196305901747	1.52073278804421
ENSSSCG00000000640	-0.10920597634521	1.7946377575888	-0.858876789074045	-3.44577126032953	0.56487577460951	-4.67248973336853	-0.821653319237956	0.182697387640603	-0.0382864768848401
ENSSSCG00000000647	-0.0232532575103474	-0.743547374285422	-1.7871744266393	-8.52477019915511	-6.76319698878544	-6.82879552510588	-2.80596201034802	-2.05158575345318	-2.27067062088542
ENSSSCG00000000659	0	0	0	5.03394261822329	6.94364766229791	6.93846702637724	0	0	0
ENSSSCG00000000692	0	0	0	-2.06529173247733	-4.25914787930172	-3.60981825861242	-0.590393969224795	-1.44894940838691	-0.954669479719571
ENSSSCG00000000707	1.39896483252148	3.305864832713	4.06226070497979	-2.19268096557215	-0.474797309310388	0.783761592606033	0.198893643891522	1.60624267013409	2.19420094639933
ENSSSCG00000000748	0	0	0	-3.75093362830021	-1.35143778802608	-7.78397266194153	-1.61910132760474	-2.72967553257433	-4.51102227601381
ENSSSCG00000000795	1.6050064671986	0	4.35459873440572	2.1431119317398	2.3730669517525	0.893864472199597	0.0042128915120647	-0.826720309764833	-0.0993798288602345
ENSSSCG00000000873	-1.52877203066962	-1.95500403697199	-2.21554466193264	-3.03992819907743	-3.6801481844577	-4.04253385437414	-2.85110590771477	-0.470359677798813	-1.14304753175894
ENSSSCG00000000924	0	0.0239050455621069	0.665772086745344	0	4.41322668596781	4.97243447224218	0	0	0
ENSSSCG00000000932	0	0	0	-0.86617627562743	-1.22845797038483	-2.4661695753511	-1.67492492034968	-7.30788421579548	-3.24602141172225
ENSSSCG00000000934	-0.462301079166151	-0.833362229394917	-1.234033715528	-2.00026489209425	-2.44688466226976	-8.42547042322067	0.268557292363725	0.337035234038619	-0.411550409140617
