,ovary00.txt,ovary12.txt
ENSSSCG00000028996,3.01891255961967,6.01176538100543
ENSSSCG00000005267,9.17926269418201,8.58103223629533
ENSSSCG00000005268,0.307907760227805,-1.10481630614836
ENSSSCG00000005269,1.57401266523304,2.21094827825915
ENSSSCG00000031382,3.71631513070539,4.05041318524492
ENSSSCG00000005271,4.99762730754174,6.26936156683964
ENSSSCG00000005272,1.5594070833247,3.02856682641813
ENSSSCG00000005273,4.74519257572221,5.66224212562951
ENSSSCG00000023520,5.04164062385989,5.78043554585061
ENSSSCG00000057774,0.472861931596947,-0.508501629167892
ENSSSCG00000037277,4.96336644947542,5.11173783212133
ENSSSCG00000005277,3.37639943216293,4.63799560830959
ENSSSCG00000004361,4.58857139154712,2.09518488866608
ENSSSCG00000004349,5.00303432235659,5.33230335693862
ENSSSCG00000004272,4.83585201287632,5.95108657733448
ENSSSCG00000037594,6.76647755068523,6.98141795257712
ENSSSCG00000044472,0.160858428569389,2.14778518127148
ENSSSCG00000004261,-0.2377883114711,-0.98671141610103
ENSSSCG00000004351,3.30377478338238,3.96504742655512
ENSSSCG00000004262,3.42554818476678,3.78164957428669
ENSSSCG00000038757,2.18166986315302,4.54300376916384
ENSSSCG00000004353,5.14185239581395,5.22010371350476
ENSSSCG00000005284,3.96652194268361,4.77597497083412
ENSSSCG00000004263,3.22729954795605,3.30819342977343
ENSSSCG00000021802,3.53783833378463,4.39310534432177
ENSSSCG00000031105,2.45060842589654,2.68138705904278
ENSSSCG00000034919,-0.717556899027443,-2.13941884499347
ENSSSCG00000023834,2.27401743496931,-1.10481630614836
ENSSSCG00000025941,7.39060735905485,7.58293204873533
ENSSSCG00000030268,7.00072752475855,6.53921448825105
ENSSSCG00000027002,3.54526960181834,4.79465164262381
ENSSSCG00000005266,-1.84560272588768,-0.354238780507318
ENSSSCG00000005288,5.93869441182719,5.17804520403967
ENSSSCG00000035934,1.89803819941966,4.14077379288531
ENSSSCG00000005036,0.307907760227805,0.461799334121545
ENSSSCG00000004241,10.2406539952646,8.14202364845884
ENSSSCG00000005037,6.09307423746621,6.27454520358873
ENSSSCG00000004242,2.99740169697933,4.13752610360832
ENSSSCG00000005291,6.14045605053824,6.03986976863962
ENSSSCG00000005038,6.42305717460857,6.97187635061677
ENSSSCG00000033805,-0.289730887036963,0.461799334121545
ENSSSCG00000033763,5.44570810983883,6.01265198093826
ENSSSCG00000004344,1.97709255373637,2.53108999775583
ENSSSCG00000005286,3.38055972157042,2.14778518127148
ENSSSCG00000005039,4.18444851582521,4.73143216871715
ENSSSCG00000005040,5.07924069466572,5.71548733251084
ENSSSCG00000004250,0.272526570663327,0.136982644687437
ENSSSCG00000005287,6.21398804793188,4.02603229541264
ENSSSCG00000005041,6.99666766921075,6.440545337241
ENSSSCG00000020885,5.8492144453207,6.23937808194615
ENSSSCG00000004253,4.91972093246543,5.24596945769452
ENSSSCG00000060009,1.19380478799175,1.67890665360021
ENSSSCG00000054181,-2.01013793349012,-0.508501629167892
ENSSSCG00000004364,4.86286737653029,5.12819356570763
ENSSSCG00000005043,4.67409952173163,5.82047812339047
ENSSSCG00000004254,5.02844448021581,4.71191319658746
ENSSSCG00000005045,3.34267803531699,2.30658758503486
ENSSSCG00000005047,2.39411284674513,2.02661729037711
ENSSSCG00000004366,4.32275702460919,1.48810429394025
ENSSSCG00000027256,6.83856379254066,6.91942112415929
ENSSSCG00000004255,-0.867365545154819,-3.87174065578656
ENSSSCG00000004367,2.5864720701336,-0.282882068581598
ENSSSCG00000039333,0.503704548105573,0.655886543376419
ENSSSCG00000004368,6.40581124477492,5.95754687594839
ENSSSCG00000026294,8.35043882113381,7.57154557741956
ENSSSCG00000035648,4.36115846801512,6.29071642911547
