,ovid00.txt,ovid06.txt
ENSSSCG00000028996,9.0509010940888,9.05180324887989
ENSSSCG00000005267,8.28026870535595,8.26962497003171
ENSSSCG00000005268,2.4403064491966,2.13572720940697
ENSSSCG00000005269,4.45396965385522,3.09274217814535
ENSSSCG00000031382,4.07533158707034,3.94033355247136
ENSSSCG00000005271,5.93083181235795,5.93251349385425
ENSSSCG00000005272,3.74925152860503,3.81969630309561
ENSSSCG00000005273,5.23339627078804,5.19389147644031
ENSSSCG00000023520,4.00298921653194,2.6815635771672
ENSSSCG00000057774,0.841916534859911,0.6051024001257
ENSSSCG00000037277,7.48182011437917,5.52495802256905
ENSSSCG00000005277,4.87465190882293,4.51719109335176
ENSSSCG00000004361,1.7986042665823,-1.37962819886108
ENSSSCG00000004349,4.82401459068684,4.58139314899729
ENSSSCG00000004272,5.47377869100776,5.38697662977849
ENSSSCG00000037594,7.48906101583499,7.46343253349748
ENSSSCG00000004261,0.425160216794395,-1.63861791175253
ENSSSCG00000004351,4.25313575489798,4.47888742901233
ENSSSCG00000004262,4.15942686733562,4.3904245647686
ENSSSCG00000038757,3.23265945709217,3.65587652678976
ENSSSCG00000004353,5.48950859352899,5.05553775130832
ENSSSCG00000005284,2.815375418519,2.22613179775697
ENSSSCG00000004263,3.98602927327397,3.97261186935421
ENSSSCG00000021802,3.83509834562225,4.33055042563357
ENSSSCG00000031105,3.18589605513591,3.10338271409922
ENSSSCG00000034919,5.81748222468785,6.03263727058076
ENSSSCG00000023834,7.68385517647335,7.81473490385802
ENSSSCG00000032533,2.49886972135825,2.32035389170899
ENSSSCG00000025941,7.59044474962024,7.4084502444536
ENSSSCG00000030268,7.184990751087,6.91745347553097
ENSSSCG00000027002,5.09629929310995,4.85291126056757
ENSSSCG00000005266,1.97399439525949,2.82989022463114
ENSSSCG00000005288,5.26326594183499,5.57455439584112
ENSSSCG00000035934,2.16693335253786,2.25505012142321
ENSSSCG00000005036,1.40836959521317,-1.26570965698543
ENSSSCG00000004241,8.20659602911541,6.07447393180433
ENSSSCG00000005037,6.13617984962157,6.09394587248945
ENSSSCG00000004242,4.78532526086001,4.58519386362803
ENSSSCG00000005291,6.49860828683675,6.81233944506439
ENSSSCG00000005038,6.46411743896229,6.18002824872693
ENSSSCG00000033805,-2.19461582859326,-0.0699026685752995
ENSSSCG00000033763,6.00678843057838,6.37978929670078
ENSSSCG00000004344,0.299003801631898,1.14781387260733
ENSSSCG00000005286,4.46135133452517,4.64650181774026
ENSSSCG00000005039,4.33310238247778,4.67531450848851
ENSSSCG00000005040,5.90218872836787,4.49109354535381
ENSSSCG00000004250,1.84449092952033,1.74525785846237
ENSSSCG00000005287,6.16810878530189,7.25287247753109
ENSSSCG00000005041,7.2995865602036,6.97688717043142
ENSSSCG00000020885,6.18752594610746,5.53481811961952
ENSSSCG00000004253,5.43681068475737,5.27495826864715
ENSSSCG00000054867,-0.847537601777033,-2.92464516734468
ENSSSCG00000060009,1.28066902659574,2.11484407452863
ENSSSCG00000054181,-0.428350711608159,-1.37962819886108
ENSSSCG00000062298,-0.753389730293386,-2.35951718500686
ENSSSCG00000063502,-1.1736270562095,-1.37962819886108
ENSSSCG00000004364,4.77548860956428,4.52314714798053
ENSSSCG00000005043,4.14727341325436,4.18035024728826
ENSSSCG00000004254,4.47600234592817,4.28687578431891
ENSSSCG00000005045,3.30007972835331,3.70560863013466
ENSSSCG00000005047,1.58094201213036,0.634745314624147
ENSSSCG00000004366,5.06595352561876,2.6815635771672
ENSSSCG00000027256,6.46961848151421,5.88551035457563
ENSSSCG00000004367,-0.428350711608159,-0.450747065242323
ENSSSCG00000039333,2.04121546325762,-1.95450014976733
ENSSSCG00000004368,5.26888594926454,4.66277970120763
ENSSSCG00000026294,6.38740137189358,5.62619635915995
ENSSSCG00000035648,4.45150067658627,4.75170483466577
ENSSSCG00000038522,3.60118729289602,1.34001980880434
ENSSSCG00000035259,6.50636046914964,7.09522220598281
ENSSSCG00000021451,4.16244930073107,4.29849790937015
ENSSSCG00000038507,8.03334609995741,7.66856910793229
ENSSSCG00000004339,5.92994527069867,5.72768785657784
ENSSSCG00000005004,2.33708688541697,2.43430718416671
ENSSSCG00000004347,4.64759215779573,4.94452516184389
ENSSSCG00000005006,7.31460826435268,7.05433432709862
ENSSSCG00000004275,4.86169341347863,5.26669856990268
ENSSSCG00000035611,4.47842978092317,3.94329796990743
ENSSSCG00000058931,5.52751304124796,5.54948305114717
ENSSSCG00000005008,0.682619433441756,-0.275097240265819
ENSSSCG00000004358,5.35066012076935,5.086705390158
ENSSSCG00000004270,2.60042594353181,4.4870363037077
ENSSSCG00000032489,3.74118791059028,3.56256732561063
ENSSSCG00000004990,3.20946722096746,2.6886470549982
ENSSSCG00000004340,1.65147836204809,1.79861269456251
ENSSSCG00000058693,-0.357369586612393,-1.63861791175253
ENSSSCG00000005009,5.67554545017501,5.87079415096998
ENSSSCG00000035240,2.9403754844187,2.97020382076097
ENSSSCG00000005011,5.34401987924769,5.24403805082973
ENSSSCG00000032312,6.94939918247132,6.86409486079011
ENSSSCG00000004342,2.59148335847871,1.77218191355614
ENSSSCG00000005012,6.80408012108672,6.74513203303
ENSSSCG00000045405,-0.163246077098895,-0.220998320347156
ENSSSCG00000005029,7.31901672675806,7.39660311596299
ENSSSCG00000005030,5.79526164333131,5.86063797560017
ENSSSCG00000004939,-1.5956269400881,-0.650786169073976
ENSSSCG00000057054,0.0606232623061967,-1.37962819886108
ENSSSCG00000021862,2.67850861649466,2.03927655741885
ENSSSCG00000005027,5.13681706735067,5.23680751362085
ENSSSCG00000047735,0.111554715953384,1.8626457560383
ENSSSCG00000028092,6.87718947696114,5.18765505538118
ENSSSCG00000004941,3.56965951235715,4.2101913842195
ENSSSCG00000004942,2.38961959335877,2.54772715445315
ENSSSCG00000004943,5.09629929310995,5.03900508142471
ENSSSCG00000036735,3.71672305901307,4.36633056646609
ENSSSCG00000005015,5.20875476209639,5.91600968866574
ENSSSCG00000005016,4.63893807083309,5.65360451009307
ENSSSCG00000031354,3.20946722096746,3.42088233897337
ENSSSCG00000038941,2.815375418519,3.02719626934888
ENSSSCG00000004945,10.5722078753224,10.1500887687551
ENSSSCG00000005787,5.51219427527895,5.59260410250187
ENSSSCG00000034516,5.75478179851309,7.14145093178501
ENSSSCG00000036634,5.91658135371411,6.34153943927108
ENSSSCG00000005785,5.3664731029009,5.87235031304862
ENSSSCG00000004946,3.26676339384565,3.02159727799667
ENSSSCG00000005020,2.3263468361721,2.42585407584627
ENSSSCG00000005786,4.97088753752788,4.92815897360019
ENSSSCG00000004947,-1.5956269400881,-1.26570965698543
ENSSSCG00000004948,1.75121004166391,3.38208290956991
ENSSSCG00000004971,5.08040743034941,5.08536418513511
ENSSSCG00000005021,5.28976812111051,5.46330670455034
ENSSSCG00000038767,5.76077709421173,5.96860722766653
ENSSSCG00000004963,6.37181735741947,6.37540615186529
ENSSSCG00000005022,4.8392044092429,5.62342668667485
ENSSSCG00000004966,0.957790112127212,1.52551466820507
ENSSSCG00000026078,5.39244890688825,5.44145784622252
ENSSSCG00000004968,2.14265094238106,1.28499803379961
ENSSSCG00000005024,6.82568976749104,7.07441618408263
ENSSSCG00000004969,4.28399196895503,4.37074132909261
ENSSSCG00000004970,10.3365252817271,9.91338724564899
ENSSSCG00000023533,4.77351320537421,5.36393113507092
ENSSSCG00000004952,6.03592083290624,6.46940110525246
ENSSSCG00000005023,3.687646296855,4.31232199028989
ENSSSCG00000004859,5.45541309441167,5.63080069665355
ENSSSCG00000005025,2.2936384687718,2.19662193895553
ENSSSCG00000004856,5.84971558794667,6.01654239776646
ENSSSCG00000004951,6.43254233550103,6.04648832964111
ENSSSCG00000038422,6.65914664994024,6.33872790267353
ENSSSCG00000057448,1.16487493893756,1.28499803379961
ENSSSCG00000004954,2.2936384687718,2.64561491550367
ENSSSCG00000005002,-0.753389730293386,0.480036609493032
ENSSSCG00000004955,4.61265990889702,4.56030833090418
ENSSSCG00000030679,3.30007972835331,3.69157352599349
ENSSSCG00000004996,5.26888594926454,5.76083184400234
ENSSSCG00000027765,6.802143506356,6.9937855019196
ENSSSCG00000004857,5.68713487027327,6.19875531902467
ENSSSCG00000004956,-1.1736270562095,0.269413319240056
ENSSSCG00000004997,5.75778256063323,6.25292350630916
ENSSSCG00000021217,5.49071151194592,5.55627600330275
ENSSSCG00000004958,4.61044830250203,5.12506767096301
ENSSSCG00000005000,2.04121546325762,1.9711966741643
ENSSSCG00000026517,4.18045212468739,3.49951808367277
ENSSSCG00000004957,4.93598878275298,5.10535250551338
ENSSSCG00000004861,4.70675940750322,5.27142418657703
ENSSSCG00000032488,5.38341047957897,5.48990712233744
ENSSSCG00000053589,1.324503892854,1.39302001591966
ENSSSCG00000004999,4.13193619012817,4.25621265626186
ENSSSCG00000063467,3.61007011385766,4.16265354534145
ENSSSCG00000004869,5.01502934795898,5.49900186457641
ENSSSCG00000022419,5.18368504726424,5.43199179832468
ENSSSCG00000060555,-1.76904577456744,-1.26570965698543
ENSSSCG00000004961,5.10103291556719,3.82291897360472
ENSSSCG00000004962,4.27004817449682,5.01806920477316
ENSSSCG00000043563,4.46625155532388,4.87170536955757
ENSSSCG00000063237,-0.289717603961706,-1.63861791175253
ENSSSCG00000063081,-1.1736270562095,0.543924309209927
ENSSSCG00000056226,0.111554715953384,-1.50331917830221
ENSSSCG00000049234,0.464874497983746,1.26618103197673
ENSSSCG00000004870,7.11104549453279,6.95355370850553
ENSSSCG00000039486,-1.76904577456744,-0.51439395667637
ENSSSCG00000004973,6.90407280661822,6.03054809416432
ENSSSCG00000004847,4.21870425431413,4.35301678640405
ENSSSCG00000035696,4.08810371085403,3.96679654586605
ENSSSCG00000004849,4.02971712592725,2.63831642849982
ENSSSCG00000004854,8.12179396958946,7.78860052089138
ENSSSCG00000004974,3.64506437118292,2.67444514854501
ENSSSCG00000004976,4.64759215779573,4.04062655214545
ENSSSCG00000036984,0.299003801631898,2.18664964113913
ENSSSCG00000004980,6.27250686124516,5.64725569091755
ENSSSCG00000004874,-2.46613199464794,-0.0699026685752995
ENSSSCG00000004875,8.55511418049314,8.35279903997759
ENSSSCG00000037781,1.88896298917059,2.13572720940697
ENSSSCG00000005781,1.28066902659574,2.77104214505238
ENSSSCG00000004979,3.86137567700507,4.97671087018968
ENSSSCG00000020859,1.93210506278503,-2.92464516734468
ENSSSCG00000004843,0.342293330875861,1.14781387260733
ENSSSCG00000025616,4.60156781696184,4.58519386362803
ENSSSCG00000026486,-0.357369586612393,-1.37962819886108
ENSSSCG00000026167,1.59890203838796,1.10609700495897
ENSSSCG00000004985,4.43909200990628,4.37074132909261
ENSSSCG00000004844,5.18814088857804,5.53776305564405
ENSSSCG00000004986,4.82782706508037,4.87636588936844
ENSSSCG00000004845,4.8182769219013,5.20133976985127
ENSSSCG00000022828,7.35182317949336,7.6398484535851
ENSSSCG00000032494,4.20704202388818,4.2418375966162
ENSSSCG00000004873,4.98632071152907,4.76851630488417
ENSSSCG00000004983,6.8332958543473,7.00233869389089
ENSSSCG00000032214,5.33601103486934,5.66801203256123
ENSSSCG00000032574,3.48043940001491,4.63737855328914
ENSSSCG00000038398,-1.44083485948891,-1.37962819886108
ENSSSCG00000005782,3.53276336848595,3.59308789804756
ENSSSCG00000040252,4.70053488516532,5.19015285975934
ENSSSCG00000038208,-2.19461582859326,-0.650786169073976
ENSSSCG00000062837,0.87176904556138,1.24711535386201
ENSSSCG00000041275,1.70220582089016,0.720185961482743
