,endo00.txt,endo03.txt,endo06.txt,endo09.txt,endo12.txt,endo15.txt,endo18.txt
ENSSSCG00000028996,2052.18866197603,2103.12276133518,1010.51791706656,267.843579162403,140.816657882995,425.02372739058,1511.09927976909
ENSSSCG00000005267,153.789191792194,251.829895343736,135.524794230003,167.345713992717,186.125194816268,154.512964418923,153.046957495473
ENSSSCG00000005268,20.9862995256675,17.97540821654,19.9291250037153,38.850130854873,24.0002542918513,14.0561219601993,10.7509772322214
ENSSSCG00000005269,3.80666316317312,10.8688514797684,11.8360793169273,29.4296335573771,32.5311503671538,25.885531530664,10.8745516831664
ENSSSCG00000031382,15.7562753536557,25.6393419522741,13.9942248334041,13.3394241732542,20.7016411427343,18.718301026206,19.6792313130029
ENSSSCG00000005271,42.6677288463491,70.8913870555404,57.8652766605336,57.4273515255348,34.3889899568864,47.3524306629485,46.6493552317651
ENSSSCG00000005272,9.6656142925787,6.89754036216069,21.5140131173779,30.9745951141664,10.6162262270432,6.08866669068038,6.05514809630858
ENSSSCG00000005273,43.8593799235164,57.4795030180058,61.5745892669781,93.0368313100692,82.3894985405889,73.0292079070749,41.6445899684896
ENSSSCG00000023520,27.4410761936567,11.1475399792496,6.13722631248084,8.06394568665647,9.13753757399076,21.8844077053597,34.662633490093
ENSSSCG00000057774,2.08538938504267,2.54303255776632,3.13605520363032,1.1304596756995,0.720386779692218,1.28731810031528,2.31702095522012
ENSSSCG00000037277,38.5631529138842,34.7663903102847,622.152887171821,733.781375496549,319.624239621337,240.206599042613,84.6793925101113
ENSSSCG00000005277,10.1952369935419,13.481556162405,24.6837893447032,168.890675549506,110.825818791597,31.3479353617315,14.7671468879362
ENSSSCG00000004361,0.198608512861206,0.13934424974062,0.269768189559597,1.62032553516929,0.151660374672046,0,0.123574450945073
ENSSSCG00000004349,36.3453578536007,31.7356528784262,65.1827388023377,55.2041141633258,36.1330842656149,33.1571391783908,36.5780374797416
ENSSSCG00000004272,43.7269742482756,41.1065536734829,53.0094492484609,57.050531633635,48.6829802697267,53.7194364023457,51.9630566224032
ENSSSCG00000037594,149.88322437259,108.758186922554,134.917815803494,187.015712349888,31.9624239621337,196.507368394073,142.666703616087
ENSSSCG00000044472,0.33101418810201,0.801229436008565,1.07907275823839,1.28118763245944,0.834132060696252,0.591470478523236,0.18536167641761
ENSSSCG00000004261,0.794434051444825,0.731557311138255,1.61860913735758,1.28118763245944,0.720386779692218,0.904601908329656,0.586978641989097
ENSSSCG00000004351,12.7440462419274,12.9938512883128,16.8267908237799,14.9974316976134,6.14224517421786,18.0224534044139,16.9914870049476
ENSSSCG00000004262,18.8347073030044,12.7848349137019,19.8954039800203,24.6440209302492,6.2939055488899,24.2502896194527,17.0223806176838
ENSSSCG00000038757,7.31541355705443,10.5204908554168,8.70002411329702,10.5132749840054,5.99058479954581,12.594841954436,6.73480757650648
ENSSSCG00000004353,58.291598524764,63.3319615071118,76.5467237875358,75.250932412397,44.9293859965936,63.9483964426887,58.1417791696569
ENSSSCG00000005284,6.71958801847081,34.1045051240168,4.78838536468285,9.04367740559604,14.8248016241925,15.6217791092314,8.92825408078153
ENSSSCG00000004263,17.4444477129759,18.4631130906322,23.1663432784304,19.6699983571714,10.009584728355,18.2660000720411,20.9149758224536
ENSSSCG00000021802,17.6761576446474,15.1536871592924,22.9977381599557,24.7193849086292,15.3556129355446,24.6330058114383,16.8061253285299
ENSSSCG00000031105,6.85199369371162,8.63934348391844,13.8593407386243,8.10162767584645,3.41235843012103,6.471382882666,6.17872254725366
ENSSSCG00000034919,3.1446347869691,18.8463097774189,16.9279538948647,44.7662031577004,56.9105555956852,28.7385067800114,10.59650916854
ENSSSCG00000023834,77.060102990148,56.3299129576457,38.9140613439719,18.200400778762,33.6686031771942,24.7025905736175,40.2543773953576
ENSSSCG00000032533,1.42336100883864,0.6967212487031,0.708141497593943,0.489865859469785,0.227490562008069,0.313131429806419,1.54468063681341
ENSSSCG00000025941,178.251140292933,166.30736206543,296.239193160133,253.222967356689,243.794052285314,226.741947560937,245.820476542487
ENSSSCG00000030268,151.736903825962,105.309416741474,140.077132428821,163.125331203439,143.470714439755,130.819352896904,164.693849497046
ENSSSCG00000027002,10.8572653697459,5.99180273884666,8.19420875787277,17.8235808868622,4.6256414274974,5.74074287978435,9.08272214446287
ENSSSCG00000005266,1.58886810288965,0.522540936527325,0.876746616068692,3.12760510276863,0.796216967028241,1.6700342923009,2.00808482785744
ENSSSCG00000005288,26.017715184818,23.5840142685999,11.9709634117071,13.678562075964,11.4503582877395,13.9865371980201,16.002891397387
ENSSSCG00000035934,5.79274829178518,6.47950761293883,8.83490820807681,12.6611483678345,1.55451884038847,8.83726479675894,6.73480757650648
ENSSSCG00000005036,0.761332632634624,1.0102458106195,0.438373308034346,1.62032553516929,0.682471686024206,0.382716191985624,0.679659480197902
ENSSSCG00000004241,260.806078805574,196.231539697228,96.8805010755904,70.653729731219,54.3702443199284,152.668968221174,224.256734852571
ENSSSCG00000005037,61.0390162860107,62.2172075091868,55.9768993336165,59.311450985034,48.3038293330466,83.9192231881204,68.3057777598892
