,ovid00.txt,ovid09.txt
ENSSSCG00000028996,9.02647799228421,8.38453888483691
ENSSSCG00000005267,8.25584998655155,8.12552014753017
ENSSSCG00000005268,2.41648367250458,1.03564136162182
ENSSSCG00000005269,4.42969057174031,3.51397552509622
ENSSSCG00000031382,4.05109758735345,3.36941446206088
ENSSSCG00000005271,5.90645647650658,5.70652307763464
ENSSSCG00000005272,3.72506705584989,3.80036394754599
ENSSSCG00000005273,5.20905448524574,4.91037028077299
ENSSSCG00000023520,3.97876525941732,3.0795084072515
ENSSSCG00000057774,0.819323056529118,0.4749780840859
ENSSSCG00000037277,7.45740922477098,5.14647111283624
ENSSSCG00000005277,4.85033483126241,4.5967747013686
ENSSSCG00000004361,1.77512113950472,-2.88199129682101
ENSSSCG00000004349,4.79970152216832,4.10709876535964
ENSSSCG00000004272,5.44942347265166,5.45946898608008
ENSSSCG00000037594,7.46465003400742,6.81744988370613
ENSSSCG00000004261,0.403181078459786,-0.390669025899374
ENSSSCG00000004351,4.2288791098381,4.06788582813254
ENSSSCG00000004262,4.13518180907098,3.68292298186985
ENSSSCG00000038757,3.20858039154689,3.61847407694987
ENSSSCG00000004353,5.46515257175109,4.83896005544973
ENSSSCG00000005284,2.79141380980723,2.63432125924189
ENSSSCG00000004263,3.96180774430305,3.2493645911567
ENSSSCG00000021802,3.81089973007815,4.13446949364831
ENSSSCG00000031105,3.16182852693466,2.75914257899875
ENSSSCG00000034919,5.79311130041528,6.0626734525675
ENSSSCG00000023834,7.65944187977936,7.89269215280355
ENSSSCG00000032533,2.4750228215794,2.2195648091963
ENSSSCG00000025941,7.56603252403061,7.24383040013785
ENSSSCG00000030268,7.16058406940579,6.87091048348527
ENSSSCG00000027002,5.07196623258473,4.69747622586835
ENSSSCG00000005266,1.95040298821354,2.27963991978435
ENSSSCG00000005288,5.23892236286529,5.66489357819839
ENSSSCG00000035934,2.14323708494683,1.96287559131244
ENSSSCG00000005036,1.38518023247288,-1.90141859157552
ENSSSCG00000004241,8.1821778652008,5.52711877540106
ENSSSCG00000005037,6.11179735311976,6.10341220298644
ENSSSCG00000004242,4.76101535167707,3.83414356239548
ENSSSCG00000005291,6.47421539106601,7.0258353823918
ENSSSCG00000005038,6.43972542423079,5.70104139431285
ENSSSCG00000033805,-2.20405044391771,-0.591273698115419
ENSSSCG00000037497,-1.61013904387049,-0.742400653775632
ENSSSCG00000033763,5.98241032660113,6.22489107529697
ENSSSCG00000004344,0.27724835799145,1.05868443675365
ENSSSCG00000005286,4.43707148575896,4.32470293162594
ENSSSCG00000005039,4.30883642777641,4.16929236724387
ENSSSCG00000005040,5.87781447479794,3.98310188700351
ENSSSCG00000004250,1.82097819092171,1.58842559528816
ENSSSCG00000005287,6.14372526414862,6.76149292822809
ENSSSCG00000005041,7.27517815066856,6.65872807944706
ENSSSCG00000020885,6.16314181282407,5.19277424892877
ENSSSCG00000004253,5.4124573894255,5.04627364280196
ENSSSCG00000060009,1.25759436828894,2.2195648091963
ENSSSCG00000054181,-0.448355853085656,-1.58340754697519
ENSSSCG00000062298,-0.772279035927509,-1.58340754697519
ENSSSCG00000004364,4.75117951723253,4.02757722002153
ENSSSCG00000005043,4.12302991360564,3.79694207449086
ENSSSCG00000004254,4.45172098709673,4.51374636017543
ENSSSCG00000005045,3.27598467354177,3.31303548822313
ENSSSCG00000005047,1.55761291008301,0.0381929608049319
ENSSSCG00000004366,5.04162251098298,1.99906248168552
