,ovid00.txt,ovid09.txt
ENSSSCG00000028996,521.414001981632,334.123678160443
ENSSSCG00000005267,305.604390674557,279.201046484163
ENSSSCG00000005268,5.26904121852685,1.980383353712
ENSSSCG00000005269,21.481475737071,11.3541978946155
ENSSSCG00000031382,16.5072060552449,10.2649870500739
ENSSSCG00000005271,59.9123148344381,52.1500949810826
ENSSSCG00000005272,13.1541798252733,13.862683475984
ENSSSCG00000005273,36.9201349717755,30.0028078087368
ENSSSCG00000023520,15.6965843293177,8.38362286404746
ENSSSCG00000057774,1.69493633602962,1.32025556914133
ENSSSCG00000037277,175.683835873678,35.3498428637592
ENSSSCG00000005277,28.7770712704159,24.1276705260578
ENSSSCG00000004361,3.35302622997163,0.0660127784570666
ENSSSCG00000004349,27.7822173340506,17.1633223988373
ENSSSCG00000004272,43.6261874317188,43.9315040631778
ENSSSCG00000037594,176.568150483781,112.716819215441
ENSSSCG00000004261,1.25277903097841,0.693134173799199
ENSSSCG00000004351,18.6811461384134,16.7012329496378
ENSSSCG00000004262,17.5020599916102,12.7734726314424
ENSSSCG00000038757,9.17476407981248,12.2123640145573
ENSSSCG00000004353,44.1051911788576,28.5505266826813
ENSSSCG00000005284,6.85343822829366,6.13918839650719
ENSSSCG00000004263,15.5123521188797,9.43982731936052
ENSSSCG00000021802,13.9648015512005,17.4933862911227
ENSSSCG00000031105,8.87999254311168,6.70029701339226
ENSSSCG00000034919,55.3802024576633,66.7719254093229
ENSSSCG00000023834,202.102734850488,237.579989666983
ENSSSCG00000032533,5.49011987105245,4.58788810276613
ENSSSCG00000025941,189.427558772353,151.499326558968
ENSSSCG00000030268,143.001041741977,116.974643425922
ENSSSCG00000027002,33.5671087418039,25.8770091551701
ENSSSCG00000005266,3.79518353502283,4.78592643813733
ENSSSCG00000005288,37.6939102556151,50.6648074657986
ENSSSCG00000035934,4.34788016633684,3.82874115050986
ENSSSCG00000005036,2.54240450404442,0.1980383353712
ENSSSCG00000004241,290.386810092378,46.043912973804
ENSSSCG00000005037,69.0870789142506,68.6862959845778
ENSSSCG00000004242,27.0452884922986,14.1927473682693
ENSSSCG00000005291,88.8367718732044,130.243211895792
ENSSSCG00000005038,86.7365246742112,51.9520566457114
ENSSSCG00000033805,0.147385768350401,0.594115006113599
ENSSSCG00000037497,0.257925094613202,0.528102227656533
