Sample,Total_genes,Passed,Removed_genes,Removed_percent,Passed_percent
endo03,17866,67,17799,99.62,0.38
endo06,18030,359,17671,98.01,1.99
endo09,18146,531,17615,97.07,2.93
endo12,17795,475,17320,97.33,2.67
endo15,18226,438,17788,97.6,2.4
endo18,18068,82,17986,99.55,0.45
ovary03,17268,393,16875,97.72,2.28
ovary06,17405,474,16931,97.28,2.72
ovary09,17198,511,16687,97.03,2.97
ovary12,17328,1007,16321,94.19,5.81
ovary15,17653,909,16744,94.85,5.15
ovary18,17828,457,17371,97.44,2.56
ovid03,18378,249,18129,98.65,1.35
ovid06,18447,221,18226,98.8,1.2
ovid09,18356,259,18097,98.59,1.41
ovid12,18351,364,17987,98.02,1.98
ovid15,18380,194,18186,98.94,1.06
ovid18,18066,21,18045,99.88,0.12
