genes,Min_FDR,Max_abs_logFC
ENSSSCG00000031344,3.65059473213175e-06,9.87997507780577
ENSSSCG00000034731,3.66196410447457e-06,9.93134210827491
ENSSSCG00000059716,3.73159866614281e-06,9.18265317418693
ENSSSCG00000030303,3.80120899838569e-06,5.80646744335185
ENSSSCG00000001775,3.8388423369023e-06,6.24234423428747
ENSSSCG00000007702,3.89002546248221e-06,6.66635749447693
ENSSSCG00000010479,3.92458959971685e-06,5.80401584730736
ENSSSCG00000017359,3.95235229737483e-06,5.83421298429387
ENSSSCG00000002241,3.97209456838428e-06,5.95392278741959
ENSSSCG00000008054,3.99025267950765e-06,9.84734395198992
ENSSSCG00000035269,3.99317738150478e-06,7.04461543797942
ENSSSCG00000016957,4.03360259700112e-06,6.25449791193136
ENSSSCG00000013252,4.04273192885636e-06,7.18478849360987
ENSSSCG00000021585,4.09329914716175e-06,6.16848374269188
ENSSSCG00000005638,4.10748916951848e-06,5.70298394288349
ENSSSCG00000060097,4.13350583906974e-06,5.93388667815545
ENSSSCG00000008985,4.14529883050272e-06,9.69169847348815
ENSSSCG00000014256,4.14529883050272e-06,5.53546203653649
ENSSSCG00000012644,4.18060188169984e-06,6.80268904575222
ENSSSCG00000051849,4.21651761686365e-06,6.20032023111148
ENSSSCG00000055674,4.23169292153214e-06,9.79097222121475
