Sample,Total_genes,Passed,Removed_genes,Removed_percent,Passed_percent
endo03,17866,66,17800,99.63,0.37
endo06,18030,283,17747,98.43,1.57
endo09,18146,386,17760,97.87,2.13
endo12,17795,372,17423,97.91,2.09
endo15,18226,333,17893,98.17,1.83
endo18,18068,77,17991,99.57,0.43
ovary03,17268,299,16969,98.27,1.73
ovary06,17405,355,17050,97.96,2.04
ovary09,17198,387,16811,97.75,2.25
ovary12,17328,698,16630,95.97,4.03
ovary15,17653,609,17044,96.55,3.45
ovary18,17828,297,17531,98.33,1.67
ovid03,18378,203,18175,98.9,1.1
ovid06,18447,182,18265,99.01,0.99
ovid09,18356,210,18146,98.86,1.14
ovid12,18351,293,18058,98.4,1.6
ovid15,18380,165,18215,99.1,0.9
ovid18,18066,21,18045,99.88,0.12
