,logFC,PValue,FDR
ENSSSCG00000040652,-13.784873607085,2.87299188487635e-16,5.28055908440273e-12
ENSSSCG00000001107,-13.2785741752972,2.6307448078827e-15,2.4176544784442e-11
ENSSSCG00000001523,-12.3766106939863,1.34926449953338e-13,8.26649383380782e-10
ENSSSCG00000013369,-8.68584784848689,2.82755858134766e-13,1.29926316812925e-09
ENSSSCG00000012071,7.56745558521535,1.96011142456966e-11,6.84009028658793e-08
ENSSSCG00000031478,-11.1986161017851,2.23289127962609e-11,6.84009028658793e-08
ENSSSCG00000055762,-7.42502510111669,3.12137363494113e-11,8.19583534431685e-08
ENSSSCG00000005216,7.10587259613797,7.487916625046e-11,1.72034884460432e-07
ENSSSCG00000012600,-6.93954318366406,1.62993261924488e-10,3.32868461574676e-07
ENSSSCG00000050793,6.42724762814112,6.84358062511242e-10,1.25785011889566e-06
ENSSSCG00000052907,-6.44500879243105,1.17971219913839e-09,1.97119183819669e-06
ENSSSCG00000037358,-6.20769880367955,1.45203524508527e-09,2.22403398372227e-06
ENSSSCG00000058318,-10.0389095033258,3.12482907275347e-09,4.41802756593914e-06
ENSSSCG00000059713,-6.08030176867959,3.90212741623894e-09,5.12293585074798e-06
ENSSSCG00000006106,-9.95153237153795,4.50652160053949e-09,5.43263198719186e-06
ENSSSCG00000000211,-6.08044326639709,4.72916821518333e-09,5.43263198719186e-06
ENSSSCG00000030998,5.91088136337704,6.86759659576324e-09,7.42508384883108e-06
ENSSSCG00000018073,-7.46366101244224,7.64342552764705e-09,7.50624654944725e-06
ENSSSCG00000057453,10.08092268061,7.75944964306299e-09,7.50624654944725e-06
ENSSSCG00000004283,-9.7293827660301,1.13712336958977e-08,1.045016376653e-05
ENSSSCG00000007486,5.90788932081617,1.39729598184016e-08,1.22296667362963e-05
ENSSSCG00000037477,-6.36420746493107,1.50838982249942e-08,1.26019113352452e-05
ENSSSCG00000055095,-9.58753956780103,2.04428730965884e-08,1.63365220658824e-05
ENSSSCG00000034866,7.23185814430347,2.21293897312127e-08,1.69474243024871e-05
ENSSSCG00000004890,9.8142545329879,2.31788727753398e-08,1.70411072644298e-05
ENSSSCG00000026146,-9.44856669691042,3.61828426879885e-08,2.55784864848165e-05
ENSSSCG00000008976,6.56764813088409,3.86378086695294e-08,2.63023304942945e-05
ENSSSCG00000014982,5.82643717912273,4.18291224056324e-08,2.74578310648401e-05
ENSSSCG00000032643,-9.35437881938172,5.31582010296733e-08,3.30426639134877e-05
ENSSSCG00000000240,-5.87481920460267,5.39325308707634e-08,3.30426639134877e-05
ENSSSCG00000054186,-5.26671873262571,8.03564511116987e-08,4.76435990784846e-05
ENSSSCG00000045353,-9.18958670871001,1.03703109433889e-07,5.95644734810899e-05
ENSSSCG00000057223,-9.16759841381051,1.13319340534935e-07,6.31154387585485e-05
ENSSSCG00000013067,-9.14526979902085,1.23982120206997e-07,6.70232755707238e-05
ENSSSCG00000001441,9.3800980632817,1.33133048447514e-07,6.99138694418658e-05
ENSSSCG00000035269,-5.63303062666952,1.49115907683124e-07,7.61319550893283e-05
