,ovid00.txt,ovid12.txt
ENSSSCG00000028996,9.03497782780816,8.68623262530235
ENSSSCG00000005267,8.26435281734693,7.92029142401297
ENSSSCG00000005268,2.42539361790635,1.12639415868481
ENSSSCG00000005269,4.43828881997261,3.36220137609061
ENSSSCG00000031382,4.0597266382591,4.0576483969798
ENSSSCG00000005271,5.91498895368395,5.88485547839071
ENSSSCG00000005272,3.73372994432179,3.75143011940839
ENSSSCG00000005273,5.21760988849355,5.22312089359975
ENSSSCG00000023520,3.98740117173815,2.94889226452004
ENSSSCG00000057774,0.829071897010293,0.398069671381548
ENSSSCG00000037277,7.46591740587425,5.66430262351138
ENSSSCG00000005277,4.85890711774301,4.94207725937834
ENSSSCG00000004361,1.78426298810072,-1.8401799650386
ENSSSCG00000004349,4.80827654802504,4.4853246407128
ENSSSCG00000004272,5.45796969690739,5.38961493625712
ENSSSCG00000037594,7.47315815209019,8.07311749878998
ENSSSCG00000004261,0.413348705114398,0.0577231064108179
ENSSSCG00000004351,4.23749268845295,4.30000846432838
ENSSSCG00000004262,4.14380330434322,4.5485756396013
ENSSSCG00000038757,3.21731528930371,3.10214412708721
ENSSSCG00000004353,5.4736982470032,5.35220506917202
ENSSSCG00000005284,2.80022893815857,1.27824094372873
ENSSSCG00000004263,3.97044531559437,3.84822704819711
ENSSSCG00000021802,3.81955295618305,4.559206120792
ENSSSCG00000031105,3.17057130592865,2.71792472339015
ENSSSCG00000034919,5.80164679222615,6.18788691593381
ENSSSCG00000023834,7.66794841593606,7.60546174723854
ENSSSCG00000032533,2.48391629292199,2.14832030617002
ENSSSCG00000025941,7.57453979215574,7.35519569718287
ENSSSCG00000030268,7.16909512609758,6.7226491621097
ENSSSCG00000027002,5.08052759778723,5.19340330687288
ENSSSCG00000005266,1.9594709162712,2.63995102405942
ENSSSCG00000005288,5.24747654062568,5.60909974604131
ENSSSCG00000035934,2.1522334179383,2.29799153656042
ENSSSCG00000005036,1.39452258101253,-0.0939157672730285
ENSSSCG00000004241,8.19068107519777,6.14265915256368
ENSSSCG00000005037,6.12032493706425,6.22841342596232
ENSSSCG00000004242,4.76959253629699,5.04095557054508
ENSSSCG00000005291,6.48273586859378,7.25707691140491
ENSSSCG00000005038,6.44824650382655,6.04166203409685
ENSSSCG00000033805,-2.18539653477936,-0.263385623280667
ENSSSCG00000033763,5.9909409121836,6.081291439241
ENSSSCG00000004344,0.287568399436922,1.23646214543548
ENSSSCG00000005286,4.44566921016064,4.79872468119545
ENSSSCG00000005039,4.31744364551759,4.7041873479956
ENSSSCG00000005040,5.88634769154914,4.31764651832128
ENSSSCG00000004250,1.83009982526028,1.14908981311353
ENSSSCG00000005287,6.15225214789385,6.5564470785508
ENSSSCG00000005041,7.28368802659142,6.5617431889548
ENSSSCG00000020885,6.17166827826758,5.31002773199686
ENSSSCG00000004253,5.42100492774266,5.23642914396106
ENSSSCG00000054867,-0.853531613673588,-1.8401799650386
ENSSSCG00000060009,1.26701498621829,1.99389736543502
ENSSSCG00000054181,-0.436844610434284,0.849884549920082
ENSSSCG00000062298,-0.760009656449668,-0.677058547165079
ENSSSCG00000004364,4.75975726000276,4.28727651008515
ENSSSCG00000005043,4.13165247379129,4.0576483969798
ENSSSCG00000004254,4.46031767971317,4.5485756396013
ENSSSCG00000005045,3.28470864874807,3.03061107134768
ENSSSCG00000005047,1.5668598923605,0.435477979304707
ENSSSCG00000004366,5.05018527416825,2.21437503149073
ENSSSCG00000027256,6.4537473074506,5.65640320570517
ENSSSCG00000004367,-0.436844610434284,-0.388544220418532
ENSSSCG00000039333,2.02662781277181,0.435477979304707
ENSSSCG00000004368,5.2530959869961,4.57395841486693
ENSSSCG00000026294,6.37153386548877,5.67802337439946
ENSSSCG00000035648,4.4358202758112,4.49642972468318
ENSSSCG00000038522,3.58571024555038,1.87640050347788
ENSSSCG00000035259,6.49048772241459,7.40407410214027
ENSSSCG00000021451,4.14682508871875,4.3932654839598
ENSSSCG00000038507,8.01743354009839,8.07996232137825
ENSSSCG00000004339,5.9141024678728,5.759560316714
ENSSSCG00000005004,2.32224974233718,2.12561244727218
ENSSSCG00000004347,4.63187956610873,4.93556445468288
ENSSSCG00000005006,7.29870936630827,7.33893917853767
ENSSSCG00000004275,4.84595032688912,5.5324078658368
ENSSSCG00000035611,4.46274469605145,4.04257522893301
ENSSSCG00000058931,5.51169948738225,5.51831224643932
ENSSSCG00000005008,0.670134992904557,0.849884549920082
ENSSSCG00000004358,5.33486223726584,4.47637861374378
ENSSSCG00000004270,2.58540590312146,4.1617615150533
ENSSSCG00000032489,3.72566863594693,3.65561581586247
ENSSSCG00000004990,3.19413260515796,4.51620597361388
ENSSSCG00000004340,1.63730794525852,0.237909607350806
ENSSSCG00000058693,-0.366219793000371,-0.525601129005278
ENSSSCG00000005009,5.65972017850544,5.88907495311446
ENSSSCG00000035240,2.92516368292012,1.57496091786628
ENSSSCG00000005011,5.32822262235109,5.27305210680226
ENSSSCG00000032312,6.93351031447824,6.74470363616419
ENSSSCG00000004342,2.5764689972964,1.65642787233451
ENSSSCG00000005012,6.78819600588437,6.75860669951771
ENSSSCG00000045405,-0.172986159316131,0.673253705826476
ENSSSCG00000005029,7.30311772248089,6.8648276711255
ENSSSCG00000005030,5.7794277363247,4.60301802334009
ENSSSCG00000053196,-1.76621037050632,-1.25929576306146
ENSSSCG00000057054,0.0499945777553692,-1.25929576306146
ENSSSCG00000021862,2.66344045419142,0.849884549920082
ENSSSCG00000005027,5.12104088523614,5.60500137671386
ENSSSCG00000047735,0.100742341375041,1.48861686306574
ENSSSCG00000028092,6.86130291083251,6.24957090675065
ENSSSCG00000004941,3.55419255300305,3.70623255229236
ENSSSCG00000004942,2.37474325344288,2.47907940856065
ENSSSCG00000004943,5.08052759778723,5.08281612490616
ENSSSCG00000036735,3.70121087126734,4.30254142717377
ENSSSCG00000005015,5.19297091778747,5.52916723272704
ENSSSCG00000005016,4.62322680946178,5.70028511425141
ENSSSCG00000031354,3.19413260515796,3.3327644400078
ENSSSCG00000038941,2.80022893815857,3.15355845002718
ENSSSCG00000004945,10.5562777991177,10.412618472885
ENSSSCG00000005787,5.49638200406742,5.50517752518732
ENSSSCG00000034516,5.73895073157943,6.5728021371495
ENSSSCG00000036634,5.90073939692561,6.1133839602639
ENSSSCG00000005785,5.35067373876361,5.69547474198952
ENSSSCG00000004946,3.25140545585682,2.84846395077871
ENSSSCG00000005020,2.31151788378956,1.7923919992646
ENSSSCG00000005786,4.95513055594381,4.98686178810224
ENSSSCG00000004948,1.73692191510003,2.91618682485343
ENSSSCG00000004971,5.0646375295232,5.64147419662771
ENSSSCG00000005021,5.27397609316539,5.63646333169111
ENSSSCG00000038767,5.74494560160379,5.91081947219147
ENSSSCG00000004963,6.35595057008154,6.46556682219001
ENSSSCG00000005022,4.82346431731546,5.88316422701133
ENSSSCG00000004966,0.944707304917064,0.542212946042323
ENSSSCG00000026078,5.37664714547899,5.8463143656426
ENSSSCG00000004968,2.12797194056295,2.10254144576905
ENSSSCG00000005024,6.80980491487064,7.15880152357768
ENSSSCG00000004969,4.26834275272071,4.42615857517925
ENSSSCG00000004970,10.3205958516121,10.14882962874
ENSSSCG00000023533,4.75778213307364,5.24303751435366
ENSSSCG00000004952,6.0200715914083,6.1657980958902
ENSSSCG00000005023,3.67214268972042,3.32281712332684
ENSSSCG00000004859,5.43960569811919,5.82709059398718
ENSSSCG00000005025,2.27883483945958,0.57610578322266
ENSSSCG00000004856,5.83387798399017,6.20558834686737
ENSSSCG00000004951,6.4166727895349,6.12057921646315
ENSSSCG00000038422,6.64326777652869,6.14900666789185
ENSSSCG00000057448,1.15141125109037,0.57610578322266
ENSSSCG00000004954,2.27883483945958,2.56597925471077
ENSSSCG00000005002,-0.760009656449668,-1.52069746568315
ENSSSCG00000004955,4.59695273627806,4.34739036950369
ENSSSCG00000030679,3.28470864874807,3.63566498053601
ENSSSCG00000004996,5.2530959869961,5.79596938718438
ENSSSCG00000027765,6.7862594577805,6.85967682109991
ENSSSCG00000004857,5.67130873096642,6.040903745917
ENSSSCG00000004997,5.74195128042022,6.52750719476497
ENSSSCG00000021217,5.47490106260123,5.4841331843782
ENSSSCG00000004958,4.59474147740736,5.32256134169106
ENSSSCG00000005000,2.02662781277181,1.35833524436402
ENSSSCG00000026517,4.16482407488938,2.68723907952731
ENSSSCG00000004957,4.92023612824813,5.34485104495242
ENSSSCG00000004861,4.69103793121308,5.25223867228134
ENSSSCG00000032488,5.36760954742247,5.68483512388851
ENSSSCG00000053589,1.31078168072475,1.50630403595594
ENSSSCG00000004999,4.11631859315848,4.28983190568174
ENSSSCG00000063467,3.59459026383017,3.79165299668095
ENSSSCG00000055454,-2.7786923280833,-0.846301744612351
ENSSSCG00000004869,4.99926704105047,4.9757953128592
ENSSSCG00000022419,5.16790382991218,5.34853274287697
ENSSSCG00000004961,5.08526068953684,1.7923919992646
ENSSSCG00000004962,4.25440172104642,4.17010775789963
ENSSSCG00000043563,4.45056857793039,5.14482632005132
ENSSSCG00000063237,-0.298891549090334,-0.0939157672730285
ENSSSCG00000063081,-1.17711110063913,-0.525601129005278
ENSSSCG00000056226,0.100742341375041,-0.939002221215996
ENSSSCG00000049234,0.452951213946323,-0.388544220418532
ENSSSCG00000004870,7.09515187281516,6.59931184926945
ENSSSCG00000004973,6.88818537002669,6.16301306130468
ENSSSCG00000004847,4.20306820727531,4.52707675968878
ENSSSCG00000035696,4.07249586464445,3.6674552151945
ENSSSCG00000004849,4.01412273678585,2.82045886411379
ENSSSCG00000004850,-1.17711110063913,-0.148223491251987
ENSSSCG00000004854,8.10588015161645,7.89050571928617
ENSSSCG00000004974,3.62957364619877,2.91618682485343
ENSSSCG00000004976,4.63187956610873,3.40996629187178
ENSSSCG00000036984,0.287568399436922,0.542212946042323
ENSSSCG00000004980,6.25664484327975,5.21507661569381
ENSSSCG00000004874,-2.4517584837076,0.279647110046088
ENSSSCG00000004875,8.5391951998804,8.60622207747062
ENSSSCG00000037781,1.87452508252921,2.13701105365544
ENSSSCG00000005781,1.26701498621829,2.58274830575664
ENSSSCG00000004979,3.84582327949804,4.75685533854263
ENSSSCG00000020859,1.91762311007587,-2.82801378858791
ENSSSCG00000004843,0.330725158109446,-0.939002221215996
ENSSSCG00000025616,4.58586239269237,4.74944803851897
ENSSSCG00000026486,-0.366219793000371,-1.25929576306146
ENSSSCG00000026167,1.58479702558902,0.849884549920082
ENSSSCG00000004985,4.42341379711441,4.44232809668112
ENSSSCG00000004844,5.17235920097431,5.38005325502355
ENSSSCG00000004986,4.81208850604625,4.52490914555712
ENSSSCG00000004845,4.80253965894196,5.15887315996957
ENSSSCG00000022828,7.335923394778,7.94035457453619
ENSSSCG00000032494,4.19140839260663,4.5485756396013
ENSSSCG00000004873,4.97056184951628,4.52924112191834
ENSSSCG00000004983,6.81741074478994,6.94077502300242
ENSSSCG00000032214,5.32021453757464,5.57283798154239
ENSSSCG00000032574,3.4650022123179,3.47428693258715
ENSSSCG00000038398,-1.44179879099627,0.194928563766457
ENSSSCG00000005782,3.51730849814838,3.72523724523905
ENSSSCG00000040252,4.6848143264999,4.73826528723192
ENSSSCG00000038208,-2.18539653477936,-0.846301744612351
ENSSSCG00000062837,0.858861210999527,1.60810175157265
ENSSSCG00000041275,1.68797451694035,1.10333575501827
ENSSSCG00000056587,-0.760009656449668,0.849884549920082
ENSSSCG00000060706,2.23407281176358,2.42431062631404
ENSSSCG00000054784,2.78479325747305,2.79909242304482
ENSSSCG00000034069,3.00059558164005,2.75538613045909
ENSSSCG00000060600,5.68280493881223,5.83323507875412
ENSSSCG00000060688,-2.7786923280833,-0.324608106637033
ENSSSCG00000061619,-0.589397329008477,-2.03108072371693
ENSSSCG00000004989,4.3804154287656,4.559206120792
ENSSSCG00000060152,0.149765510442239,0.320211010138203
ENSSSCG00000053633,-0.436844610434284,0.104923062743174
ENSSSCG00000062595,0.149765510442239,1.50630403595594
ENSSSCG00000053742,1.73692191510003,2.37702610112607
ENSSSCG00000056642,7.49999182234631,6.34971605209353
ENSSSCG00000052850,-1.76621037050632,-0.599343206954583
ENSSSCG00000062224,1.19877002303256,2.10254144576905
ENSSSCG00000054354,-0.436844610434284,1.54104085520276
ENSSSCG00000058062,0.287568399436922,1.9686014391532
ENSSSCG00000019587,-0.853531613673588,0.0089265494892677
ENSSSCG00000018926,-1.59490512762574,-0.525601129005278
ENSSSCG00000034963,2.80788528598905,2.0908661002838
ENSSSCG00000004075,0.670134992904557,1.37768282410943
ENSSSCG00000004076,3.33326490576821,4.00263166271499
ENSSSCG00000004077,0.916655709016911,1.50630403595594
ENSSSCG00000004101,4.41591837373478,2.80624978758604
ENSSSCG00000004103,5.56914232700619,5.48636288940597
ENSSSCG00000004410,5.44329724585342,5.93469249911052
ENSSSCG00000004105,3.26259215701247,3.36704966223293
ENSSSCG00000033739,3.69296526744497,4.0725657086855
ENSSSCG00000004405,4.78130703998881,4.84463667588153
ENSSSCG00000004071,4.02730018122864,3.87229726247505
ENSSSCG00000046319,-0.298891549090334,-0.204655770042438
ENSSSCG00000026042,-0.589397329008477,-1.52069746568315
ENSSSCG00000004113,4.11013911409727,5.31254318006875
ENSSSCG00000004404,1.62001580344128,0.542212946042323
ENSSSCG00000004403,3.81576069603256,3.61543437436169
ENSSSCG00000004402,4.12247171657686,3.64766855866712
ENSSSCG00000004401,5.90966184964202,5.65342973714791
ENSSSCG00000004399,1.12713582656886,-0.324608106637033
ENSSSCG00000037803,7.71934556790629,5.45824078684233
ENSSSCG00000004388,5.30406376813649,5.50077257582279
ENSSSCG00000004390,4.79677986596288,5.64347367959649
ENSSSCG00000043354,-0.853531613673588,-1.25929576306146
ENSSSCG00000004114,6.68751710366321,6.96655921137082
ENSSSCG00000004391,0.972223855645063,0.673253705826476
ENSSSCG00000052303,3.50323018463971,3.18134958438851
ENSSSCG00000004415,6.78383511143486,7.66572854882071
ENSSSCG00000004414,8.12113274606205,8.4144932997231
ENSSSCG00000004120,3.82333527414788,4.17840599386807
ENSSSCG00000004413,7.09632465847957,7.05145795843522
ENSSSCG00000004121,5.18417335865701,5.90416369017025
ENSSSCG00000004408,6.25103922994068,6.29734089463467
ENSSSCG00000004412,5.29455830808582,3.67529451286197
ENSSSCG00000031536,2.45495168034555,2.55752106558299
ENSSSCG00000004081,2.8895277476977,5.33869392548789
ENSSSCG00000004411,3.35433177493753,3.36220137609061
ENSSSCG00000033392,0.767581932658588,0.104923062743174
ENSSSCG00000049158,3.29564103841416,5.10184606625135
ENSSSCG00000004382,7.22055461354669,7.26001215709021
ENSSSCG00000004082,8.33758861298803,9.39955554291584
ENSSSCG00000004383,5.10869599299572,4.78972545012978
ENSSSCG00000004384,-0.234565804224677,-0.759199818280441
ENSSSCG00000004385,6.87457892496672,6.58325623597915
ENSSSCG00000040199,4.59252682407515,3.78079386599228
ENSSSCG00000004387,6.45496686517796,7.16646976268653
ENSSSCG00000025777,9.64857252075237,8.45333689235909
ENSSSCG00000004432,6.42416430457971,6.09011498234235
ENSSSCG00000046251,-0.298891549090334,-0.388544220418532
ENSSSCG00000004433,0.735825380164927,-0.525601129005278
ENSSSCG00000004434,4.9534057345864,5.01338931016308
ENSSSCG00000037424,5.09624455529818,5.33002957231203
ENSSSCG00000004392,6.09238488658312,5.74566648458728
ENSSSCG00000004393,5.35590596359921,4.32514016824532
ENSSSCG00000004394,3.89697097792436,3.88924767376804
ENSSSCG00000004419,3.67214268972042,3.04882958845527
ENSSSCG00000041409,0.670134992904557,1.65642787233451
ENSSSCG00000025703,5.94654499759385,6.68042656804551
ENSSSCG00000004420,6.12416305449333,6.67993959360472
ENSSSCG00000004421,4.73788069996916,3.63566498053601
ENSSSCG00000004422,-0.00260355823747528,-0.041578415309788
ENSSSCG00000004094,1.49279440154927,-1.52069746568315
ENSSSCG00000004423,1.84506076011142,2.75538613045909
ENSSSCG00000036621,3.57228688576348,2.67946459262225
ENSSSCG00000004425,6.29324184637264,5.61522555261568
ENSSSCG00000024361,3.43565145208306,3.4193323965908
ENSSSCG00000004065,1.39452258101253,1.12639415868481
ENSSSCG00000004070,5.76965950818436,6.1664935152937
ENSSSCG00000004370,4.98414134762498,4.98370859052817
ENSSSCG00000026382,5.85620351422622,6.03406115715739
ENSSSCG00000004106,5.90252830745461,6.31626532785059
ENSSSCG00000038554,5.44206777918568,5.21238519123459
ENSSSCG00000004104,5.12257659583581,4.82890886325849
ENSSSCG00000004369,3.82710770192174,2.31815978149947
ENSSSCG00000005575,5.56575950696294,5.76140275897738
ENSSSCG00000022804,5.48448765547761,6.08055370226089
ENSSSCG00000030067,6.1279909881572,6.30683414098166
ENSSSCG00000028867,4.9671469089679,4.95983734036395
ENSSSCG00000004371,3.83462309284529,5.20292546747869
ENSSSCG00000004109,-0.436844610434284,-1.14444700074474
ENSSSCG00000004110,5.96035136133467,6.35338537137972
ENSSSCG00000005167,-1.76621037050632,-0.677058547165079
ENSSSCG00000028974,4.9149283996542,3.63164149082624
ENSSSCG00000041504,-2.7786923280833,-0.677058547165079
ENSSSCG00000033175,5.58482478119815,6.40615665689724
ENSSSCG00000004373,3.70940961571912,2.69497189524234
ENSSSCG00000048240,0.888047847281729,-0.677058547165079
ENSSSCG00000060764,-1.44179879099627,-1.25929576306146
ENSSSCG00000004374,4.05329939101676,3.256431959672
ENSSSCG00000056379,6.05587773171642,2.40558237341283
ENSSSCG00000037985,3.73372994432179,3.97113521872471
ENSSSCG00000005131,1.83009982526028,0.849884549920082
ENSSSCG00000034120,0.413348705114398,-0.324608106637033
ENSSSCG00000031159,2.5764689972964,2.39612628098896
ENSSSCG00000043123,-0.953538920678509,0.398069671381548
ENSSSCG00000036168,3.51263097494521,3.20320336202175
ENSSSCG00000054729,0.529036939591404,2.20357380483212
ENSSSCG00000060161,-1.44179879099627,-0.0939157672730285
ENSSSCG00000059324,0.999225390255179,3.33771249615449
ENSSSCG00000004379,2.07818957623419,1.03186324671217
ENSSSCG00000042082,-0.760009656449668,-1.14444700074474
ENSSSCG00000059436,-0.953538920678509,-1.52069746568315
ENSSSCG00000005587,5.54185503175172,5.42724027214924
ENSSSCG00000044325,-1.59490512762574,1.05608297864375
ENSSSCG00000037071,1.33217698991174,-0.324608106637033
ENSSSCG00000005590,5.51871461430854,4.96624172665091
ENSSSCG00000049906,-0.760009656449668,1.338724668677
ENSSSCG00000053064,-0.298891549090334,0.904262213722385
ENSSSCG00000005591,-0.298891549090334,3.04882958845527
ENSSSCG00000028558,5.47128960315626,5.52483503415981
ENSSSCG00000005112,3.55873745623435,3.89261398808214
ENSSSCG00000054646,-0.0571921266895443,1.10333575501827
ENSSSCG00000053219,0.529036939591404,2.34789316096505
ENSSSCG00000051118,0.0499945777553692,1.39677436870277
ENSSSCG00000041974,-0.953538920678509,-1.8401799650386
ENSSSCG00000048523,-0.511105514522212,-0.846301744612351
ENSSSCG00000053065,0.287568399436922,-0.525601129005278
ENSSSCG00000005588,-1.06099850869858,-1.03807069060952
ENSSSCG00000005122,4.28763660964927,3.9258520467663
ENSSSCG00000005589,2.54015726208531,3.37188170989723
ENSSSCG00000061592,2.76919063967212,2.38660779979985
ENSSSCG00000005593,6.39903980445002,4.82715069739821
ENSSSCG00000050067,1.94565608375608,2.55752106558299
ENSSSCG00000042842,0.636132990708671,0.793376747563614
ENSSSCG00000005594,6.36506126931809,5.04549916975479
ENSSSCG00000005124,5.45065212396169,5.38125193655323
ENSSSCG00000034227,8.68364764550238,8.67613493273727
ENSSSCG00000005125,-1.76621037050632,-1.25929576306146
ENSSSCG00000005596,4.84222691257299,4.29747104649661
ENSSSCG00000005126,4.84408982093868,4.59684005101872
ENSSSCG00000005597,4.52212992426668,4.53571479440143
ENSSSCG00000005576,4.0883000863416,4.17564521521922
ENSSSCG00000032575,4.32012308569411,4.86191325354848
ENSSSCG00000022337,1.73692191510003,-2.82801378858791
ENSSSCG00000020743,6.1033148508671,5.84109687125956
ENSSSCG00000005173,4.68689184592671,5.26787683080392
ENSSSCG00000004894,4.85336844994785,4.20030406914951
ENSSSCG00000005582,6.66345359581236,6.87464902469087
ENSSSCG00000035941,2.80788528598905,3.40996629187178
ENSSSCG00000025744,4.89350002971304,4.88744628701303
ENSSSCG00000040366,3.39047439746169,2.06722807156242
ENSSSCG00000004896,3.96703009886572,5.19749193101458
ENSSSCG00000005164,1.5668598923605,1.23646214543548
ENSSSCG00000028406,6.39205316397253,5.73445426857305
ENSSSCG00000004897,4.71363083297886,5.60089133167296
ENSSSCG00000004898,2.81550121616716,2.62383750964116
ENSSSCG00000004921,5.56688799520795,5.40855025883068
ENSSSCG00000005166,5.16492592012952,5.04247169411915
ENSSSCG00000005135,4.05651659383102,3.8654609393188
ENSSSCG00000004923,1.47366826894368,0.50750467869339
ENSSSCG00000005584,5.05823217180367,6.16161852528666
ENSSSCG00000038071,6.82544824382754,4.70801378078423
ENSSSCG00000005136,2.9321864456332,3.65957308761812
ENSSSCG00000035506,0.916655709016911,0.542212946042323
ENSSSCG00000047263,-1.59490512762574,-0.599343206954583
ENSSSCG00000004926,3.79664841366028,4.21382347729241
ENSSSCG00000043817,5.0241293730039,5.6838639837069
ENSSSCG00000004927,5.94394153041453,6.01101525891275
ENSSSCG00000043301,1.51167028865731,2.57438814431291
ENSSSCG00000005585,5.01588944401762,5.1755508032673
ENSSSCG00000004928,3.07862212047502,2.90289418779571
ENSSSCG00000031075,0.0499945777553692,1.60810175157265
ENSSSCG00000031149,1.07732409850589,1.41561656618921
ENSSSCG00000051680,2.42539361790635,3.04882958845527
ENSSSCG00000004929,4.61014958431329,4.38133380313428
ENSSSCG00000054127,1.58479702558902,3.52722474855768
ENSSSCG00000005128,0.601310233207037,0.320211010138203
ENSSSCG00000005174,6.71780502510784,6.06198659533829
ENSSSCG00000004931,4.22896326870236,3.0121595431062
ENSSSCG00000031529,-0.511105514522212,0.150627596771608
ENSSSCG00000057273,-2.18539653477936,-0.677058547165079
ENSSSCG00000056734,0.601310233207037,2.50570333967866
ENSSSCG00000004934,6.33689337733564,6.92236558024347
ENSSSCG00000054285,-3.2021115344824,0.734565090535564
ENSSSCG00000057864,-0.953538920678509,0.471940774878504
ENSSSCG00000005498,-0.953538920678509,0.0089265494892677
ENSSSCG00000059082,0.413348705114398,1.39677436870277
ENSSSCG00000057745,0.0499945777553692,1.17143395512442
ENSSSCG00000052950,2.03969204395494,2.76276308255903
ENSSSCG00000060748,1.94565608375608,2.29799153656042
ENSSSCG00000005150,6.19228979839528,6.22307521655032
ENSSSCG00000033910,1.37403862505447,1.5581005735888
ENSSSCG00000005502,3.60780864117064,1.23646214543548
ENSSSCG00000004935,6.07424678199408,7.25249907035164
ENSSSCG00000005152,1.60251388105177,1.76326575722946
ENSSSCG00000005501,4.65964790346017,4.98212940357356
ENSSSCG00000004936,4.57244045506842,4.58648427414471
ENSSSCG00000005503,4.73988324278843,5.45824078684233
ENSSSCG00000005504,5.29183091933648,-0.041578415309788
ENSSSCG00000035890,-1.06099850869858,-2.25115066186742
ENSSSCG00000054719,1.54869693480327,2.19269110072779
ENSSSCG00000054559,5.28773014412809,5.85410539749488
ENSSSCG00000051482,6.20828813976388,6.16370982414499
