Gene_name,genes,logFC,PValue,FDR
C1QL1,ENSSSCG00000039101,6.80082644469853,2.34915552784731e-09,6.01009312073748e-07
IL33,ENSSSCG00000005203,-6.0711045727966,2.41718391438194e-09,6.09579252008348e-07
,ENSSSCG00000058788,-6.09208920859895,2.50548752056652e-09,6.21677440848419e-07
,ENSSSCG00000025597,10.1632050442646,2.53559030992387e-09,6.21677440848419e-07
IL22RA2,ENSSSCG00000004158,7.71134490784002,2.7500814987022e-09,6.65029982145067e-07
PGR,ENSSSCG00000014977,-6.11220659865587,2.80699470528468e-09,6.69619966653926e-07
GPR82,ENSSSCG00000012254,7.16475032350432,3.01272821778695e-09,7.09115883047907e-07
UPP1,ENSSSCG00000030388,6.06361915998705,3.07951247310052e-09,7.15297811679518e-07
,ENSSSCG00000008769,6.36085290456912,3.13704810343506e-09,7.19198833375834e-07
,ENSSSCG00000055617,6.47354499942426,3.24825374032031e-09,7.35146452280442e-07
,ENSSSCG00000052717,10.0771258252894,3.6358807514538e-09,8.12458264625492e-07
IL1RL1,ENSSSCG00000032795,6.09805858561779,3.73910946676195e-09,8.2508124270936e-07
ALKAL1,ENSSSCG00000033922,6.57621000787234,3.84057459321698e-09,8.37008188815547e-07
TM4SF19,ENSSSCG00000028376,10.0547788799464,3.99179294862175e-09,8.59355133195362e-07
GPR87,ENSSSCG00000062777,10.0090189441775,4.83187065153965e-09,1.02767485074252e-06
APOA4,ENSSSCG00000040689,7.04847756424962,4.94396117211059e-09,1.03899698299129e-06
,ENSSSCG00000045074,9.97372058391506,5.59759385332776e-09,1.16252146226818e-06
DCLK3,ENSSSCG00000011241,-10.0687708816452,5.71846014045823e-09,1.1738136844129e-06
MT1A,ENSSSCG00000061081,-5.88157234169279,6.27415938846204e-09,1.27307742166115e-06
IL20RA,ENSSSCG00000004157,6.26693544109132,6.39462309885169e-09,1.28277592686397e-06
RUFY4,ENSSSCG00000016182,6.53111814048362,7.44225157173308e-09,1.47615805613263e-06
DKK1,ENSSSCG00000010428,-9.98333484161448,8.1476598215851e-09,1.59811820922713e-06
PENK,ENSSSCG00000006243,-5.79769288680385,8.24062396054888e-09,1.59859049203922e-06
TRIM54,ENSSSCG00000039557,6.50239626532814,8.41116842777287e-09,1.61393865495081e-06
,ENSSSCG00000010370,5.84409016618119,8.63297477178878e-09,1.63868713598266e-06
CCR1,ENSSSCG00000011322,5.79946223264634,8.81897652661285e-09,1.65618502791805e-06
SLC6A4,ENSSSCG00000017797,-5.76010659600143,9.3579656471465e-09,1.73890702704292e-06
,ENSSSCG00000060319,5.96959125033554,9.57694088459559e-09,1.76105976495589e-06
ATP8B4,ENSSSCG00000004646,5.99874535106422,1.01137762032069e-08,1.84060300324961e-06
TREM1,ENSSSCG00000033251,6.34274411996166,1.04107380876189e-08,1.86467964969736e-06
TRPM8,ENSSSCG00000016314,9.82319962026042,1.04573321996283e-08,1.86467964969736e-06
SPINK9,ENSSSCG00000014426,6.86689257306078,1.06845360481981e-08,1.88614114858841e-06
STARD6,ENSSSCG00000004530,5.90671270919344,1.14459765518967e-08,2.00055271357061e-06
,ENSSSCG00000039214,5.8657312566666,1.18832237949835e-08,2.05661323189062e-06
,ENSSSCG00000060795,5.94072799044995,1.21247407900539e-08,2.07803931229924e-06
SAL1,ENSSSCG00000005474,-9.8569330777607,1.37235624017816e-08,2.32944276037164e-06
KCNK3,ENSSSCG00000008563,5.91932259217159,1.42027339573573e-08,2.38781773856408e-06
GZMA,ENSSSCG00000016902,6.04500575819992,1.64950071682394e-08,2.74704114661255e-06
ANKRD22,ENSSSCG00000010445,-5.72409671535647,1.82821215916467e-08,3.01620834072279e-06
NPY1R,ENSSSCG00000008888,-5.60665323559984,1.85630769307303e-08,3.02614696315503e-06
WFIKKN2,ENSSSCG00000017557,-5.94415784491517,1.86852103882568e-08,3.02614696315503e-06
PHEX,ENSSSCG00000012167,-6.00312000428805,1.9747228889227e-08,3.16907119619567e-06
,ENSSSCG00000053703,6.4483522095829,2.08651897248814e-08,3.29620190367354e-06
,ENSSSCG00000056414,9.65512514240317,2.09128540877718e-08,3.29620190367354e-06
,ENSSSCG00000060097,5.93388667815545,2.64593077558988e-08,4.13350583906974e-06
FBN2,ENSSSCG00000014256,-5.53546203653649,2.68821345281955e-08,4.14529883050272e-06
SOWAHB,ENSSSCG00000008985,-9.69169847348815,2.70044392175728e-08,4.14529883050272e-06
NFASC,ENSSSCG00000022951,5.9213447091286,2.7906445881107e-08,4.24683180292398e-06
MED12L,ENSSSCG00000011714,5.51349622833638,2.82297624320191e-08,4.25931620694388e-06
,ENSSSCG00000037541,5.54974178905205,3.09371420397273e-08,4.62824888497717e-06
PLBD1,ENSSSCG00000057970,5.47299191918323,3.1618926467919e-08,4.69049503309391e-06
IL11,ENSSSCG00000040725,5.48639849144878,3.19330904730271e-08,4.69762371766956e-06
CSF3R,ENSSSCG00000025795,5.52221631905454,3.45863773098068e-08,5.0458951954547e-06
VDR,ENSSSCG00000020864,5.46848523459923,3.70430150228857e-08,5.36000282130329e-06
SFTPA1,ENSSSCG00000010336,9.48170590551383,4.25036873836274e-08,6.10014303563557e-06
,ENSSSCG00000029414,5.47867983517018,4.35787062658143e-08,6.20399114282596e-06
,ENSSSCG00000009667,6.53104057816587,4.39573700083161e-08,6.20783562205444e-06
DHRS9,ENSSSCG00000015930,5.54166073590811,4.60442158184796e-08,6.45094080828271e-06
KCNA3,ENSSSCG00000006802,5.79985068197184,4.66988767399228e-08,6.49114386684927e-06
SV2C,ENSSSCG00000034062,-5.52013738609525,4.8030207265793e-08,6.5245943000719e-06
,ENSSSCG00000030433,7.028495497691,4.86122045081095e-08,6.5245943000719e-06
MAT1A,ENSSSCG00000010337,5.89905818374911,4.87119170139854e-08,6.5245943000719e-06
,ENSSSCG00000034000,9.44780661769794,4.87875402259951e-08,6.5245943000719e-06
RAB39A,ENSSSCG00000031723,9.44780661769794,4.87875402259951e-08,6.5245943000719e-06
NRG1,ENSSSCG00000015839,5.38889392763294,5.5902807713913e-08,7.41994183890005e-06
ELAPOR1,ENSSSCG00000006836,5.41120040402065,5.94523195250692e-08,7.8321775863884e-06
DCHS2,ENSSSCG00000026886,9.39541570919054,6.03440816064419e-08,7.89077090813717e-06
TFEC,ENSSSCG00000038138,5.44814718066953,6.6753125801787e-08,8.66465389543342e-06
,ENSSSCG00000029289,-6.41897790502823,7.1028567890127e-08,9.15231612382783e-06
RETREG1,ENSSSCG00000016792,-5.23042686592869,8.82607255876703e-08,1.12903375999938e-05
DYDC1,ENSSSCG00000061214,5.52440808596237,8.92348509648668e-08,1.13328260725381e-05
,ENSSSCG00000013880,6.35531375601163,9.15305242535953e-08,1.15413453189194e-05
,ENSSSCG00000034866,6.87312216545769,9.25184673626598e-08,1.15831808819364e-05
,ENSSSCG00000053490,5.59429705854195,9.42791250214775e-08,1.16451106383552e-05
,ENSSSCG00000009979,9.28455576758503,9.44222845805165e-08,1.16451106383552e-05
ADGRE3,ENSSSCG00000013787,6.3463872891571,9.49921221278617e-08,1.16451106383552e-05
STXBP5L,ENSSSCG00000039888,5.26039754081648,9.7655807627948e-08,1.18480647530411e-05
SMPDL3B,ENSSSCG00000003582,5.23043034360753,9.79899990904665e-08,1.18480647530411e-05
,ENSSSCG00000047115,9.26522170411148,1.02059135349863e-07,1.22561218798036e-05
,ENSSSCG00000003047,5.89260549587036,1.10457269831781e-07,1.3175014759057e-05
ATP6V0D2,ENSSSCG00000006138,5.59003351812604,1.13113363692532e-07,1.34012765722434e-05
CATIP,ENSSSCG00000016187,-9.32577527748974,1.18328299170097e-07,1.38334401672167e-05
MAEL,ENSSSCG00000006316,-9.32577527748974,1.18328299170097e-07,1.38334401672167e-05
SPINK7,ENSSSCG00000054392,9.22575846565213,1.19582855425105e-07,1.38881325448643e-05
,ENSSSCG00000039927,9.20561452130861,1.29637252199034e-07,1.49574275364023e-05
NLRP12,ENSSSCG00000003251,5.52934261673357,1.4592987113234e-07,1.67279221759688e-05
CLIC6,ENSSSCG00000028112,5.81464530525349,1.52940475281898e-07,1.74019470319431e-05
GPR68,ENSSSCG00000034114,5.27762146871382,1.53781438678022e-07,1.74019470319431e-05
GDF5,ENSSSCG00000023261,-5.6218516053284,1.56205693074724e-07,1.75636885340643e-05
PAG1,ENSSSCG00000040208,5.13041894816267,1.6306521060303e-07,1.82189250808562e-05
,ENSSSCG00000045883,5.94376980260065,1.72904985755843e-07,1.91968032298609e-05
,ENSSSCG00000013842,5.92757053800165,1.84925956998605e-07,2.01101551242913e-05
LSMEM1,ENSSSCG00000040053,6.18552273920557,1.84995162500891e-07,2.01101551242913e-05
,ENSSSCG00000054576,-6.18685433711111,1.85684150730294e-07,2.01101551242913e-05
OAS1,ENSSSCG00000046640,5.33012416551432,1.85688284442275e-07,2.01101551242913e-05
LY6D,ENSSSCG00000037524,6.17547750672493,1.92826849454084e-07,2.07559291061765e-05
MCIDAS,ENSSSCG00000036183,-9.19887041649699,1.95973402352903e-07,2.09667786165806e-05
,ENSSSCG00000057707,9.10044662125995,1.97251920487927e-07,2.09764346528517e-05
,ENSSSCG00000060025,-5.05738914606285,2.10895353097367e-07,2.20780125386526e-05
GATA5,ENSSSCG00000007538,-9.1797943255406,2.11332146584647e-07,2.20780125386526e-05
HNMT,ENSSSCG00000035195,5.04441593382991,2.11715000125014e-07,2.20780125386526e-05
,ENSSSCG00000013556,5.27898710998064,2.13789496545739e-07,2.20780125386526e-05
MT4,ENSSSCG00000055674,9.07846074902144,2.15261014584399e-07,2.20780125386526e-05
,ENSSSCG00000062751,9.07846074902144,2.15261014584399e-07,2.20780125386526e-05
CCL22,ENSSSCG00000056251,5.08003209220894,2.16365273278588e-07,2.20780125386526e-05
,ENSSSCG00000030088,5.03092931105742,2.29125392092192e-07,2.32456927965716e-05
CCL8,ENSSSCG00000040648,5.10029103465982,2.31779431870218e-07,2.33805846331712e-05
NALF1,ENSSSCG00000040130,9.05613463246296,2.35199689560692e-07,2.35907961353119e-05
CSF2RB,ENSSSCG00000000136,4.98762199404951,2.55227638300083e-07,2.54549915192733e-05
IL1A,ENSSSCG00000008090,5.26310705912296,2.67404556557457e-07,2.65196215556674e-05
SDS,ENSSSCG00000036865,5.12160845287191,2.71197546410465e-07,2.67455323284019e-05
PLEK,ENSSSCG00000008348,5.00295183354313,2.74637048732458e-07,2.69342656737449e-05
GAL,ENSSSCG00000012883,9.01041836701972,2.81851992738028e-07,2.7489133855273e-05
ssc-mir-214,ENSSSCG00000018758,-6.5655065296263,3.34330357870393e-07,3.23595794138603e-05
MGARP,ENSSSCG00000009062,-4.92988778252674,3.35680734439248e-07,3.23595794138603e-05
GSTO2,ENSSSCG00000030271,5.01088501625228,3.37288994060516e-07,3.23595794138603e-05
STRIP2,ENSSSCG00000016567,-4.93121003506193,3.56514229568204e-07,3.40191659165811e-05
MARCO,ENSSSCG00000015716,5.59904630103184,3.74098118398036e-07,3.55051294843039e-05
LTB4R,ENSSSCG00000060957,5.34858524901609,3.78848814518797e-07,3.57637332764723e-05
CLEC7A,ENSSSCG00000000648,5.01754803282038,3.91108874170477e-07,3.66523750652472e-05
CYP7A1,ENSSSCG00000006238,5.07149763758322,3.92414823958065e-07,3.66523750652472e-05
SAMSN1,ENSSSCG00000038062,4.97580917541527,4.26317611935859e-07,3.96093937026511e-05
TACR1,ENSSSCG00000036008,-5.12899176837414,4.6699899213919e-07,4.31619539698069e-05
HSPA6,ENSSSCG00000047932,4.89634468607066,4.71647259215207e-07,4.33645263902399e-05
PLPP4,ENSSSCG00000010691,-8.97372610549346,4.74206809521087e-07,4.3373952375522e-05
PCSK6,ENSSSCG00000005785,4.84179952810454,4.93040063820702e-07,4.48641043640559e-05
GALNT9,ENSSSCG00000009738,-8.95140312848827,5.17189045877572e-07,4.68201960352656e-05
ANO2,ENSSSCG00000000712,5.51115729048011,5.37342100667641e-07,4.83964290973769e-05
CCL2,ENSSSCG00000017723,4.7963388538188,5.51281040317293e-07,4.9399818298077e-05
WNT1,ENSSSCG00000000183,5.16289221366733,5.71589036977668e-07,5.09609155038726e-05
MMP9,ENSSSCG00000007436,4.81345982131643,6.03682206962825e-07,5.35517688417826e-05
,ENSSSCG00000039731,4.77365703624403,6.36331646797698e-07,5.61658128045988e-05
NXPH1,ENSSSCG00000037207,-5.45313591156424,6.81400383531029e-07,5.96534714823501e-05
DCSTAMP,ENSSSCG00000006043,8.78461747824927,6.82603593691425e-07,5.96534714823501e-05
,ENSSSCG00000039704,5.25813748316276,7.06446351960888e-07,6.14329923702736e-05
,ENSSSCG00000055535,4.85361517812904,7.45119685727441e-07,6.44784206477771e-05
C1QL2,ENSSSCG00000015717,5.42632853423302,7.61005365288249e-07,6.55318425045534e-05
,ENSSSCG00000047133,4.98309823884833,7.88496151976018e-07,6.7569527042877e-05
RSPH14,ENSSSCG00000010047,-8.83429313096932,8.13148763331288e-07,6.9345483667088e-05
RGN,ENSSSCG00000022390,-4.79864351754304,8.44244370192496e-07,7.14190469698191e-05
,ENSSSCG00000047517,8.7292506523736,8.45835193419489e-07,7.14190469698191e-05
IL7R,ENSSSCG00000016832,4.83122512249876,8.49600626729848e-07,7.14190469698191e-05
TBATA,ENSSSCG00000010273,6.32358026112928,8.65587649315696e-07,7.24180984519904e-05
MMP12,ENSSSCG00000014987,5.09924063769726,8.72015435085462e-07,7.26117380922814e-05
