,endo00.txt,endo18.txt
ENSSSCG00000028996,11.0897452086472,10.6447288445401
ENSSSCG00000005267,7.35216173588589,7.34171867388244
ENSSSCG00000005268,4.48251052791822,3.51824280865978
ENSSSCG00000005269,2.03927358224822,3.53463392205356
ENSSSCG00000031382,4.0704408377935,4.38657073166098
ENSSSCG00000005271,5.50398303804552,5.62904796713754
ENSSSCG00000005272,3.36911147831922,2.69661418772621
ENSSSCG00000005273,5.54366457282682,5.46555740970997
ENSSSCG00000023520,4.86837024887888,5.20125537905522
ENSSSCG00000057774,1.19057174293385,1.33486110871548
ENSSSCG00000037277,5.35829011988289,6.48831387684573
ENSSSCG00000005277,3.44558162657087,3.97384259766319
ENSSSCG00000004349,5.27298370594705,5.27871256282142
ENSSSCG00000004272,5.53930902902887,5.78447500793414
ENSSSCG00000037594,7.31506214012128,7.24043684962783
ENSSSCG00000044472,-1.25385762170671,-1.92044366075926
ENSSSCG00000004261,-0.133738046209532,-0.536048321107342
ENSSSCG00000004351,3.76571310469835,4.1754484713297
ENSSSCG00000004262,4.32695606871394,4.17805934738084
ENSSSCG00000038757,2.97022744969436,2.84856527457696
ENSSSCG00000004353,5.95354787478137,5.9463753412334
ENSSSCG00000005284,2.84876707682145,3.25196669733463
ENSSSCG00000004263,4.2167187207388,4.47415687952903
ENSSSCG00000021802,4.23568654244453,4.15968320585635
ENSSSCG00000031105,2.87665572955128,2.72545875221176
ENSSSCG00000034919,1.76864005409576,3.49748851297212
ENSSSCG00000023834,6.35585957379257,5.41665044020709
ENSSSCG00000032533,0.659351748861487,0.769156706198366
ENSSSCG00000025941,7.56503677257478,8.02512182058383
ENSSSCG00000030268,7.33278772244229,7.44748834514407
ENSSSCG00000027002,3.53579957852272,3.27653874210891
ENSSSCG00000005266,0.811584095273449,1.1343632269611
ENSSSCG00000005288,4.79171063681249,4.08930330969824
ENSSSCG00000035934,2.63681300920311,2.84856527457696
ENSSSCG00000005036,-0.190480494079486,-0.34401443982431
ENSSSCG00000004241,8.11393945984401,7.89270414129628
ENSSSCG00000005037,6.01992058024949,6.17857169929037
ENSSSCG00000004242,3.59994349040094,3.8118113475049
ENSSSCG00000005291,6.7098829929114,7.03902490254425
ENSSSCG00000005038,6.34903222918569,6.56861012190056
ENSSSCG00000033805,0.593656765533212,0.712652304191645
ENSSSCG00000037497,-0.513441992661431,-0.606193242817812
ENSSSCG00000033763,5.91203884604986,6.06749195794651
ENSSSCG00000004344,2.43590704482293,2.86809916408283
ENSSSCG00000005286,4.48024009920523,3.88074749778587
ENSSSCG00000005039,4.4688340483444,4.67419978699145
ENSSSCG00000005040,4.7639808844143,4.8350398660837
ENSSSCG00000004250,-0.0265391009988833,-1.11856862123483
ENSSSCG00000005287,6.95398619899234,6.77412735300007
ENSSSCG00000005041,6.30929523646746,6.4628451964702
ENSSSCG00000020885,5.69524046837917,6.08150513285281
ENSSSCG00000004253,5.49838436982526,5.62618276887851
ENSSSCG00000060009,2.09968230431306,1.71162332285851
ENSSSCG00000054181,-2.85619514801399,-0.926838884110634
