Gene_name,genes,logFC,PValue,FDR
KCNK3,ENSSSCG00000008563,9.16570751400439,1.04361359719327e-14,1.61405835995147e-10
,ENSSSCG00000017445,-12.9608339528566,2.72265368167661e-14,1.61405835995147e-10
,ENSSSCG00000048033,12.7825947689757,2.80413196655918e-14,1.61405835995147e-10
OLR1,ENSSSCG00000000647,-8.52477019915511,1.04823341610839e-13,4.52522365733992e-10
,ENSSSCG00000047459,11.9347616554536,1.12385522950835e-12,3.88134642063004e-09
BSP1,ENSSSCG00000003053,8.938282210735,1.39663221062492e-12,4.01950750217851e-09
GREM2,ENSSSCG00000023289,-11.9389941591038,2.30966564170006e-12,5.69761518583953e-09
,ENSSSCG00000005216,7.51092025709664,5.1170309732177e-12,1.10451113556904e-08
TMPRSS7,ENSSSCG00000025721,8.48338097119052,1.01289286983642e-11,1.94340378625948e-08
SCG2,ENSSSCG00000023032,-7.69363658514724,1.34354739754786e-11,2.20149245827902e-08
CPS1,ENSSSCG00000016159,11.351550094708,1.40238690300378e-11,2.20149245827902e-08
F2RL1,ENSSSCG00000014091,-7.31698514837327,2.68952484639193e-11,3.87022625395798e-08
HSD11B2,ENSSSCG00000002777,7.07280731212939,4.24573382536034e-11,5.6396408997171e-08
PTPRN,ENSSSCG00000016218,-7.03859265201117,4.71798339685213e-11,5.81929552120304e-08
GCG,ENSSSCG00000015895,-7.01033347290419,5.68191601891142e-11,6.02497339214179e-08
IBSP,ENSSSCG00000009219,7.40179587830715,5.86981423198989e-11,6.02497339214179e-08
MCRIP2,ENSSSCG00000007995,6.93644456540523,5.93146558179352e-11,6.02497339214179e-08
INSYN2A,ENSSSCG00000031345,8.0605938121379,6.34607733960377e-11,6.08800352779322e-08
,ENSSSCG00000014198,-7.75135445987335,7.95625116828089e-11,7.23097606178286e-08
ADCYAP1,ENSSSCG00000035186,-7.91773232597376,1.2193144247131e-10,1.05275607429729e-07
,ENSSSCG00000034286,10.8108056084325,1.43025039552983e-10,1.17607446809567e-07
NETO1,ENSSSCG00000027654,-10.9000076348392,2.00213034564962e-10,1.57149030948535e-07
ANKRD22,ENSSSCG00000010445,-6.90275803679594,2.22357130191629e-10,1.6694186626735e-07
CITED1,ENSSSCG00000012409,6.52334371870551,3.59626729805708e-10,2.54562749932691e-07
,ENSSSCG00000053630,-10.7562969724064,3.68546950910196e-10,2.54562749932691e-07
CYP4B1,ENSSSCG00000003894,10.5736657701005,3.9301971768238e-10,2.61025557113052e-07
TACR1,ENSSSCG00000036008,-7.578282698319,5.25949684077603e-10,3.3637404239452e-07
,ENSSSCG00000054768,-6.5284224703459,7.58583625782793e-10,4.67829358929188e-07
PAQR9,ENSSSCG00000060874,6.59727942234306,8.31236679596063e-10,4.94958447698787e-07
PDK4,ENSSSCG00000015334,-6.24467680515452,1.15096852972887e-09,6.62497485711938e-07
,ENSSSCG00000014727,7.31908459754784,1.54919508024884e-09,8.62951633733451e-07
COL22A1,ENSSSCG00000005938,-7.2807640522631,1.88038629880344e-09,1.0147034564918e-06
NCCRP1,ENSSSCG00000026407,-6.19613402239139,2.27014144727869e-09,1.18790310641238e-06
NPTX1,ENSSSCG00000017144,-6.10068367955189,2.48581635832014e-09,1.2625022610433e-06
HSPB3,ENSSSCG00000036059,-5.95622191188601,5.39427202706359e-09,2.66137969609526e-06
PENK,ENSSSCG00000006243,-5.8723278104042,6.02117010546307e-09,2.88815459392045e-06
,ENSSSCG00000007978,6.01932160666783,6.55187083994203e-09,3.05777582875997e-06
GAS2,ENSSSCG00000031940,6.34446195780856,7.33558036475905e-09,3.28204889675533e-06
PIM2,ENSSSCG00000028964,5.82193000101778,7.41254962783517e-09,3.28204889675533e-06
,ENSSSCG00000046140,7.45356563335646,8.10327426969054e-09,3.4981835022254e-06
MMP1,ENSSSCG00000014985,-6.03326302441675,8.73694121580719e-09,3.67974392474533e-06
RUNDC3A,ENSSSCG00000017359,5.83421298429387,9.6130875891674e-09,3.95235229737483e-06
MT4,ENSSSCG00000055674,9.79097222121475,1.05375721349248e-08,4.23169292153214e-06
DKK2,ENSSSCG00000032094,5.69798272498697,1.28595888081482e-08,4.93557811591331e-06
STAR,ENSSSCG00000034942,5.67856857761835,1.28619999546038e-08,4.93557811591331e-06
FABP3,ENSSSCG00000036883,5.65862190187842,1.44159293446157e-08,5.41161452006138e-06
ADRB1,ENSSSCG00000010647,6.06518091636872,1.51298853650231e-08,5.5308519668804e-06
HBB,ENSSSCG00000014725,5.71632099939131,1.53741541817384e-08,5.5308519668804e-06
,ENSSSCG00000057979,9.51713807455537,3.25440941777698e-08,1.12402402657409e-05
TNFAIP6,ENSSSCG00000023716,-5.52918901903085,3.25464450594769e-08,1.12402402657409e-05
IL33,ENSSSCG00000005203,-5.43748997588471,3.64651847714727e-08,1.23466825614469e-05
FGF10,ENSSSCG00000016878,-6.50074565405576,5.07386902255894e-08,1.68491481310669e-05
,ENSSSCG00000025527,5.95314329914216,5.4232290975895e-08,1.76694943504105e-05
