Gene_name,genes,logFC,PValue,FDR
CPS1,ENSSSCG00000016159,14.2435223187257,2.57542700331323e-17,4.42921936029808e-13
KCNK3,ENSSSCG00000008563,9.37377226557711,4.17021029080165e-15,3.58596382906034e-11
CLIC6,ENSSSCG00000028112,9.73234966757558,6.61402630672083e-15,3.7916008140995e-11
TMPRSS7,ENSSSCG00000025721,10.086607978307,8.89081064715619e-15,3.8226040377448e-11
,ENSSSCG00000017445,-12.8220052968826,1.06083305970133e-13,3.6488413921487e-10
IBSP,ENSSSCG00000009219,8.31953859914369,1.06357980009755e-12,3.0485742336796e-09
NDST4,ENSSSCG00000033834,11.7190635864806,1.58571568305683e-12,3.89587690245876e-09
RHCG,ENSSSCG00000001841,8.0838073365041,2.4079910998072e-12,4.77385762167057e-09
,ENSSSCG00000048033,11.5991638175294,2.66903644393165e-12,4.77385762167057e-09
SCG2,ENSSSCG00000023032,-8.36435291172598,2.77582138717907e-12,4.77385762167057e-09
ADCYAP1,ENSSSCG00000035186,-11.9502040730849,4.63878911945545e-12,6.95182256204749e-09
HSPB3,ENSSSCG00000036059,-7.80356934142222,4.85067279593964e-12,6.95182256204749e-09
RFLNA,ENSSSCG00000035760,7.44229829871443,6.97775686178173e-12,9.2310355776094e-09
MMP1,ENSSSCG00000014985,-8.46620963480814,1.17404700744521e-11,1.44223288814591e-08
AVPR1A,ENSSSCG00000033383,7.6645291037789,1.50129322048168e-11,1.72128272038959e-08
,ENSSSCG00000014198,-8.93559888737861,1.61939846862749e-11,1.74065092896598e-08
,ENSSSCG00000054768,-7.52690037300665,2.79916573611474e-11,2.83176778410008e-08
FMO1,ENSSSCG00000015268,7.0859678126928,3.03841849085515e-11,2.90304006698482e-08
UNC93A,ENSSSCG00000027404,7.04686600556993,5.91862618045009e-11,5.35729121323056e-08
PENK,ENSSSCG00000006243,-6.94747529209132,6.45340320747406e-11,5.54928141810694e-08
COL22A1,ENSSSCG00000005938,-11.313254367623,7.14082370970256e-11,5.84799457902212e-08
INSYN2A,ENSSSCG00000031345,7.98835765409559,8.42485187295364e-11,6.5859364777753e-08
OLR1,ENSSSCG00000000647,-6.82879552510588,1.15800650151547e-10,8.37444761180453e-08
CXCR4,ENSSSCG00000039416,6.76908736152196,1.23072893670042e-10,8.37444761180453e-08
PAQR9,ENSSSCG00000060874,7.03275201827932,1.25534094549704e-10,8.37444761180453e-08
ELAPOR1,ENSSSCG00000006836,6.83951515655275,1.26605208691079e-10,8.37444761180453e-08
IL33,ENSSSCG00000005203,-6.68542869108448,1.72039537502664e-10,1.09582813554474e-07
PCK1,ENSSSCG00000007507,10.595158180599,2.03074770803907e-10,1.24731425295914e-07
,ENSSSCG00000005216,6.5421829029287,3.48433681512716e-10,2.06633188091575e-07
GCG,ENSSSCG00000015895,-6.54021133936019,4.2388647297177e-10,2.42999985405617e-07
ADRB1,ENSSSCG00000010647,6.72451752483778,8.89739559248686e-10,4.93604546450287e-07
,ENSSSCG00000000659,6.93846702637724,1.2851329227941e-09,6.80841773642087e-07
,ENSSSCG00000046140,7.86768959144121,1.32363685777663e-09,6.80841773642087e-07
,ENSSSCG00000053630,-10.6175342954881,1.35535182894606e-09,6.80841773642087e-07
DUOX2,ENSSSCG00000004678,6.23372393604162,1.38559495740627e-09,6.80841773642087e-07
