Gene_name,genes,logFC,PValue,FDR
SCG2,ENSSSCG00000023032,-13.9252218093342,2.33099328804352e-16,4.15569483392398e-12
GCG,ENSSSCG00000015895,-9.93857536430936,7.23913677421032e-16,6.45296652053108e-12
AREG,ENSSSCG00000008963,-9.18328402326571,7.0141943308475e-15,4.16830188434497e-11
LYZ,ENSSSCG00000000492,8.18922940640845,2.41000313983905e-13,1.07413839942626e-09
ADCYAP1,ENSSSCG00000035186,-12.2106403646505,4.14429268129323e-13,1.47768899844191e-09
PTPRN,ENSSSCG00000016218,-8.03594030788542,7.27083865510803e-13,2.02538464477705e-09
GREM2,ENSSSCG00000023289,-12.0606140325649,7.95248626511071e-13,2.02538464477705e-09
HSPB3,ENSSSCG00000036059,-7.86342719792244,2.59577603551938e-12,5.78468689515493e-09
MMP13,ENSSSCG00000014988,7.37005713618092,1.6731102260632e-11,3.31424545669497e-08
MT1A,ENSSSCG00000061081,-7.26080170993081,1.93099441312871e-11,3.44257683972587e-08
S100A12,ENSSSCG00000032857,7.34855622154888,2.95922570963949e-11,4.79609781376845e-08
NPY5R,ENSSSCG00000008889,-7.39553019116743,3.56156777859607e-11,5.19406319601376e-08
,ENSSSCG00000009979,11.2397832864485,3.78745914001452e-11,5.19406319601376e-08
,ENSSSCG00000017445,-7.50393351142026,4.94093927747535e-11,6.29193324563075e-08
,ENSSSCG00000062552,-7.05278472146861,5.60581216110156e-11,6.66269461387458e-08
ANKRD22,ENSSSCG00000010445,-7.04315386519104,1.11509893905708e-10,1.24249899284435e-07
SV2C,ENSSSCG00000034062,-6.80672057371125,3.67300699642141e-10,3.85190404307065e-07
CTHRC1,ENSSSCG00000006051,6.71242626172823,3.90340767308201e-10,3.8661084442059e-07
SLC2A5,ENSSSCG00000039651,6.53692869931772,6.42272950671904e-10,6.026548507673e-07
IL33,ENSSSCG00000005203,-6.30067455698838,8.96429278149261e-10,7.85345866373737e-07
,ENSSSCG00000054576,-10.4140056877647,9.35899754246711e-10,7.85345866373737e-07
NTRK1,ENSSSCG00000006464,-6.38769232121601,9.78966661521533e-10,7.85345866373737e-07
,ENSSSCG00000061608,-6.39669465237027,1.01317898399125e-09,7.85345866373737e-07
,ENSSSCG00000060025,-6.28776466755547,1.29096154396744e-09,9.58969266910478e-07
,ENSSSCG00000014198,-6.61628447448745,1.42695112467698e-09,9.92946798634919e-07
NLGN1,ENSSSCG00000011756,-6.51026689059844,1.46470939681618e-09,9.92946798634919e-07
TCN1,ENSSSCG00000039252,6.65349813367694,1.50378974439886e-09,9.92946798634919e-07
,ENSSSCG00000029414,6.22525169593156,1.7728416481743e-09,1.12879360370183e-06
,ENSSSCG00000054768,-6.24194007239093,2.04897741117582e-09,1.25962652711871e-06
,ENSSSCG00000003599,-6.56560033251674,2.8502360543298e-09,1.68055804387801e-06
LIPH,ENSSSCG00000011793,-6.11703791559092,2.92221782366044e-09,1.68055804387801e-06
,ENSSSCG00000008769,6.31899842900984,3.76175494323935e-09,2.09576772275223e-06
,ENSSSCG00000012833,-9.8208641911185,1.11781528103448e-08,6.02470173025332e-06
NTS,ENSSSCG00000000932,-9.80770343664312,1.1802990472373e-08,6.02470173025332e-06
SBSN,ENSSSCG00000033702,-5.7232151743819,1.18277182274437e-08,6.02470173025332e-06
