,endo00.txt,endo06.txt
ENSSSCG00000028996,11.0355435798207,10.0109722324034
ENSSSCG00000005267,7.2979854244946,7.11312231695685
ENSSSCG00000005268,4.42850687411271,4.35163719437656
ENSSSCG00000005269,1.98615743428017,3.60324552248748
ENSSSCG00000031382,4.01650330542975,3.84363524621812
ENSSSCG00000005271,5.44987789674032,5.88628994840066
ENSSSCG00000005272,3.31534053043486,4.46167999214978
ENSSSCG00000005273,5.48955675820602,5.97582683007797
ENSSSCG00000023520,4.81431965582085,2.66322012586298
ENSSSCG00000057774,1.13832598704961,1.70939052981292
ENSSSCG00000037277,5.30419544915701,9.31127798076525
ENSSSCG00000005277,3.39178834212339,4.65939299335432
ENSSSCG00000004349,5.21889567508206,6.05789505820962
ENSSSCG00000004272,5.48520150425846,5.75999416388716
ENSSSCG00000037594,7.26088654166448,7.10664956947772
ENSSSCG00000044472,-1.29743610367117,0.226540519667076
ENSSSCG00000004261,-0.183043822673752,0.783161758259739
ENSSSCG00000004351,3.71183815942652,4.10840819782764
ENSSSCG00000004262,4.27297518613006,4.34920219651333
ENSSSCG00000038757,2.91659429459559,3.16206443586088
ENSSSCG00000004353,5.8994163515724,6.28952618200065
ENSSSCG00000005284,2.79518402332648,2.30954662867978
ENSSSCG00000004263,4.16275552814058,4.56811475953242
ENSSSCG00000021802,4.18172020898394,4.55760684492314
ENSSSCG00000031105,2.82306079647167,3.8297290820254
ENSSSCG00000034919,1.71574820285483,4.11702161570116
ENSSSCG00000023834,6.30171049103222,5.3146944606411
ENSSSCG00000032533,0.607976710701253,-0.337701029214955
ENSSSCG00000025941,7.51085670659046,8.24094193954477
ENSSSCG00000030268,7.27861178106949,7.16076383058477
ENSSSCG00000027002,3.48198141951847,3.07632886209556
ENSSSCG00000005266,0.759926038113357,-0.0537200246085143
ENSSSCG00000005288,4.73766839780915,3.61950218151188
ENSSSCG00000035934,2.58332814917223,3.18409215272898
ENSSSCG00000005036,-0.239590139709548,-0.95493414425418
ENSSSCG00000004241,8.05975192079702,6.62912753755013
ENSSSCG00000005037,5.96578581264339,5.83847981933995
ENSSSCG00000004242,3.54610856825832,4.04963247960417
ENSSSCG00000005291,6.65572202977365,7.52860974039355
ENSSSCG00000005038,6.29488340540938,6.64012533003268
ENSSSCG00000033805,0.542413375848153,0.387080159671741
ENSSSCG00000037497,-0.561276384340234,0.139033164435453
ENSSSCG00000033763,5.85790942904645,5.58995266203279
ENSSSCG00000004344,2.38252956016829,2.53196306380837
ENSSSCG00000005286,4.42623676041618,4.02848190160345
ENSSSCG00000005039,4.41483229963914,4.73221540091258
ENSSSCG00000005040,4.70994177828345,5.58892104786821
ENSSSCG00000004250,-0.0761950699491589,2.12828381253458
ENSSSCG00000005287,6.89981858654876,9.01496149155532
ENSSSCG00000005041,6.25514794461737,6.76594737842929
ENSSSCG00000020885,5.64112309299243,5.70296999063424
ENSSSCG00000004253,5.44427961165167,5.56813232391982
ENSSSCG00000060009,2.04652157534885,2.65535728922873
ENSSSCG00000054181,-2.87837596872067,0.309042246689412
ENSSSCG00000062298,-2.55765348726881,0.662825417131944
ENSSSCG00000004364,4.72109645126364,4.45263461469379
ENSSSCG00000005043,4.16002582203548,4.04963247960417
ENSSSCG00000004254,4.92135677852592,4.98211369332905
ENSSSCG00000005045,5.05518972488523,4.1868678738781
ENSSSCG00000005047,2.12700072943209,1.86748181901499
ENSSSCG00000004366,0.843962911888218,3.4884436245078
ENSSSCG00000027256,6.24423548652787,6.56656981835459
ENSSSCG00000004367,2.18185566452581,3.27412990035602
ENSSSCG00000039333,7.80972972014762,8.68342372830475
ENSSSCG00000004368,5.78359927546792,6.73270603568182
ENSSSCG00000026294,6.2480963744135,6.64012533003268
ENSSSCG00000053030,0.0232830100928318,-0.774171868902123
ENSSSCG00000035648,4.51008452128925,4.73034537289535
ENSSSCG00000038522,6.70337124347438,7.84412206006344
ENSSSCG00000035259,6.8990002721895,7.01514867383287
ENSSSCG00000021451,4.25773575818961,4.40419296014583
ENSSSCG00000038507,8.13013238529962,8.23534880537594
ENSSSCG00000004339,5.53661637326832,5.29458659333424
ENSSSCG00000005004,2.92947462120986,2.84703303763602
ENSSSCG00000004347,5.07995095895286,5.47627755637425
ENSSSCG00000004357,0.843962911888218,-1.86323887175936
ENSSSCG00000005006,7.14556899792064,7.50391977947865
ENSSSCG00000004275,4.80211576365401,4.40419296014583
ENSSSCG00000035611,4.05814956201941,4.26645089011593
ENSSSCG00000058931,4.82814171177966,4.32214241021654
ENSSSCG00000005008,1.73054265911492,1.79776154176275
ENSSSCG00000004358,5.01345668995345,5.24829224873634
ENSSSCG00000004270,1.60770786049688,-0.691630537051081
ENSSSCG00000032489,3.01655393724924,2.54052592986512
ENSSSCG00000004990,1.96128636278476,1.53181897505949
ENSSSCG00000004340,2.98605401256528,2.53196306380837
ENSSSCG00000058693,-0.713145134048199,-1.27726613540384
ENSSSCG00000005009,5.83926112119199,5.978192572511
ENSSSCG00000035240,1.84373463321517,2.17302794720312
ENSSSCG00000005011,5.27799831224876,5.52886518849772
ENSSSCG00000032312,7.23193527626973,7.62737434737165
ENSSSCG00000004342,2.35415088092214,3.24822647644457
ENSSSCG00000005012,6.8792201765308,7.02586090572125
ENSSSCG00000045405,-1.18211382722495,-0.861723783462561
ENSSSCG00000005029,6.75312401211985,7.5930560335438
ENSSSCG00000060554,-0.298443517571394,-0.0537200246085143
ENSSSCG00000005030,4.47317476324859,6.38295371397443
ENSSSCG00000004939,-1.42278389514606,-0.774171868902123
ENSSSCG00000057054,-0.183043822673752,0.46111260125577
ENSSSCG00000021862,6.42791112812186,5.61347844431469
ENSSSCG00000005027,4.90024815051396,4.92112192491995
ENSSSCG00000028092,4.89861154502423,3.76178010388318
ENSSSCG00000004941,3.75227129538549,4.2586872563698
ENSSSCG00000004942,3.27048889420817,3.59504797882108
ENSSSCG00000004943,5.45879021142322,6.39657821043179
ENSSSCG00000036735,3.54192097522229,2.97257357089446
ENSSSCG00000005015,5.57503467221968,5.69915076653978
ENSSSCG00000005016,4.04341352381365,4.8744709277251
ENSSSCG00000031354,2.61556546453928,2.59086251611258
ENSSSCG00000038941,2.9101107498845,3.17861667405088
ENSSSCG00000004945,10.7097359753577,11.0303623569804
ENSSSCG00000005787,5.81169862381468,5.72191590877894
ENSSSCG00000034516,4.19777956002054,3.02843083711216
ENSSSCG00000036634,5.41710123722093,5.98055444193151
ENSSSCG00000005785,5.11982989695373,4.56392077337842
ENSSSCG00000004946,3.66254503695143,4.03455663056601
ENSSSCG00000005020,1.26567383441108,1.3292826843321
ENSSSCG00000005786,5.12403798406556,5.25611187170157
ENSSSCG00000004947,-1.71180238428392,-0.691630537051081
ENSSSCG00000004948,3.39178834212339,3.38763761057049
ENSSSCG00000004971,6.70851785477251,6.24895646203285
ENSSSCG00000005021,5.52605499870307,5.48295679847352
ENSSSCG00000038767,7.2155966015412,6.5267209228644
ENSSSCG00000004963,6.9445223443979,7.31720402813489
ENSSSCG00000005022,4.84183259820732,4.02848190160345
ENSSSCG00000004966,2.60757341660449,0.99735335215617
ENSSSCG00000026078,5.71365397895144,5.98996344177062
ENSSSCG00000004968,3.32023905079887,0.348588789866719
ENSSSCG00000005024,6.98016543616769,7.60484160247748
ENSSSCG00000004969,4.24491210029982,4.09684305736919
ENSSSCG00000004970,10.3380795491623,11.1361966294034
ENSSSCG00000023533,5.24874962843749,5.04063120590519
ENSSSCG00000004952,7.74038515176653,7.00319517853408
ENSSSCG00000005023,1.20340459184864,2.25855665325968
ENSSSCG00000004859,5.45656728895796,5.81837508730874
ENSSSCG00000005025,2.50804734660425,2.88114359789959
ENSSSCG00000004856,5.22543842138933,4.21388627339111
ENSSSCG00000004951,6.60694634422849,6.53263475438457
ENSSSCG00000038422,6.5770738938379,6.80422954357651
ENSSSCG00000057448,-0.128630494442891,-0.774171868902123
ENSSSCG00000004954,2.06997734880968,2.47949030755052
ENSSSCG00000005002,1.70080046008696,2.08210743264227
ENSSSCG00000004955,4.71924331812263,4.68472174716678
ENSSSCG00000030679,3.36359299116463,3.01620366558043
ENSSSCG00000004996,5.09288979834691,4.93904417247588
ENSSSCG00000027765,6.00738230558503,5.71625821188025
ENSSSCG00000004857,6.07270008005349,6.07051465367543
ENSSSCG00000004956,-0.298443517571394,-1.86323887175936
ENSSSCG00000004997,6.45600168876116,6.26454641226184
ENSSSCG00000021217,5.75494174689757,6.01091197737254
ENSSSCG00000004958,4.75586112968568,4.96948585321478
ENSSSCG00000005000,2.55035398808104,2.69424982045069
ENSSSCG00000026517,4.34203846222546,3.02233020481809
ENSSSCG00000004957,5.88708917955889,5.38888328030442
ENSSSCG00000004861,4.97048038433154,4.92929601175691
ENSSSCG00000032488,5.5502315793051,5.63862219529736
ENSSSCG00000053589,1.6704321742992,1.98506928764277
ENSSSCG00000004999,4.65671496646557,4.38530254747951
ENSSSCG00000063467,3.92299481008574,3.98522714953954
ENSSSCG00000004869,5.66827107531397,6.68908500804296
ENSSSCG00000022419,5.29302630262631,5.66235479292411
ENSSSCG00000051962,-1.71180238428392,-0.401879234920606
ENSSSCG00000060555,0.0705627141457641,0.724247892892192
ENSSSCG00000004961,4.70245712518214,2.74699590439488
ENSSSCG00000004962,3.63921358820347,3.25864372331343
ENSSSCG00000043563,4.27044643418123,3.97578710824125
ENSSSCG00000063237,0.364150165262491,-0.613557190932205
ENSSSCG00000063081,-0.423882787499155,-0.469045859771877
ENSSSCG00000056226,0.670689587131171,-0.469045859771877
ENSSSCG00000049234,0.575567452282376,-0.0537200246085143
ENSSSCG00000004870,7.98826397122402,9.26172652419691
ENSSSCG00000039486,-1.29743610367117,0.268381044152851
ENSSSCG00000004973,7.08281816745202,6.3021704842104
ENSSSCG00000004847,4.74315034633691,4.84020034275151
ENSSSCG00000035696,4.19777956002054,4.62558526737273
ENSSSCG00000004849,2.49943507889078,2.40641908334199
ENSSSCG00000004850,1.6704321742992,0.226540519667076
ENSSSCG00000004854,7.76686559955766,7.72216300462233
ENSSSCG00000004974,3.56273843877889,3.20039499522549
ENSSSCG00000004976,4.01348205960275,3.21651566786285
ENSSSCG00000036984,-0.561276384340234,2.22707458033958
ENSSSCG00000004980,5.77023690674642,4.43895931535398
ENSSSCG00000004875,7.9649942443743,9.11151137007411
ENSSSCG00000037781,2.40114322362831,2.47949030755052
ENSSSCG00000005781,0.203760390825266,2.85391997471869
ENSSSCG00000004979,4.4709739113825,4.12273545671368
ENSSSCG00000020859,-0.423882787499155,0.226540519667076
ENSSSCG00000025616,4.80386551000116,4.70009049191578
ENSSSCG00000026167,0.759926038113357,0.565491493195208
ENSSSCG00000004985,4.267913242059,4.38292375889691
ENSSSCG00000004844,5.84266970102906,5.99152565973064
ENSSSCG00000004986,4.70807425218389,4.97739119664167
ENSSSCG00000004845,5.25515867290366,5.43439119402158
ENSSSCG00000022828,7.74335154043774,7.79554027482585
ENSSSCG00000032494,4.59741914586778,4.6652776838338
ENSSSCG00000004873,3.98600229892747,2.54903827224342
ENSSSCG00000004983,6.1640841652235,6.55446608549734
ENSSSCG00000032214,5.71551430085474,5.78092315725182
ENSSSCG00000032574,4.06691947351384,3.46614380090287
ENSSSCG00000038398,0.160713229687813,-1.27726613540384
ENSSSCG00000028977,-0.128630494442891,-1.54070455060621
ENSSSCG00000005782,3.71183815942652,3.88456713387442
ENSSSCG00000040252,4.67595075503839,5.1397660791761
ENSSSCG00000038208,-1.07533144310286,-0.861723783462561
ENSSSCG00000062837,-0.882902223409551,-1.05458520519942
ENSSSCG00000041275,1.24521460056876,2.29949178850528
ENSSSCG00000056587,0.438118913982486,-0.861723783462561
ENSSSCG00000060706,1.73054265911492,0.783161758259739
ENSSSCG00000054784,2.94224096959945,0.598671154499884
ENSSSCG00000034069,2.14919361145247,0.565491493195208
ENSSSCG00000060600,5.36234638260635,5.74802903229724
ENSSSCG00000060688,-0.713145134048199,-0.861723783462561
ENSSSCG00000004989,4.28805531865396,4.29203202054162
