,ovary00.txt,ovary15.txt
ENSSSCG00000028996,3.12132582804974,4.22300461922043
ENSSSCG00000005267,9.28275587898866,7.67333680267444
ENSSSCG00000005268,0.404229827897419,-1.27474712600953
ENSSSCG00000005269,1.67453752625352,1.21358059231902
ENSSSCG00000031382,3.81914831681242,3.61228497483026
ENSSSCG00000005271,5.10085800257878,5.26790451454691
ENSSSCG00000005272,1.65990155345987,1.7626969137578
ENSSSCG00000005273,4.84837014555012,6.75079480991124
ENSSSCG00000023520,5.14487966664771,6.30888326283943
ENSSSCG00000057774,0.569962170286627,0.431767998870012
ENSSSCG00000037277,5.06659046783065,5.80004422997591
ENSSSCG00000005277,3.47905314811351,5.84856714951402
ENSSSCG00000004361,4.69171100854383,0.954538444486132
ENSSSCG00000004349,5.10626605668729,4.72445954033201
ENSSSCG00000004272,4.93904974020635,5.07820859561965
ENSSSCG00000037594,6.86990453065533,6.74521364683749
ENSSSCG00000044472,0.256407244392427,-1.53954142304825
ENSSSCG00000004261,-0.144782068469568,-1.05109895261415
ENSSSCG00000004351,3.40638435509624,3.73374709472857
ENSSSCG00000004262,3.52823053840418,2.86965976553046
ENSSSCG00000038757,2.28322100893058,3.39664021038076
ENSSSCG00000004353,5.24510952127235,5.40400050299265
ENSSSCG00000005284,4.06946267490639,4.55829444849323
ENSSSCG00000004263,3.32986016754348,3.68015571711148
ENSSSCG00000021802,3.64058256639705,3.92689595118518
ENSSSCG00000031105,2.5524926451238,2.85591495024499
ENSSSCG00000004355,-2.35353914258208,-0.608545817565416
ENSSSCG00000034919,-0.628715125240917,-0.769662603885812
ENSSSCG00000023834,2.37569002287275,0.275340820847336
ENSSSCG00000025941,7.49406296560868,7.91183994057407
ENSSSCG00000030268,7.10416672145755,7.78566591927471
ENSSSCG00000027002,3.64801776201461,2.09071926139713
ENSSSCG00000005266,-1.77434560302725,0.902001561225449
ENSSSCG00000005288,6.04205822055761,5.54665464736484
ENSSSCG00000035934,1.99916375022504,3.25720214167086
ENSSSCG00000005036,0.404229827897419,0.670337710919843
ENSSSCG00000004241,10.3441551524388,9.90743337278797
ENSSSCG00000005037,6.19645272950797,6.39040180859046
ENSSSCG00000004242,3.09979850672729,3.0970002845074
ENSSSCG00000005291,6.2438387429396,5.55092636827596
ENSSSCG00000005038,6.52646224658828,6.6257671702587
ENSSSCG00000033805,-0.197111111297141,-1.05109895261415
ENSSSCG00000033763,5.54901297703468,5.77925871722645
ENSSSCG00000004344,2.07834526719799,2.82096885519663
ENSSSCG00000005286,3.48321589960862,3.15427413041889
ENSSSCG00000005039,4.28746886127023,4.910488156885
ENSSSCG00000005040,5.18248666984623,5.36085762213162
ENSSSCG00000004250,0.368669760692779,1.7626969137578
ENSSSCG00000005287,6.31737699173966,3.17656183443616
ENSSSCG00000005041,7.10010667062864,6.53056140685991
ENSSSCG00000020885,5.95256899578085,6.5278550950687
ENSSSCG00000004253,5.02293621232166,5.51857583257282
ENSSSCG00000060009,1.29342878454536,1.35709301031679
ENSSSCG00000004364,4.96607086958207,5.31261599630295
ENSSSCG00000005043,4.77726037391532,5.09439522362331
ENSSSCG00000004254,5.13168104684902,6.45108390164413
ENSSSCG00000005045,3.44531153036991,7.9654269368416
ENSSSCG00000005047,2.49593216005561,2.60789330134859
ENSSSCG00000004366,4.42582200139823,2.09071926139713
ENSSSCG00000027256,6.94199474538938,6.92751577352132
ENSSSCG00000004255,-0.780137725411204,-2.28356812919545
ENSSSCG00000004367,2.68850234593319,0.980106439125902
ENSSSCG00000039333,0.600940626514534,-1.27474712600953
ENSSSCG00000004368,6.50921507301354,5.79914671187912
ENSSSCG00000026294,8.4539201239752,7.64014104749192
ENSSSCG00000035648,4.46423509623249,6.02244597026508
ENSSSCG00000038522,2.9574463005007,0.847478966760097
